filename,species,accuracy
ECC_20170928_193303_508.wav,Barbar,0.95
ECC_20170928_183954_628.wav,Eptser,0.91
ECC_20170928_184637_596.wav,Eptser,0.94
ECC_20170928_201748_019.wav,Eptser,0.81
ECC_20170928_210249_684.wav,Eptser,0.86
ECC_20170928_211404_404.wav,Eptser,0.91
ECC_20170928_212223_128.wav,Eptser,0.91
ECC_20170928_212446_763.wav,Eptser,0.99
ECC_20170928_214322_232.wav,Eptser,0.99
ECC_20170928_215154_419.wav,Eptser,0.97
ECC_20170928_215237_863.wav,Eptser,0.78
ECC_20170928_220910_908.wav,Eptser,0.98
ECC_20170928_221539_000.wav,Eptser,0.91
ECC_20170928_221617_444.wav,Eptser,0.8
ECC_20170928_222042_795.wav,Eptser,0.61
ECC_20170928_222433_661.wav,Eptser,0.98
ECC_20170928_222438_661.wav,Eptser,0.97
ECC_20170929_003515_588.wav,Eptser,0.93
ECC_20170929_003752_072.wav,Eptser,0.73
ECC_20170929_184428_753.wav,Eptser,0.7
ECC_20170929_184430_052.wav,Eptser,0.99
ECC_20170929_185640_633.wav,Eptser,0.86
ECC_20170930_182511_908.wav,Eptser,0.95
ECC_20171001_005746_997.wav,Eptser,0.93
ECC_20171001_014823_403.wav,Eptser,0.97
ECC_20170929_230118_157.wav,Myodau,0.92
ECC_20170928_180007_928.wav,Nycnoc,0.69
ECC_20170928_180009_143.wav,Nycnoc,0.99
ECC_20170928_180014_236.wav,Nycnoc,0.98
ECC_20170928_180018_129.wav,Nycnoc,0.86
ECC_20170928_182100_975.wav,Nycnoc,0.94
ECC_20170928_182103_771.wav,Nycnoc,0.93
ECC_20170928_182112_892.wav,Nycnoc,0.93
ECC_20170928_182114_604.wav,Nycnoc,0.53
ECC_20170928_182118_465.wav,Nycnoc,0.59
ECC_20170928_182245_989.wav,Nycnoc,0.94
ECC_20170928_182248_067.wav,Nycnoc,0.99
ECC_20170928_182254_419.wav,Nycnoc,0.8
ECC_20170928_182343_621.wav,Nycnoc,0.96
ECC_20170928_182346_541.wav,Nycnoc,0.97
ECC_20170928_182348_753.wav,Nycnoc,0.93
ECC_20170928_182856_444.wav,Nycnoc,0.91
ECC_20170928_182858_657.wav,Nycnoc,0.76
ECC_20170928_182923_167.wav,Nycnoc,0.98
ECC_20170928_182928_167.wav,Nycnoc,0.93
ECC_20170928_182934_952.wav,Nycnoc,0.57
ECC_20170928_183022_301.wav,Nycnoc,0.96
ECC_20170928_183024_521.wav,Nycnoc,0.97
ECC_20170928_183027_496.wav,Nycnoc,0.91
ECC_20170928_183119_659.wav,Nycnoc,0.98
ECC_20170928_183121_541.wav,Nycnoc,0.98
ECC_20170928_183148_911.wav,Nycnoc,0.93
ECC_20170928_183150_704.wav,Nycnoc,0.96
ECC_20170928_183218_595.wav,Nycnoc,0.96
ECC_20170928_183222_473.wav,Nycnoc,0.87
ECC_20170928_183227_213.wav,Nycnoc,0.84
ECC_20170928_183506_411.wav,Nycnoc,0.84
ECC_20170928_183507_817.wav,Nycnoc,0.85
ECC_20170928_183649_631.wav,Nycnoc,0.64
ECC_20170928_183654_832.wav,Nycnoc,0.99
ECC_20170928_183735_481.wav,Nycnoc,0.99
ECC_20170928_183740_924.wav,Nycnoc,0.92
ECC_20170928_183746_339.wav,Nycnoc,0.95
ECC_20170928_183750_020.wav,Nycnoc,0.99
ECC_20170928_183752_909.wav,Nycnoc,0.6
ECC_20170928_183804_000.wav,Nycnoc,0.56
ECC_20170928_183805_385.wav,Nycnoc,0.99
ECC_20170928_183910_056.wav,Nycnoc,0.71
ECC_20170928_183922_280.wav,Nycnoc,0.99
ECC_20170928_183942_719.wav,Nycnoc,0.76
ECC_20170928_183944_991.wav,Nycnoc,0.99
ECC_20170928_183949_991.wav,Nycnoc,0.97
ECC_20170928_183956_568.wav,Nycnoc,0.76
ECC_20170928_184017_685.wav,Nycnoc,0.96
ECC_20170928_184109_599.wav,Nycnoc,0.93
ECC_20170928_184123_883.wav,Nycnoc,0.98
ECC_20170928_184137_992.wav,Nycnoc,0.98
ECC_20170928_184144_457.wav,Nycnoc,0.8
ECC_20170928_184145_684.wav,Nycnoc,0.89
ECC_20170928_184147_904.wav,Nycnoc,0.98
ECC_20170928_184204_599.wav,Nycnoc,0.65
ECC_20170928_184227_429.wav,Nycnoc,0.98
ECC_20170928_184229_524.wav,Nycnoc,0.88
ECC_20170928_184247_713.wav,Nycnoc,0.9
ECC_20170928_184253_800.wav,Nycnoc,0.75
ECC_20170928_184328_545.wav,Nycnoc,0.97
ECC_20170928_184331_660.wav,Nycnoc,0.91
ECC_20170928_184333_599.wav,Nycnoc,0.99
ECC_20170928_184336_133.wav,Nycnoc,0.8
ECC_20170928_184359_613.wav,Nycnoc,0.98
ECC_20170928_184433_440.wav,Nycnoc,0.99
ECC_20170928_184441_943.wav,Nycnoc,0.98
ECC_20170928_184455_639.wav,Nycnoc,0.94
ECC_20170928_184458_865.wav,Nycnoc,0.98
ECC_20170928_184503_865.wav,Nycnoc,0.95
ECC_20170928_184507_737.wav,Nycnoc,0.99
ECC_20170928_184512_737.wav,Nycnoc,0.99
ECC_20170928_184517_737.wav,Nycnoc,0.94
ECC_20170928_184525_173.wav,Nycnoc,0.98
ECC_20170928_184530_173.wav,Nycnoc,0.76
ECC_20170928_184533_257.wav,Nycnoc,0.99
ECC_20170928_184538_257.wav,Nycnoc,0.99
ECC_20170928_184601_637.wav,Nycnoc,0.75
ECC_20170928_184603_041.wav,Nycnoc,0.9
ECC_20170928_184604_783.wav,Nycnoc,0.9
ECC_20170928_184608_131.wav,Nycnoc,0.82
ECC_20170928_184609_481.wav,Nycnoc,0.96
ECC_20170928_184611_740.wav,Nycnoc,0.99
ECC_20170928_184616_740.wav,Nycnoc,0.92
ECC_20170928_184621_108.wav,Nycnoc,0.98
