Group.1,Aposyl,Barbar,bird,chirp,Chobru,Condor,Confus,criq,Eptser,Homsap,Inssp5,Inssp6,Inssp7,Lamsp.,Leppun,mamm,Metbra,Micagr,Micmin,Mussp,Myoalc,Myobec,Myobra,Myodau,Myomys,Myonat,noise,Nyclei,Nycnoc,Omovir,Pelrid,Phafal,Phogri,Pipnat,Pippip,Pippyg,Plaalb,Pleaur,Ratnor,Rhifer,Rhihip,Roeroe,Tetvir,FreqM,FreqP,FreqC,Tstart,Tend,NbCris,DurMed,Dur90,Ampm50,Ampm90,AmpSMd,DiffME,SR,Order,Ind,SpMaxF2,Version
ECC_20171031_170942_496.wav,0.012,0.05,0.02,0.01,0.002,0.004,0.006,0,0.042,0.002,0.002,0.002,0.002,0.002,0.022,0.02,0.006,0,0.002,0,0.024,0.01,0.024,0.078,0.046,0.01,0.064,0.018,0.024,0,0,0.002,0.03,0.378,0.592,0.07,0.014,0.012,0.012,0.022,0.03,0.016,0.028,49,44.2,42.8,0,1,8,15,22,80.2,151.1,34,71.7,192000,N1,0.592,Pippip,5
ECC_20171031_171438_417.wav,0.01,0.014,0.03,0.016,0,0.008,0.016,0,0.02,0.002,0.002,0,0.006,0.01,0.022,0.022,0.006,0.012,0.018,0.004,0.014,0.004,0.012,0.07,0.03,0.01,0.056,0.01,0.018,0,0,0,0.024,0.212,0.658,0.148,0.016,0.004,0.06,0.046,0.036,0.012,0.032,45,45,45,0,2.2,10,10,29,50.8,123.3,18,42,192000,N1,0.658,Pippip,5
ECC_20171031_172121_603.wav,0.006,0.016,0.008,0.004,0,0.016,0.03,0,0.02,0.002,0.004,0.004,0.01,0.008,0.634,0.008,0.01,0,0,0.006,0.004,0.006,0.01,0.034,0.014,0.012,0.078,0.01,0.008,0,0,0.008,0.06,0.03,0.026,0.036,0.102,0.016,0,0.002,0.006,0.008,0.02,39,38.2,38.2,0,0.1,2,9,11,73.7,100.7,34,65.5,192000,N1,0.634,Leppun,5
ECC_20171031_172247_151.wav,0.052,0.024,0.182,0.004,0.004,0.05,0.066,0,0.038,0.034,0.026,0.012,0.01,0.066,0.26,0.07,0.026,0.004,0,0.016,0.018,0.02,0.03,0.054,0.034,0.118,0.424,0.07,0.112,0.006,0,0.02,0.368,0.032,0.054,0.046,0.134,0.046,0.014,0.01,0.022,0.132,0.312,18,17.2,10.5,0,0.9,30,2,7,21.7,75.7,8,18.5,192000,N1,0.424,noise,5
ECC_20171031_172520_121.wav,0,0.004,0.006,0.004,0,0.002,0.004,0,0.004,0,0,0,0,0.006,0.816,0.004,0,0,0,0,0,0.002,0.002,0.026,0.01,0.004,0.016,0.004,0.006,0,0,0,0.012,0.01,0.01,0.006,0.024,0.016,0,0,0.002,0,0,40,38.2,35.2,0,0.1,1,42,42,59.1,59.1,17,40.8,192000,N1,0.816,Leppun,5
ECC_20171031_172547_120.wav,0.01,0.006,0.012,0.002,0.002,0.008,0.004,0,0.01,0.002,0.004,0.002,0.002,0.002,0.006,0.012,0.008,0.004,0.016,0.002,0.01,0.002,0.016,0.018,0.01,0.002,0.074,0.016,0.02,0,0,0,0.008,0.048,0.218,0.716,0.008,0.004,0.012,0.08,0.122,0.006,0.01,54,54,54.8,0,1.8,12,11,22,30.9,121.5,11,20.3,192000,N1,0.716,Pippyg,5
ECC_20171031_173409_576.wav,0.014,0.014,0.02,0.002,0.002,0.012,0.012,0,0.028,0,0.002,0.002,0.004,0.002,0.02,0.01,0.006,0.002,0.02,0.004,0.004,0.002,0.014,0.034,0.028,0.006,0.058,0.022,0.02,0,0,0.002,0.026,0.078,0.256,0.9,0.008,0.004,0.012,0.046,0.096,0.006,0.024,52,51.8,51.8,0,4.6,31,14,20,63.1,97.7,25,51.6,192000,N1,0.9,Pippyg,5
ECC_20171031_182504_000.wav,0.006,0.006,0.056,0,0.002,0.012,0.03,0.002,0.014,0.01,0.024,0.01,0,0.016,0.072,0.008,0,0,0,0.006,0.002,0.008,0.006,0.026,0.006,0.014,0.422,0.012,0.014,0,0.002,0.038,0.198,0.026,0.02,0.036,0.074,0.02,0.002,0.002,0.004,0.03,0.036,16,16.5,13.9,0,0.1,2,1,1,36.2,52.8,17,32.3,192000,N1,0.422,noise,5
ECC_20171031_205635_076.wav,0.018,0.042,0.082,0.004,0.002,0.042,0.04,0,0.048,0.018,0.032,0.006,0.01,0.062,0.268,0.056,0.016,0,0,0.01,0.03,0.012,0.032,0.068,0.048,0.064,0.5,0.026,0.038,0.002,0,0.022,0.142,0.038,0.094,0.048,0.076,0.062,0.01,0.016,0.022,0.042,0.294,29,29.2,25.1,0,1,12,2,3,28.1,66.7,13,22.1,192000,N1,0.5,noise,5
ECC_20171031_222504_000.wav,0.01,0.022,0.042,0.004,0,0.028,0.016,0,0.042,0.004,0.01,0.004,0.008,0.018,0.256,0.01,0.02,0.002,0,0.002,0.002,0.004,0.008,0.03,0.01,0.012,0.202,0.016,0.014,0,0,0.002,0.078,0.068,0.03,0.02,0.072,0.022,0.004,0.006,0.008,0.048,0.034,36,36.4,18.4,0.7,0.8,1,2,2,13.3,13.8,3,2.6,192000,N1,0.256,Leppun,5
ECC_20171101_005504_000.wav,0.02,0.006,0.112,0.002,0,0.014,0.024,0,0.016,0.026,0.006,0.002,0,0.118,0.086,0.024,0.01,0.002,0,0.012,0.01,0.006,0.028,0.028,0.016,0.03,0.44,0.014,0.02,0,0,0.022,0.114,0.022,0.04,0.04,0.054,0.048,0.006,0.002,0.026,0.032,0.222,26,25.5,9,0.6,0.8,2,1,1,27.9,29.2,11,19.5,192000,N1,0.44,noise,5
ECC_20171101_010958_668.wav,0.026,0.024,0.098,0.004,0.002,0.05,0.054,0,0.04,0.008,0.014,0.01,0.004,0.042,0.308,0.052,0.018,0.002,0.002,0.008,0.048,0.036,0.044,0.096,0.104,0.07,0.348,0.036,0.082,0.002,0,0.012,0.144,0.066,0.134,0.06,0.08,0.048,0.008,0.018,0.056,0.042,0.07,42,40.9,38.6,0,1,7,3,5,22.8,55.5,9,19.6,192000,N1,0.348,noise,5
ECC_20171101_015843_511.wav,0.002,0.01,0.01,0.024,0,0.006,0.014,0,0.012,0,0.002,0.004,0.008,0.008,0.814,0.018,0.002,0,0,0.002,0.004,0.002,0.008,0.03,0.028,0.008,0.068,0.002,0,0,0,0.002,0.038,0.014,0.028,0.018,0.024,0.008,0.002,0,0.002,0.014,0.01,39,38.2,37.1,0,0.1,1,18,25,38.9,42.2,12,25.2,192000,N1,0.814,Leppun,5
ECC_20171101_015852_600.wav,0.004,0.02,0.016,0,0.002,0.062,0.058,0,0.022,0.002,0.016,0.054,0.1,0.036,0.362,0.002,0.002,0,0,0,0.002,0.01,0.012,0.038,0.012,0.026,0.134,0.024,0.01,0,0,0.038,0.024,0.026,0.028,0.014,0.11,0.014,0.008,0.006,0.022,0.04,0.008,42,37.5,39,0,0.1,5,5,10,70.1,153.6,30,63.4,192000,N1,0.362,Leppun,5
ECC_20171101_015924_417.wav,0.004,0.03,0.012,0.002,0,0.02,0.038,0,0.02,0.002,0.006,0.004,0.01,0.01,0.624,0.01,0.004,0.002,0,0,0.002,0.006,0.004,0.068,0.01,0.02,0.048,0.016,0.01,0,0,0.006,0.064,0.034,0.038,0.03,0.1,0.026,0,0.002,0.004,0.026,0.01,39,37.5,36,0,0.1,3,12,13,63.9,65.9,24,43.7,192000,N1,0.624,Leppun,5
ECC_20171101_015931_013.wav,0.004,0.004,0.008,0.002,0,0.038,0.092,0,0.022,0.002,0.008,0.002,0.006,0.012,0.512,0.01,0.014,0,0,0,0.004,0.004,0.008,0.028,0.008,0.014,0.078,0.012,0.008,0,0,0.016,0.084,0.024,0.03,0.046,0.192,0.018,0.002,0.002,0.004,0.01,0.012,40,37.5,33,0,0.1,2,3,27,55.4,82.7,16,54.5,192000,N1,0.512,Leppun,5
ECC_20171101_015938_440.wav,0.014,0.006,0.026,0.004,0,0.022,0.056,0,0.012,0.002,0.004,0.002,0.028,0.008,0.662,0.004,0.014,0.002,0,0.004,0,0.002,0.006,0.02,0.006,0.004,0.074,0.01,0.024,0,0,0.01,0.148,0.03,0.026,0.02,0.206,0.008,0.004,0.004,0.002,0.012,0.028,38,37.5,0,0,0.1,2,2,26,19.2,41.6,9,15.8,192000,N1,0.662,Leppun,5
ECC_20171101_015944_991.wav,0.002,0.02,0.022,0.002,0,0.04,0.082,0,0.022,0,0.008,0.042,0.174,0.014,0.344,0.004,0.004,0.002,0,0.002,0.002,0.006,0.016,0.026,0.014,0.012,0.158,0.036,0.008,0,0,0.036,0.038,0.02,0.016,0.014,0.154,0.014,0.01,0.002,0.012,0.048,0.01,39,36.8,36.8,0,0.1,5,6,9,92.7,147.4,41,85.4,192000,N1,0.344,Leppun,5
ECC_20171101_015952_329.wav,0.002,0.01,0.01,0.004,0.002,0.052,0.168,0,0.018,0.008,0.014,0.024,0.118,0.052,0.304,0.002,0.002,0,0,0,0.002,0.002,0.004,0.014,0.008,0.012,0.092,0.016,0.01,0,0,0.026,0.04,0.014,0.014,0.014,0.362,0.008,0.004,0.006,0.004,0.014,0.018,39,37.5,35.2,0,0.1,5,3,8,71.5,93.4,36,62.4,192000,N1,0.362,Plaalb,5
