filename,species,accuracy
ECC_20171101_175113_895.wav,Barbar,0.86
ECC_20171109_175047_149.wav,Barbar,0.99
ECC_20171109_181627_443.wav,Barbar,0.97
ECC_20171115_171800_664.wav,Barbar,0.99
ECC_20171115_175321_973.wav,Barbar,0.99
ECC_20171116_171343_128.wav,Barbar,0.97
ECC_20171107_191649_981.wav,Myodau,0.5
ECC_20171115_222505_685.wav,Myonat,0.99
ECC_20171101_171218_691.wav,Nycnoc,0.74
ECC_20171101_171859_867.wav,Nycnoc,0.97
ECC_20171101_171907_288.wav,Nycnoc,0.93
ECC_20171115_164144_887.wav,Nycnoc,0.82
ECC_20171115_164146_177.wav,Nycnoc,0.66
ECC_20171115_165333_252.wav,Nycnoc,0.62
ECC_20171115_165334_849.wav,Nycnoc,0.99
ECC_20171115_165344_432.wav,Nycnoc,0.98
ECC_20171115_165349_432.wav,Nycnoc,0.85
ECC_20171115_165351_665.wav,Nycnoc,0.88
ECC_20171115_193553_451.wav,Nycnoc,0.68
ECC_20171115_193556_249.wav,Nycnoc,0.63
ECC_20171115_193557_468.wav,Nycnoc,0.62
ECC_20171101_171658_656.wav,Pipnat,0.79
ECC_20171102_190141_409.wav,Pipnat,0.99
ECC_20171102_190146_409.wav,Pipnat,0.92
ECC_20171102_190149_860.wav,Pipnat,0.88
ECC_20171103_173055_693.wav,Pipnat,0.51
ECC_20171103_173838_248.wav,Pipnat,0.95
ECC_20171031_170942_496.wav,Pippip,0.72
ECC_20171031_171438_417.wav,Pippip,0.83
ECC_20171101_171454_775.wav,Pippip,0.97
ECC_20171101_172233_556.wav,Pippip,0.94
ECC_20171101_174049_284.wav,Pippip,0.97
ECC_20171101_174222_596.wav,Pippip,0.98
ECC_20171101_175913_463.wav,Pippip,0.98
ECC_20171101_175917_316.wav,Pippip,0.99
ECC_20171101_185258_171.wav,Pippip,0.91
ECC_20171101_185259_600.wav,Pippip,0.92
ECC_20171101_192250_595.wav,Pippip,0.97
ECC_20171101_192251_607.wav,Pippip,0.94
ECC_20171103_165742_683.wav,Pippip,0.94
ECC_20171103_172950_139.wav,Pippip,0.9
ECC_20171103_173050_693.wav,Pippip,0.81
ECC_20171103_173108_269.wav,Pippip,0.97
ECC_20171103_173332_891.wav,Pippip,0.97
ECC_20171103_173433_789.wav,Pippip,0.86
ECC_20171103_173555_927.wav,Pippip,0.98
