filename,species,accuracy
ECC_20171230_212811_700.wav,Pippip,0.98
ECC_20171230_212812_896.wav,Pippip,0.97
ECC_20171230_212816_021.wav,Pippip,0.98
ECC_20171230_212821_021.wav,Pippip,0.89
ECC_20171230_212832_773.wav,Pippip,0.98
ECC_20171230_212834_581.wav,Pippip,0.97
ECC_20171230_215705_357.wav,Pippip,0.98
ECC_20171230_215710_357.wav,Pippip,0.95
ECC_20171230_220304_137.wav,Pippip,0.97
ECC_20171230_221036_497.wav,Pippip,0.96
ECC_20171230_235242_803.wav,Pippyg,0.96
ECC_20171230_235244_948.wav,Pippyg,0.98
