Group.1,Aposyl,Barbar,bird,chirp,Chobru,Condor,Confus,criq,Eptser,Homsap,Inssp5,Inssp6,Inssp7,Lamsp.,Leppun,mamm,Metbra,Micagr,Micmin,Mussp,Myoalc,Myobec,Myobra,Myodau,Myomys,Myonat,noise,Nyclei,Nycnoc,Omovir,Pelrid,Phafal,Phogri,Pipnat,Pippip,Pippyg,Plaalb,Pleaur,Ratnor,Rhifer,Rhihip,Roeroe,Tetvir,FreqM,FreqP,FreqC,Tstart,Tend,NbCris,DurMed,Dur90,Ampm50,Ampm90,AmpSMd,DiffME,SR,Order,Ind,SpMaxF2,Version
ECC_20180214_163400_000.wav,0.054,0.026,0.082,0.012,0.004,0.048,0.056,0,0.046,0.012,0.024,0.008,0.016,0.24,0.192,0.036,0.024,0.004,0.002,0.01,0.02,0.018,0.03,0.09,0.062,0.152,0.474,0.05,0.032,0.004,0,0.014,0.162,0.062,0.194,0.14,0.088,0.04,0.01,0.114,0.1,0.056,0.31,44,46.5,43.5,0,1,24,1,3,25.5,68.6,9,20.1,192000,N1,0.474,noise,5
ECC_20180214_163620_529.wav,0.048,0.054,0.088,0.006,0.01,0.044,0.15,0.002,0.062,0.04,0.02,0.02,0.038,0.084,0.31,0.046,0.022,0.004,0,0.01,0.006,0.01,0.038,0.056,0.052,0.086,0.54,0.036,0.102,0.004,0,0.032,0.31,0.106,0.126,0.068,0.212,0.046,0.008,0.028,0.024,0.096,0.318,27,25.5,24.4,0,0.9,22,1,3,29.9,98.2,12,26.3,192000,N1,0.54,noise,5
ECC_20180214_163835_896.wav,0.028,0.034,0.142,0.002,0.002,0.024,0.062,0,0.066,0.02,0.018,0.01,0.004,0.084,0.14,0.054,0.024,0.002,0,0.01,0.016,0.014,0.022,0.104,0.048,0.042,0.49,0.024,0.042,0.002,0,0.028,0.158,0.05,0.09,0.054,0.172,0.036,0.018,0.012,0.024,0.042,0.126,32,29.6,21,0,0.9,9,1,4,23.9,105.4,9,15.4,192000,N1,0.49,noise,5
ECC_20180214_164304_360.wav,0.034,0.032,0.156,0.006,0.004,0.064,0.112,0,0.086,0.026,0.012,0.014,0.014,0.082,0.122,0.066,0.042,0.004,0.002,0.014,0.014,0.018,0.036,0.076,0.056,0.13,0.588,0.038,0.062,0.01,0.002,0.026,0.242,0.094,0.15,0.124,0.176,0.07,0.01,0.038,0.058,0.098,0.292,34,30.8,23.2,0,0.9,38,3,14,16.6,49.4,6,13.1,192000,N1,0.588,noise,5
ECC_20180214_164414_012.wav,0.042,0.028,0.192,0.002,0.012,0.048,0.082,0,0.062,0.022,0.026,0.012,0.008,0.06,0.17,0.054,0.042,0.01,0.002,0.012,0.03,0.01,0.03,0.136,0.078,0.058,0.598,0.06,0.096,0.004,0,0.024,0.244,0.072,0.134,0.076,0.116,0.038,0.026,0.024,0.11,0.048,0.424,26,22.5,14.2,0,1.1,22,3,8,26.5,52.1,10,23.9,192000,N1,0.598,noise,5
ECC_20180214_164422_979.wav,0.066,0.042,0.068,0.006,0.014,0.066,0.104,0,0.056,0.022,0.016,0.008,0.016,0.134,0.24,0.026,0.016,0.006,0,0.006,0.03,0.018,0.038,0.08,0.046,0.068,0.612,0.036,0.032,0.004,0,0.014,0.18,0.076,0.108,0.066,0.24,0.056,0.006,0.02,0.088,0.052,0.144,32,37.5,32.2,0,1,20,1,2,37.9,77,15,30.5,192000,N1,0.612,noise,5
ECC_20180214_164426_085.wav,0.024,0.044,0.092,0.006,0.002,0.048,0.074,0,0.096,0.016,0.02,0.012,0.008,0.1,0.13,0.056,0.02,0.002,0,0.01,0.02,0.042,0.028,0.092,0.042,0.066,0.616,0.046,0.066,0,0,0.026,0.122,0.058,0.112,0.082,0.122,0.04,0.008,0.012,0.046,0.064,0.106,39,37.5,24.8,0,1,16,1,4,30.3,73.9,13,27.1,192000,N1,0.616,noise,5
ECC_20180214_164431_092.wav,0.018,0.034,0.044,0.006,0.002,0.072,0.064,0,0.08,0.008,0.014,0.008,0.012,0.122,0.212,0.036,0.02,0.004,0,0.008,0.05,0.014,0.054,0.142,0.094,0.06,0.596,0.05,0.048,0,0,0.016,0.13,0.102,0.346,0.114,0.086,0.036,0.012,0.02,0.056,0.062,0.11,47,46.9,40.9,0,1,12,1,4,23.9,66.3,11,16.9,192000,N1,0.596,noise,5
ECC_20180214_164552_297.wav,0.02,0.062,0.072,0.002,0.004,0.06,0.142,0,0.05,0.016,0.018,0.008,0.01,0.148,0.092,0.07,0.048,0.002,0.002,0.008,0.046,0.026,0.036,0.174,0.068,0.102,0.652,0.032,0.028,0.004,0,0.018,0.232,0.062,0.108,0.13,0.242,0.036,0.01,0.018,0.054,0.066,0.108,42,40.5,33.8,0,1,15,1,8,28.5,110.4,12,24.6,192000,N1,0.652,noise,5
ECC_20180214_164635_655.wav,0.02,0.008,0.084,0.002,0,0.012,0.032,0,0.042,0.008,0.022,0.01,0.01,0.07,0.226,0.02,0.01,0.002,0,0.008,0.014,0.01,0.028,0.066,0.024,0.07,0.558,0.026,0.022,0.002,0,0.03,0.216,0.022,0.036,0.032,0.108,0.116,0.004,0.012,0.004,0.034,0.12,22,18.8,17.2,0,1.1,6,1,5,31.2,169.5,14,25.4,192000,N1,0.558,noise,5
