Filename,Roeroe,Tetvir,FreqM,FreqP,FreqC,Tstart,Tend,NbCris,DurMed,Dur90,Ampm50,Ampm90,AmpSMd,DiffME,SR,Order,Ind,SpMaxF2,Version
ECC_20180530_212457_283.wav,0.024,0.084,41,39,39,0,2.3,25,17,31,60,139.1,18,47.8,192000,N1,0.774,Pipnat,5
ECC_20180530_235027_184.wav,0.022,0.036,52,45,43.5,0,4.9,53,27,39,199.6,440.7,90,188.8,192000,N1,0.812,Pippip,5
ECC_20180530_235037_395.wav,0.016,0.018,47,46.5,44.2,0,1,9,8,10,49.3,54.6,20,43.2,192000,N1,0.83,Pippip,5
ECC_20180530_235038_761.wav,0.018,0.086,50,44.2,43.5,0,5,53,24,40,108.2,381.6,46,97.1,192000,N1,0.85,Pippip,5
ECC_20180530_235043_761.wav,0.024,0.048,52,43.5,43.5,0,1.4,17,26,36,187.4,420.5,80,174.8,192000,N1,0.552,Pippip,5
ECC_20180530_235050_029.wav,0.062,0.08,55,48.8,45,0,5,69,21,35,152.3,497.6,64,140.5,192000,N1,0.854,Pippip,5
ECC_20180530_235055_029.wav,0.012,0.024,45,42,42,0,0.1,1,15,15,52.8,52.8,22,49.8,192000,N1,0.284,Pippip,5
ECC_20180530_235056_299.wav,0.018,0.034,54,45.8,43.5,0,3.5,39,18,36,99.4,407.5,41,90.2,192000,N1,0.776,Pippip,5
ECC_20180531_000417_680.wav,0.006,0.014,55,54.8,54.8,0,1.2,7,10,16,52.5,105.4,12,35.7,192000,N1,0.818,Pippyg,5
ECC_20180531_000429_373.wav,0.004,0.03,54,54,54,0,5,39,18,31,108,200.4,40,94.5,192000,N1,0.924,Pippyg,5
ECC_20180531_000434_373.wav,0.012,0.034,59,54.8,54,0.1,2.5,25,23,33,148.6,289.7,69,137.9,192000,N1,0.882,Pippyg,5
ECC_20180531_000438_193.wav,0.01,0.046,56,54,54,0,5,48,18,28,89.4,276.7,34,76.3,192000,N1,0.95,Pippyg,5
ECC_20180531_000443_193.wav,0.006,0.024,58,55.5,54.4,0,1.9,16,24,34,147.9,345.6,66,133.9,192000,N1,0.86,Pippyg,5
ECC_20180531_000604_000.wav,0.002,0.008,53,53.2,53.2,0.5,0.6,1,5,5,21.5,21.5,9,20.5,192000,N1,0.418,Pippyg,5
ECC_20180531_002608_948.wav,0.006,0.018,53,54,54,0,1.1,8,11,15,27.7,74.1,10,17.4,192000,N1,0.6,Pippyg,5
ECC_20180531_002615_447.wav,0.006,0.004,54,53.2,53.2,0,1.1,9,13,16,56.4,102.4,18,39.9,192000,N1,0.728,Pippyg,5
ECC_20180531_003416_572.wav,0.006,0.02,54,52.5,52.5,0,4.5,42,17,27,71.7,135.7,28,62.7,192000,N1,0.926,Pippyg,5
ECC_20180531_003724_667.wav,0.05,0.064,62,56.2,55.5,0,5,62,17,28,141,267.8,65,130,192000,N1,0.956,Pippyg,5
ECC_20180531_003729_667.wav,0.022,0.016,55,54.4,54,0,0.9,7,11,28,43.6,96,15,34.7,192000,N1,0.75,Pippyg,5
ECC_20180531_003730_959.wav,0.01,0.024,60,56.2,55.5,0,4.7,50,20,27,117,225,49,104.8,192000,N1,0.94,Pippyg,5
ECC_20180531_004840_356.wav,0.008,0.008,50,51.8,53.2,0,0.1,1,3,3,217.9,217.9,107,217.9,192000,N1,0.304,noise,5
ECC_20180531_005502_819.wav,0.014,0.078,49,46.5,46.5,0,1.3,14,12,23,74.7,137.7,22,68.4,192000,N1,0.888,Pippip,5
ECC_20180531_005504_916.wav,0.008,0.044,51,46.5,45.8,0,2.8,27,19,28,150.2,309.2,59,139.3,192000,N1,0.902,Pippip,5
ECC_20180531_005529_828.wav,0.038,0.062,39,38.2,37.5,0,2.5,19,22,35,124.2,190.1,55,111.8,192000,N1,0.792,Pipnat,5
ECC_20180531_005532_929.wav,0.046,0.092,43,38.2,38.2,0,2.6,23,25,40,177.1,475,68,165.5,192000,N1,0.762,Pipnat,5
ECC_20180531_005841_632.wav,0.016,0.038,55,53.2,52.9,0,4.5,70,14,32,62.8,255.3,24,51.9,192000,N1,0.964,Pippyg,5
ECC_20180531_005846_331.wav,0.014,0.008,57,54.8,54.8,0,3.2,32,21,27,100,178.3,43,89.7,192000,N1,0.936,Pippyg,5
ECC_20180531_011144_403.wav,0.012,0.036,44,42.8,42,0,4.3,32,21,37,82.7,233.4,30,70.4,192000,N1,0.57,Pippip,5
ECC_20180531_011226_052.wav,0.018,0.034,49,46.5,45.8,0,4.1,34,21,38,104,302,40,93.5,192000,N1,0.882,Pippip,5
ECC_20180531_011439_188.wav,0.01,0.024,44,39.8,39.8,0,3.6,26,27,32,130,323,54,119.7,192000,N1,0.768,Pipnat,5
ECC_20180531_011907_617.wav,0.004,0.032,43,42.8,42,0,4.9,36,22,35,87.6,177.7,32,76.2,192000,N1,0.664,Pippip,5
ECC_20180531_011912_617.wav,0,0.002,43,42,41.2,0,0.1,1,22,22,68.8,68.8,31,65.5,192000,N1,0.408,Pippip,5
ECC_20180531_015254_435.wav,0.006,0.022,50,49.5,48.8,0,5,48,22,36,91.5,304.5,33,77.5,192000,N1,0.888,Pippip,5
ECC_20180531_015259_435.wav,0.002,0,50,48,48,0.1,0.4,1,14,16,47.9,48.2,15,31.8,192000,N1,0.61,Pippip,5
ECC_20180531_020900_897.wav,0.014,0.016,62,57,56.2,0,3.1,38,17,25,89.3,244.9,37,78.4,192000,N1,0.936,Pippyg,5
ECC_20180531_024427_713.wav,0.016,0.04,43,46.5,43.5,0,0.1,10,1,2,43,396,20,31.1,192000,N1,0.338,noise,5
ECC_20180531_034204_741.wav,0.256,0.418,19,21,10.5,0,1.1,23,6,15,14.2,24.1,5,9.1,192000,N1,0.418,Tetvir,5
ECC_20180531_034206_221.wav,0.066,0.188,26,24,19.9,0,1.1,13,2,9,24.3,199,11,19.9,192000,N1,0.376,noise,5
ECC_20180531_034601_327.wav,0.046,0.454,18,10.5,9.8,0,1.1,9,4,19,19.4,64.6,9,16.6,192000,N1,0.454,Tetvir,5
ECC_20180531_034717_755.wav,0.082,0.286,28,22.1,12,0,1.1,20,3,16,20.3,77.4,9,15.6,192000,N1,0.586,noise,5
ECC_20180531_204611_140.wav,0.036,0.048,69,79.1,66.8,0,1,35,1,2,46,180.7,17,30.2,192000,N1,0.582,noise,5
ECC_20180531_230704_000.wav,0.02,0.024,18,20.2,18.8,0.6,0.7,1,1,1,17.5,17.5,7,17.3,192000,N1,0.444,noise,5
ECC_20180601_193800_000.wav,0.01,0.008,39,38.2,39,0.7,0.8,1,0,0,20.4,20.4,8,10.1,192000,N1,0.256,Leppun,5
ECC_20180601_194407_689.wav,0.014,0.03,28,28.9,31.5,0,1,1,1,1,283.6,481.6,128,275.8,192000,N1,0.674,noise,5
ECC_20180601_202651_589.wav,0.012,0.058,35,24.8,24.8,0,0.9,2,2,3,52.4,360.7,24,52,192000,N1,0.568,noise,5
ECC_20180601_204235_737.wav,0.01,0.04,17,17.2,17.2,0,2.5,12,6,53,19.5,122.2,6,8.7,192000,N1,0.688,Nycnoc,5
ECC_20180601_204239_620.wav,0.014,0.12,16,16.5,16.5,0,1.6,7,5,35,20.3,89,9,0,192000,N1,0.516,Nycnoc,5
ECC_20180601_204503_137.wav,0.01,0.09,16,16.5,16.5,0,3.7,18,6,54,21.1,148.9,9,5.6,192000,N1,0.74,Nycnoc,5
ECC_20180601_204508_029.wav,0.022,0.09,24,21,21.8,0,4.9,23,11,46,22.1,177.6,7,12.5,192000,N1,0.732,Nycnoc,5
ECC_20180601_204858_897.wav,0.014,0.056,16,17.2,17.2,0,3.3,8,27,45,59.9,116.1,20,44.6,192000,N1,0.572,Nycnoc,5
ECC_20180601_205110_793.wav,0.014,0.072,16,17.2,17.2,0,2.4,11,7,44,26.6,113,9,15.4,192000,N1,0.624,Nycnoc,5
ECC_20180601_205114_827.wav,0.004,0.054,17,17.2,17.2,0,0.9,6,6,32,27.3,96.6,8,10.4,192000,N1,0.604,Nycnoc,5
ECC_20180601_205116_837.wav,0.008,0.08,17,16.5,16.5,0,0.9,5,8,48,15.7,101.6,6,2.5,192000,N1,0.596,Nycnoc,5
ECC_20180601_205117_993.wav,0.012,0.052,17,17.2,17.2,0,2.3,14,5,60,16.3,151.6,4,7.7,192000,N1,0.666,Nycnoc,5
ECC_20180601_205120_703.wav,0.018,0.11,17,16.5,16.5,0,3.9,19,7,52,21.3,154.6,8,11.9,192000,N1,0.61,Nycnoc,5
ECC_20180601_205959_228.wav,0.026,0.078,17,17.6,17.6,0,0.7,3,38,53,48.2,127.3,15,35.2,192000,N1,0.44,Nycnoc,5
ECC_20180601_210000_336.wav,0.016,0.136,18,18,18,0,0.9,5,18,40,21.5,81.5,6,11.2,192000,N1,0.614,Nycnoc,5
ECC_20180601_210001_797.wav,0.008,0.096,17,16.5,16.5,0,4.9,25,5,69,17.9,164.4,7,9.3,192000,N1,0.746,Nycnoc,5
ECC_20180601_210006_797.wav,0.02,0.138,16,16.5,16.9,0.1,1.6,4,16,37,23.5,109.5,7,10.7,192000,N1,0.504,Nycnoc,5
ECC_20180601_210131_456.wav,0.014,0.046,34,54.8,9,0,0.1,1,4,4,245.2,245.2,108,236.7,192000,N1,0.426,noise,5
ECC_20180601_210801_781.wav,0,0.014,16,17.2,15.8,0,0.1,1,26,26,139.1,139.1,64,129.6,192000,N1,0.342,Nycnoc,5
ECC_20180601_210804_000.wav,0.008,0.014,19,19.5,19.5,0.3,1.1,3,21,23,34.6,83.8,12,23.5,192000,N1,0.448,Nycnoc,5
ECC_20180601_211343_992.wav,0.012,0.02,49,44.2,43.9,0,1.5,13,16,22,79.3,121.9,30,74.7,192000,N1,0.638,Pippip,5
ECC_20180601_211352_593.wav,0.014,0.036,53,44.2,43.5,0,3.9,44,24,35,174.4,393.8,77,164.3,192000,N1,0.648,Pippip,5
ECC_20180601_211442_888.wav,0.046,0.036,51,44.2,44.2,0,1.7,20,15,24,116.8,195.3,36,110.4,192000,N1,0.82,Pippip,5
