filename,species,accuracy
ECC_20180812_223130_261.wav,Barbar,0.98
ECC_20180816_204239_509.wav,Barbar,0.96
ECC_20180816_232721_053.wav,Barbar,0.96
ECC_20180807_202319_385.wav,Eptser,0.94
ECC_20180807_202403_864.wav,Eptser,0.95
ECC_20180807_202428_763.wav,Eptser,0.58
ECC_20180807_202646_035.wav,Eptser,0.56
ECC_20180807_202648_612.wav,Eptser,0.67
ECC_20180807_202650_244.wav,Eptser,0.63
ECC_20180807_203257_561.wav,Eptser,0.98
ECC_20180807_203302_561.wav,Eptser,0.7
ECC_20180807_203305_321.wav,Eptser,0.58
ECC_20180807_203526_756.wav,Eptser,0.97
ECC_20180807_203925_355.wav,Eptser,0.71
ECC_20180807_204206_376.wav,Eptser,0.93
ECC_20180807_204442_193.wav,Eptser,0.95
ECC_20180807_204502_388.wav,Eptser,0.94
ECC_20180807_204520_413.wav,Eptser,0.95
ECC_20180807_210726_988.wav,Eptser,0.94
ECC_20180807_214312_808.wav,Eptser,0.97
ECC_20180807_220838_972.wav,Eptser,0.93
ECC_20180807_220841_452.wav,Eptser,0.56
ECC_20180808_205920_853.wav,Eptser,0.99
ECC_20180808_215326_885.wav,Eptser,0.85
ECC_20180808_215335_976.wav,Eptser,0.76
ECC_20180808_220936_521.wav,Eptser,0.96
ECC_20180808_220942_885.wav,Eptser,0.6
ECC_20180808_221142_261.wav,Eptser,0.99
ECC_20180808_221148_613.wav,Eptser,0.93
ECC_20180808_221159_335.wav,Eptser,0.94
ECC_20180808_221225_837.wav,Eptser,0.99
ECC_20180808_221239_192.wav,Eptser,0.93
ECC_20180808_221334_516.wav,Eptser,0.93
ECC_20180808_221509_084.wav,Eptser,0.92
ECC_20180808_221512_957.wav,Eptser,0.99
ECC_20180808_222403_453.wav,Eptser,0.92
ECC_20180808_222525_727.wav,Eptser,0.87
ECC_20180808_222528_716.wav,Eptser,0.75
ECC_20180808_222631_036.wav,Eptser,0.8
ECC_20180808_222631_781.wav,Eptser,0.98
ECC_20180808_222720_209.wav,Eptser,0.81
ECC_20180808_222901_417.wav,Eptser,0.9
ECC_20180808_222920_431.wav,Eptser,0.56
ECC_20180808_223334_341.wav,Eptser,0.69
ECC_20180808_223401_405.wav,Eptser,0.63
ECC_20180808_223450_156.wav,Eptser,0.58
ECC_20180808_223655_281.wav,Eptser,0.57
ECC_20180808_223844_424.wav,Eptser,0.76
ECC_20180808_224255_323.wav,Eptser,0.9
ECC_20180808_224443_007.wav,Eptser,0.86
ECC_20180808_224525_004.wav,Eptser,0.58
ECC_20180808_230032_101.wav,Eptser,0.98
ECC_20180809_003031_989.wav,Eptser,0.9
ECC_20180809_011449_927.wav,Eptser,0.58
ECC_20180809_011452_323.wav,Eptser,0.95
ECC_20180809_011457_527.wav,Eptser,0.9
ECC_20180809_011459_649.wav,Eptser,0.96
ECC_20180809_011504_521.wav,Eptser,0.68
ECC_20180809_011655_987.wav,Eptser,0.99
ECC_20180809_012023_627.wav,Eptser,0.96
ECC_20180809_013857_373.wav,Eptser,0.93
ECC_20180809_015109_428.wav,Eptser,0.87
ECC_20180809_015112_583.wav,Eptser,0.99
ECC_20180809_015854_167.wav,Eptser,0.94
ECC_20180809_015857_375.wav,Eptser,0.98
ECC_20180811_202636_539.wav,Eptser,0.99
ECC_20180811_202641_539.wav,Eptser,0.82
ECC_20180812_204045_188.wav,Eptser,0.87
ECC_20180813_022445_733.wav,Eptser,0.95
ECC_20180813_024537_477.wav,Eptser,0.78
ECC_20180814_015746_920.wav,Eptser,0.69
ECC_20180814_015748_368.wav,Eptser,0.99
ECC_20180814_024747_999.wav,Eptser,0.98
ECC_20180814_024749_505.wav,Eptser,0.97
ECC_20180814_025949_339.wav,Eptser,0.99
ECC_20180814_201049_117.wav,Eptser,0.83
ECC_20180814_201807_521.wav,Eptser,0.92
ECC_20180814_203719_036.wav,Eptser,0.9
ECC_20180814_220300_980.wav,Eptser,0.79
ECC_20180815_015414_123.wav,Eptser,0.95
ECC_20180815_015818_799.wav,Eptser,0.8
ECC_20180815_015820_187.wav,Eptser,0.97
ECC_20180815_021201_920.wav,Eptser,0.64
ECC_20180815_021942_636.wav,Eptser,0.96
ECC_20180815_021947_636.wav,Eptser,0.91
ECC_20180815_022140_755.wav,Eptser,0.97
ECC_20180815_022142_096.wav,Eptser,0.99
ECC_20180815_022911_760.wav,Eptser,0.99
ECC_20180815_023644_435.wav,Eptser,0.96
ECC_20180815_201404_203.wav,Eptser,0.75
ECC_20180815_201408_008.wav,Eptser,0.86
ECC_20180815_201430_163.wav,Eptser,0.98
ECC_20180815_202020_056.wav,Eptser,0.7
ECC_20180815_202021_499.wav,Eptser,0.99
ECC_20180815_202836_477.wav,Eptser,0.65
ECC_20180815_203153_696.wav,Eptser,0.88
ECC_20180815_203159_445.wav,Eptser,0.97
ECC_20180815_203302_247.wav,Eptser,0.96
ECC_20180815_203325_703.wav,Eptser,0.95
ECC_20180815_203620_101.wav,Eptser,0.92
ECC_20180815_203707_608.wav,Eptser,0.99
ECC_20180815_203709_865.wav,Eptser,0.9
ECC_20180815_203712_444.wav,Eptser,0.77
ECC_20180815_203715_785.wav,Eptser,0.6
ECC_20180815_203831_496.wav,Eptser,0.97
ECC_20180815_203837_159.wav,Eptser,0.99
ECC_20180815_203842_159.wav,Eptser,0.94
ECC_20180815_203847_483.wav,Eptser,0.98
ECC_20180815_203852_483.wav,Eptser,0.92
ECC_20180815_204552_297.wav,Eptser,0.9
ECC_20180815_204952_887.wav,Eptser,0.99
ECC_20180815_204957_887.wav,Eptser,0.92
ECC_20180815_205246_025.wav,Eptser,0.94
ECC_20180815_205251_520.wav,Eptser,0.59
ECC_20180815_205629_539.wav,Eptser,0.96
ECC_20180815_205634_097.wav,Eptser,0.97
ECC_20180815_205638_345.wav,Eptser,0.98
ECC_20180815_205642_252.wav,Eptser,0.97
ECC_20180815_205645_737.wav,Eptser,0.99
ECC_20180815_212601_015.wav,Eptser,0.99
ECC_20180815_212605_043.wav,Eptser,0.99
ECC_20180815_212610_043.wav,Eptser,0.97
ECC_20180815_212612_801.wav,Eptser,0.78
ECC_20180815_212614_216.wav,Eptser,0.81
ECC_20180815_212619_184.wav,Eptser,0.52
ECC_20180815_212629_463.wav,Eptser,0.96
ECC_20180815_212638_228.wav,Eptser,0.97
ECC_20180815_212643_228.wav,Eptser,0.6
ECC_20180815_212646_108.wav,Eptser,0.93
ECC_20180815_213542_939.wav,Eptser,0.64
ECC_20180815_213545_208.wav,Eptser,0.63
ECC_20180815_213633_043.wav,Eptser,0.97
ECC_20180815_214324_860.wav,Eptser,0.99
ECC_20180818_203527_085.wav,Eptser,0.98
ECC_20180815_002013_844.wav,Myodau,0.57
ECC_20180815_211926_709.wav,Myonat,0.5
ECC_20180807_203232_551.wav,Nycnoc,0.8
ECC_20180807_203327_536.wav,Nycnoc,0.54
ECC_20180807_204525_413.wav,Nycnoc,0.79
ECC_20180807_205843_105.wav,Nycnoc,0.93
ECC_20180807_210031_199.wav,Nycnoc,0.6
ECC_20180807_210043_961.wav,Nycnoc,0.85
ECC_20180807_210054_925.wav,Nycnoc,0.55
ECC_20180807_213350_096.wav,Nycnoc,0.53
ECC_20180807_213355_096.wav,Nycnoc,0.87
ECC_20180807_215101_523.wav,Nycnoc,0.89
ECC_20180807_215105_069.wav,Nycnoc,0.84
ECC_20180808_211549_427.wav,Nycnoc,0.62
ECC_20180808_213041_064.wav,Nycnoc,0.95
ECC_20180808_213305_549.wav,Nycnoc,0.81
ECC_20180808_213308_293.wav,Nycnoc,0.92
ECC_20180808_213314_101.wav,Nycnoc,0.56
ECC_20180808_213955_999.wav,Nycnoc,0.87
ECC_20180808_214828_795.wav,Nycnoc,0.73
ECC_20180808_214854_171.wav,Nycnoc,0.97
ECC_20180808_214903_956.wav,Nycnoc,0.54
ECC_20180808_214938_919.wav,Nycnoc,0.88
ECC_20180808_214945_233.wav,Nycnoc,0.86
ECC_20180808_215006_039.wav,Nycnoc,0.99
ECC_20180808_215010_601.wav,Nycnoc,0.65
ECC_20180808_215016_007.wav,Nycnoc,0.86
ECC_20180808_215148_756.wav,Nycnoc,0.69
ECC_20180808_215150_155.wav,Nycnoc,0.98
ECC_20180808_215155_155.wav,Nycnoc,0.96
ECC_20180808_215205_525.wav,Nycnoc,0.97
ECC_20180808_215212_028.wav,Nycnoc,0.98
ECC_20180808_215219_455.wav,Nycnoc,0.99
ECC_20180808_215225_397.wav,Nycnoc,0.99
ECC_20180808_215230_380.wav,Nycnoc,0.92
ECC_20180808_215231_563.wav,Nycnoc,0.88
ECC_20180808_215254_021.wav,Nycnoc,0.98
ECC_20180808_215258_587.wav,Nycnoc,0.96
ECC_20180808_215302_261.wav,Nycnoc,0.96
ECC_20180808_215303_937.wav,Nycnoc,0.92
ECC_20180808_215308_904.wav,Nycnoc,0.63
ECC_20180808_215310_639.wav,Nycnoc,0.8
ECC_20180808_215318_772.wav,Nycnoc,0.52
ECC_20180808_215320_971.wav,Nycnoc,0.98
ECC_20180808_215331_905.wav,Nycnoc,0.81
ECC_20180808_215333_967.wav,Nycnoc,0.8
ECC_20180808_215338_939.wav,Nycnoc,0.8
ECC_20180808_215343_523.wav,Nycnoc,0.92
ECC_20180808_215349_560.wav,Nycnoc,0.69
ECC_20180808_215353_712.wav,Nycnoc,0.98
ECC_20180808_215359_045.wav,Nycnoc,0.52
ECC_20180808_215400_939.wav,Nycnoc,0.99
ECC_20180808_215406_388.wav,Nycnoc,0.81
ECC_20180808_215407_567.wav,Nycnoc,0.96
ECC_20180808_215414_455.wav,Nycnoc,0.6
ECC_20180808_215415_957.wav,Nycnoc,0.93
ECC_20180808_215435_761.wav,Nycnoc,0.91
ECC_20180808_215437_259.wav,Nycnoc,0.99
ECC_20180808_215454_783.wav,Nycnoc,0.69
ECC_20180808_215500_501.wav,Nycnoc,0.92
ECC_20180808_215503_336.wav,Nycnoc,0.85
ECC_20180808_215504_421.wav,Nycnoc,0.99
ECC_20180808_215513_095.wav,Nycnoc,0.96
ECC_20180808_215519_179.wav,Nycnoc,0.85
ECC_20180808_215521_220.wav,Nycnoc,0.79
ECC_20180808_215523_021.wav,Nycnoc,0.92
ECC_20180808_215530_553.wav,Nycnoc,0.6
ECC_20180808_215532_340.wav,Nycnoc,0.94
ECC_20180808_215616_180.wav,Nycnoc,0.78
ECC_20180808_215617_847.wav,Nycnoc,0.92
ECC_20180808_215627_312.wav,Nycnoc,0.81
ECC_20180808_215859_579.wav,Nycnoc,0.58
ECC_20180808_220242_793.wav,Nycnoc,0.95
ECC_20180808_220248_112.wav,Nycnoc,0.56
ECC_20180808_220621_677.wav,Nycnoc,0.87
ECC_20180808_220751_375.wav,Nycnoc,0.59
