Filename,CallNum,Version,FileDur,SampleRate,StTime,Dur,PrevSt,Fmax,Fmin,BW,FreqMP,CM_FIF,Amp1,Amp2,Amp3,Amp4,Aposyl,Barbar,bird,chirp,Chobru,Condor,Confus,criq,Eptser,Homsap,Inssp5,Inssp6,Inssp7,Lamsp.,Leppun,mamm,Metbra,Micagr,Micmin,Mussp,Myoalc,Myobec,Myobra,Myodau,Myomys,Myonat,noise,Nyclei,Nycnoc,Omovir,Pelrid,Phafal,Phogri,Pipnat,Pippip,Pippyg,Plaalb,Pleaur,Ratnor,Rhifer,Rhihip,Roeroe,Tetvir,HL,HU
ECC_20181017_214628_287.wav,0,1,1.01,192000,0,46.33,9999,52.5,26.25,26.25,35.25,34.5,100.73,99.66,57.81,21.59,0.008,0.028,0.008,0.018,0,0,0.006,0,0.03,0,0,0,0,0.002,0.68,0.006,0,0,0.002,0.002,0,0.002,0,0.01,0.002,0.002,0.028,0.018,0.022,0,0,0,0.012,0.028,0.026,0.022,0.016,0.014,0,0.002,0,0.002,0.004,TRUE,FALSE
ECC_20181017_214628_287.wav,1,1,1.01,192000,2.67,4.17,9999,53.25,45.75,7.5,49.5,50.25,13.42,11.62,14.25,2.48,0.044,0.012,0.04,0.006,0,0.004,0.01,0,0.022,0,0,0,0.002,0.004,0.064,0.022,0.008,0,0,0.014,0.004,0.002,0.01,0.012,0.016,0.004,0.074,0.018,0.036,0,0,0,0.058,0.046,0.256,0.12,0.006,0.01,0.012,0.008,0.032,0.008,0.016,FALSE,TRUE
ECC_20181017_214656_677.wav,0,1,1.02,192000,0,37.5,9999,52.5,24.75,27.75,35.25,35.25,64.77,72.58,52.37,18.35,0,0.022,0.006,0.002,0,0.002,0.002,0,0.016,0,0,0,0,0.002,0.732,0.01,0,0,0,0.002,0.002,0,0,0.004,0.004,0.004,0.032,0.01,0.012,0,0,0,0.018,0.034,0.008,0.012,0.034,0.018,0.004,0,0.002,0.002,0.004,FALSE,FALSE
ECC_20181017_214656_677.wav,1,1,1.02,192000,154.17,0.83,154.17,41.25,32.25,9,36,36,17.91,59.99,20.56,15.93,0.008,0.022,0,0.002,0,0.012,0.02,0,0.006,0,0.004,0,0.022,0.02,0.566,0.002,0.004,0,0,0,0,0,0,0.018,0.004,0.012,0.112,0.004,0.002,0,0,0.004,0.022,0.022,0.028,0.008,0.046,0.008,0.004,0.002,0.008,0.004,0.004,FALSE,FALSE
ECC_20181017_214656_677.wav,2,1,1.02,192000,158.33,7.33,4.17,47.25,32.25,15,39,0,0.77,1.37,15.24,1.42,0.004,0.002,0.024,0.004,0,0.01,0.032,0,0.03,0.002,0.004,0.008,0.014,0.004,0.336,0.012,0.008,0,0,0,0.002,0,0.016,0.02,0.004,0.006,0.104,0.004,0.006,0,0,0.002,0.116,0.018,0.04,0.042,0.084,0.004,0.002,0.006,0.004,0.014,0.012,FALSE,FALSE
ECC_20181017_214656_677.wav,3,1,1.02,192000,166.33,4.33,8,43.5,33,10.5,38.25,37.5,5.96,22.22,1.9,0.23,0.006,0.008,0.01,0,0,0.022,0.01,0,0.008,0,0.012,0.01,0.004,0.014,0.56,0.012,0,0,0,0,0.002,0.002,0.008,0.014,0.01,0.002,0.066,0.008,0.002,0,0,0,0.052,0.018,0.026,0.044,0.042,0.002,0,0.002,0,0.01,0.014,FALSE,FALSE
ECC_20181017_214656_677.wav,4,1,1.02,192000,172.17,3.5,5.83,41.25,33,8.25,36,0,12.92,15.65,1.49,12.25,0.03,0.016,0.026,0,0,0.012,0.014,0,0.024,0.002,0.004,0,0.006,0.004,0.244,0.022,0,0.002,0,0.002,0,0.004,0.004,0.002,0.002,0.01,0.098,0.012,0.026,0,0,0.014,0.146,0.04,0.034,0.036,0.104,0.006,0.004,0,0.004,0.014,0.032,FALSE,FALSE
ECC_20181017_214656_677.wav,5,1,1.02,192000,183.17,0.67,11,37.5,33.75,3.75,35.25,36,1.95,9.19,16.77,3.7,0.02,0.048,0.032,0.002,0,0.008,0.01,0,0.024,0.006,0.002,0.002,0.014,0.006,0.242,0.018,0.004,0.006,0,0.002,0.004,0.006,0.01,0.082,0.01,0.006,0.074,0.026,0.022,0,0,0.004,0.076,0.064,0.036,0.028,0.03,0.034,0.012,0.006,0.002,0.004,0.018,FALSE,FALSE
ECC_20181017_214722_397.wav,0,1,1.1,192000,0,44.33,9999,54.75,26.25,28.5,36,33,112.68,121.11,57.77,12.96,0.008,0.034,0.002,0.02,0,0,0.002,0,0.022,0.004,0,0,0,0.002,0.708,0.014,0,0,0,0.002,0,0,0,0.02,0.004,0,0.032,0.014,0.004,0,0,0,0.008,0.022,0.022,0.016,0.018,0.02,0,0,0,0.002,0,FALSE,FALSE
ECC_20181017_214755_305.wav,0,1,1.09,192000,0.33,48.33,9999,54,24,30,36.75,38.25,127.31,130.95,73.38,19.85,0,0.01,0.006,0.006,0,0.002,0.012,0,0.018,0,0,0.002,0,0.004,0.73,0.006,0.006,0,0,0.002,0,0.002,0,0.014,0,0,0.016,0.004,0.004,0,0,0.002,0.022,0.006,0.012,0.02,0.082,0.004,0,0.004,0,0,0.004,FALSE,FALSE
