Filename,CallNum,Version,FileDur,SampleRate,StTime,Dur,PrevSt,Fmax,Fmin,BW,FreqMP,CM_FIF,Amp1,Amp2,Amp3,Amp4,Aposyl,Barbar,bird,chirp,Chobru,Condor,Confus,criq,Eptser,Homsap,Inssp5,Inssp6,Inssp7,Lamsp.,Leppun,mamm,Metbra,Micagr,Micmin,Mussp,Myoalc,Myobec,Myobra,Myodau,Myomys,Myonat,noise,Nyclei,Nycnoc,Omovir,Pelrid,Phafal,Phogri,Pipnat,Pippip,Pippyg,Plaalb,Pleaur,Ratnor,Rhifer,Rhihip,Roeroe,Tetvir,HL,HU
ECC_20181017_194456_641.wav,0,1,1.06,192000,0,33.5,9999,54,25.5,28.5,35.25,31.5,68.95,63.19,65.35,22.78,0.01,0.018,0.012,0.026,0,0.008,0.008,0,0.02,0,0,0,0,0.006,0.666,0.016,0.002,0,0,0.008,0,0,0,0.016,0,0.002,0.032,0.016,0.006,0,0,0.002,0.034,0.016,0.012,0.01,0.028,0.016,0,0.002,0.002,0.004,0.002,TRUE,FALSE
ECC_20181017_194456_641.wav,1,1,1.06,192000,0,0.33,9999,48,42.75,5.25,45,45,53.3,35.74,19.81,5.49,0.004,0.006,0.02,0,0,0.022,0.036,0,0.006,0.004,0.008,0.008,0.008,0.026,0.216,0.006,0.006,0,0,0.006,0.006,0.002,0.006,0.016,0.008,0.008,0.172,0.026,0.006,0,0,0.006,0.12,0.018,0.052,0.02,0.048,0.022,0.002,0.002,0.04,0.008,0.03,FALSE,TRUE
ECC_20181017_194456_641.wav,2,1,1.06,192000,39.5,1.33,39.5,49.5,42,7.5,45.75,46.5,0.53,39.43,4.94,0.52,0.012,0.004,0.016,0.012,0,0.024,0.04,0,0.006,0.006,0.006,0.004,0.006,0.022,0.192,0.014,0.006,0.002,0,0.006,0.002,0.004,0.01,0.022,0.004,0.012,0.236,0.006,0.008,0,0,0.008,0.14,0.012,0.046,0.01,0.032,0.01,0,0.004,0.02,0.016,0.02,FALSE,TRUE
ECC_20181017_194456_641.wav,3,1,1.06,192000,39.67,2.5,39.67,40.5,25.5,15,36,37.5,81.23,46.86,12.55,1.22,0.002,0.018,0.02,0.008,0,0.008,0.016,0,0.018,0.002,0.008,0.006,0.014,0.012,0.406,0.01,0.004,0.002,0,0.002,0.002,0.002,0.008,0.028,0.018,0.002,0.146,0.012,0.01,0,0,0.002,0.052,0.01,0.024,0.04,0.046,0.014,0.004,0.002,0,0.012,0.01,TRUE,FALSE
ECC_20181017_194456_641.wav,4,1,1.06,192000,102.67,1.33,63,37.5,26.25,11.25,30,36,73.8,24.85,1.65,2.07,0,0.01,0.01,0,0,0.014,0.02,0,0.01,0,0.008,0,0.002,0.026,0.426,0.004,0,0,0,0,0,0.004,0.002,0.032,0.01,0.006,0.296,0.01,0.002,0,0,0.002,0.028,0.008,0.014,0.002,0.02,0.018,0,0.004,0,0.008,0.004,FALSE,FALSE
ECC_20181017_194503_433.wav,0,1,1.07,192000,0,34.17,9999,57,22.5,34.5,34.5,34.5,69.52,47.05,46.22,27.11,0.006,0.014,0.008,0.012,0,0.014,0.006,0,0.032,0.002,0,0.002,0.002,0.002,0.602,0.01,0.004,0,0,0.002,0,0.002,0.002,0.014,0.008,0.01,0.036,0.028,0.01,0,0,0,0.022,0.018,0.03,0.024,0.04,0.024,0.002,0,0,0.008,0.004,FALSE,FALSE
ECC_20181017_194503_433.wav,1,1,1.07,192000,38.5,2.17,38.5,39,27,12,36,35.25,0.28,3.17,69.29,2.43,0.002,0.018,0.018,0.008,0,0.02,0.036,0,0.01,0.006,0.004,0.002,0.01,0.012,0.382,0.008,0.008,0,0,0.002,0,0.002,0.006,0.012,0.006,0.002,0.148,0.01,0.008,0,0,0.004,0.05,0.028,0.024,0.022,0.08,0.016,0.002,0.002,0.004,0.02,0.008,TRUE,FALSE
ECC_20181017_194503_433.wav,2,1,1.07,192000,39.5,0.33,39.5,50.25,42.75,7.5,45,44.25,11.57,30.31,27.52,3.18,0.004,0.006,0.016,0.002,0,0.006,0.038,0,0,0,0.018,0.008,0.006,0.084,0.186,0.002,0.008,0,0,0,0.008,0,0.012,0.012,0.008,0.008,0.324,0.01,0.006,0,0,0.002,0.086,0.016,0.032,0.008,0.038,0.01,0.002,0.002,0.008,0.012,0.012,FALSE,TRUE
ECC_20181017_194503_433.wav,3,1,1.07,192000,99.83,0.5,60.33,38.25,24.75,13.5,31.5,31.5,97.82,57.19,20.77,8.21,0,0.01,0.02,0,0,0.014,0.028,0,0.012,0.002,0.012,0.008,0.002,0.036,0.232,0.004,0.008,0,0,0,0.002,0.008,0.002,0.032,0.006,0.012,0.42,0.014,0.004,0,0,0.016,0.02,0.006,0.014,0,0.038,0.01,0,0,0,0.004,0.004,FALSE,FALSE
ECC_20181017_194509_260.wav,0,1,1.04,192000,0.17,42.17,9999,56.25,25.5,30.75,33.75,35.25,72.3,70.53,50.89,13.42,0,0.016,0.002,0.012,0,0.006,0.01,0,0.024,0,0,0,0,0,0.752,0.006,0,0,0,0.004,0.002,0,0.006,0.01,0.006,0.002,0.012,0.014,0.01,0,0,0,0.012,0.012,0.02,0.006,0.028,0.022,0,0,0.002,0.002,0.002,FALSE,FALSE
