Filename,Roeroe,Tetvir,FreqM,FreqP,FreqC,Tstart,Tend,NbCris,DurMed,Dur90,Ampm50,Ampm90,AmpSMd,DiffME,SR,Order,Ind,SpMaxF2,Version
ECC_20181006_214904_000.wav,0.016,0.016,38,37.5,38.2,0.5,0.6,5,1,2,46.2,51.2,22,43.1,192000,N1,0.646,Leppun,5
ECC_20181007_175005_749.wav,0.004,0.006,54,54,54,0,1.1,5,12,17,41.1,97,15,30.5,192000,N1,0.702,Pippyg,5
ECC_20181007_175430_505.wav,0.014,0.036,56,54.8,54.8,0,0.8,5,6,12,21.1,93.9,5,12.8,192000,N1,0.758,Pippyg,5
ECC_20181007_181152_889.wav,0.006,0.058,52,51,50.6,0,1,7,13,17,27.2,89.2,12,17.6,192000,N1,0.574,Pippyg,5
ECC_20181007_181243_879.wav,0.008,0.016,52,51.8,51.4,0,0.9,8,9,16,20.7,58,6,12.6,192000,N1,0.728,Pippyg,5
ECC_20181007_181745_539.wav,0.014,0.014,54,54,53.6,0,1,7,10,18,37.8,80.8,15,27.3,192000,N1,0.776,Pippyg,5
ECC_20181008_180336_953.wav,0.048,0.032,51,47.2,47.2,0,1.5,16,10,22,23.1,142.1,9,15.5,192000,N1,0.888,Pippip,5
ECC_20181008_180502_277.wav,0.012,0.018,46,45,44.2,0,0.9,8,9,19,26.4,100.5,8,21.4,192000,N1,0.698,Pippip,5
ECC_20181008_182105_052.wav,0.004,0.008,46,44.2,43.5,0,0.7,6,11,15,37.6,105.5,12,29,192000,N1,0.634,Pippip,5
ECC_20181008_183732_664.wav,0.022,0.028,51,48.8,48,0,1.8,17,14,19,76.2,170.3,27,67.3,192000,N1,0.842,Pippip,5
ECC_20181008_183738_063.wav,0.002,0.004,47,45,44.2,0,0.9,4,17,18,71.5,104.2,28,62.5,192000,N1,0.664,Pippip,5
ECC_20181008_183739_215.wav,0.02,0.026,49,46.5,45,0,1,10,14,19,53.3,119.3,19,41.8,192000,N1,0.746,Pippip,5
ECC_20181008_183743_395.wav,0.004,0.002,48,45.8,45,0,1,8,20,20,134.2,177.2,49,123.3,192000,N1,0.762,Pippip,5
ECC_20181008_183750_765.wav,0.034,0.06,48,46.1,44.2,0,1.6,10,18,21,111.1,154.7,40,96.6,192000,N1,0.782,Pippip,5
ECC_20181008_183753_727.wav,0.012,0.018,49,46.1,45.8,0,1.5,12,14,20,74.3,131.7,24,66.7,192000,N1,0.848,Pippip,5
ECC_20181008_184605_849.wav,0.004,0.016,51,51,51,0,1.2,7,13,14,45.5,105.9,17,39.5,192000,N1,0.606,Pippyg,5
ECC_20181008_191504_000.wav,0.024,0.03,37,36.4,15.8,0.7,1.1,3,2,5,19.9,42.3,9,16.4,192000,N1,0.428,Leppun,5
ECC_20181008_205004_176.wav,0.024,0.048,37,34.9,36.4,0,0.1,6,3,14,38.8,72.3,17,33.6,192000,N1,0.336,Leppun,5
ECC_20181008_205044_257.wav,0.026,0.038,40,35.2,35.2,0,0.4,4,7,35,34.6,45.8,10,30.2,192000,N1,0.702,Leppun,5
ECC_20181008_210740_124.wav,0.014,0.018,44,35.2,37.1,0,0.1,4,10,27,39.5,53.3,15,34.5,192000,N1,0.774,Leppun,5
ECC_20181008_210752_793.wav,0.01,0.004,43,35.2,38.2,0,0.1,2,8,32,75.6,78.3,26,73.2,192000,N1,0.77,Leppun,5
ECC_20181008_211131_131.wav,0.016,0.02,40,39,37.5,0,0.1,2,6,24,57.3,65.9,22,52.5,192000,N1,0.788,Leppun,5
ECC_20181008_211344_287.wav,0.024,0.034,42,37.5,36.8,0,0.2,7,2,14,43.8,52.3,18,40.5,192000,N1,0.642,Leppun,5
ECC_20181008_211350_636.wav,0.024,0.028,42,36.4,34.5,0,0.1,2,4,28,63.1,81,25,57.9,192000,N1,0.746,Leppun,5
ECC_20181008_211514_223.wav,0.008,0.008,40,37.5,39.4,0,0.1,1,23,41,73.9,84.8,27,31.8,192000,N1,0.922,Leppun,5
ECC_20181008_211523_201.wav,0.042,0.034,35,33.8,33.4,0,0.2,6,1,17,53.9,89.7,20,29.5,192000,N1,0.792,Leppun,5
ECC_20181008_211529_737.wav,0.02,0.022,44,38.6,41.6,0,0.1,2,8,24,76.7,109.8,30,70.1,192000,N1,0.842,Leppun,5
ECC_20181008_211538_080.wav,0.002,0.012,42,36.4,39.4,0,0.1,1,23,39,66.4,85.7,24,53.1,192000,N1,0.804,Leppun,5
ECC_20181008_212127_867.wav,0.014,0.022,41,43.5,18,0,0.1,1,22,39,59.3,72.7,22,48.3,192000,N1,0.858,Leppun,5
ECC_20181008_212140_369.wav,0.01,0.008,43,43.1,43.9,0,0.1,1,22,38,51.5,68.6,19,41.6,192000,N1,0.894,Leppun,5
