filename,species,accuracy
ECC_20181105_172427_000.wav,Nycnoc,0.97
ECC_20181105_172521_000.wav,Nycnoc,0.77
ECC_20181105_172721_000.wav,Nycnoc,0.99
ECC_20181025_183842_000.wav,Pippip,0.89
ECC_20181107_234630_000.wav,Pippip,0.98
ECC_20181113_165558_000.wav,Pippip,0.96
ECC_20181115_165520_000.wav,Pippip,0.98
ECC_20181116_025647_000.wav,Pippip,0.99
ECC_20181201_222744_000.wav,Pippip,0.99
ECC_20181201_223255_000.wav,Pippip,0.98
ECC_20181226_230537_000.wav,Pippip,0.99
ECC_20181226_230539_000.wav,Pippip,0.95
ECC_20181104_170334_000.wav,Pippyg,0.98
ECC_20181105_211036_000.wav,Pippyg,0.95
ECC_20181110_172625_000.wav,Pippyg,0.98
ECC_20181110_173036_000.wav,Pippyg,0.83
ECC_20181110_181642_000.wav,Pippyg,0.96
ECC_20181113_173136_000.wav,Pippyg,0.94
ECC_20181115_172053_000.wav,Pippyg,0.96
ECC_20181115_180642_000.wav,Pippyg,0.99
