Filename,CallNum,Version,FileDur,SampleRate,StTime,Dur,PrevSt,Fmax,Fmin,BW,FreqMP,CM_FIF,Amp1,Amp2,Amp3,Amp4,Aposyl,Barbar,bird,chirp,Chobru,Condor,Confus,criq,Eptser,Homsap,Inssp5,Inssp6,Inssp7,Lamsp.,Leppun,mamm,Metbra,Micagr,Micmin,Mussp,Myoalc,Myobec,Myobra,Myodau,Myomys,Myonat,noise,Nyclei,Nycnoc,Omovir,Pelrid,Phafal,Phogri,Pipnat,Pippip,Pippyg,Plaalb,Pleaur,Ratnor,Rhifer,Rhihip,Roeroe,Tetvir,HL,HU
ECC_20181025_183842_000.wav,0,1,1.57,192000,0,14.5,9999,57.75,42,15.75,45,45.75,114.34,86.12,51.04,15.17,0,0.012,0.01,0.006,0,0.004,0,0,0.014,0,0,0,0,0,0.014,0.002,0,0.004,0.006,0.002,0.006,0.002,0.002,0.012,0.008,0.002,0.016,0.008,0.026,0,0,0,0.008,0.112,0.602,0.098,0.004,0.002,0.008,0.002,0.008,0,0,FALSE,FALSE
ECC_20181025_183842_000.wav,1,1,1.57,192000,96.17,18.5,96.17,60,41.25,18.75,48,45,42.79,111.34,44.22,7.31,0,0.002,0.002,0,0,0,0,0,0.01,0,0,0,0,0,0.004,0,0.002,0,0,0,0.01,0,0.002,0.016,0.014,0.002,0,0,0,0,0,0,0,0.194,0.7,0.036,0,0,0.002,0,0.002,0.002,0,FALSE,FALSE
ECC_20181025_183842_000.wav,2,1,1.57,192000,188.33,18.33,92.17,62.25,41.25,21,48,45,63.21,91.01,27.41,2.45,0.002,0.014,0,0,0,0,0,0,0.014,0,0,0,0,0,0.006,0.004,0.004,0,0.002,0,0.014,0.002,0.01,0.04,0.038,0.014,0.004,0.002,0.006,0,0,0,0.004,0.158,0.604,0.04,0.002,0.004,0.002,0.004,0,0.002,0.004,FALSE,FALSE
ECC_20181025_183842_000.wav,3,1,1.57,192000,273.17,16.83,84.83,65.25,42.75,22.5,47.25,46.5,80.7,112.55,33.14,5.13,0.002,0.016,0.004,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0.002,0.002,0,0.002,0,0.012,0.006,0.012,0.078,0.03,0.012,0.01,0.01,0.014,0,0,0,0.006,0.072,0.562,0.084,0.004,0.006,0.002,0.01,0.018,0,0.004,FALSE,FALSE
ECC_20181025_183842_000.wav,4,1,1.57,192000,350.83,17.83,77.67,63,42.75,20.25,52.5,45.75,47.25,100.62,37.95,2.4,0,0.014,0,0,0,0.008,0.008,0,0.012,0,0,0,0.002,0.004,0.046,0.002,0,0,0,0,0.004,0,0.02,0.038,0.022,0.016,0.024,0.014,0.004,0,0,0,0.014,0.094,0.542,0.066,0.004,0.004,0.004,0.008,0.012,0.008,0.006,FALSE,FALSE
ECC_20181025_183842_000.wav,5,1,1.57,192000,422.5,14.67,71.67,66,42,24,48.75,45.75,40.12,138.28,81.69,18.54,0,0.002,0.004,0,0,0,0,0,0.002,0,0,0,0.002,0,0.002,0,0,0,0,0,0.012,0.002,0.008,0.026,0.032,0,0.002,0,0.002,0,0,0.002,0.002,0.132,0.678,0.082,0,0.002,0,0.002,0.004,0,0,FALSE,FALSE
ECC_20181025_183842_000.wav,6,1,1.57,192000,493,15.5,70.5,67.5,42.75,24.75,50.25,45,54.27,145.86,79.01,7.35,0.002,0.002,0,0,0,0,0,0,0.004,0,0,0,0,0.002,0,0.002,0,0,0,0,0.008,0,0,0.024,0.012,0,0.002,0.004,0.002,0,0,0,0.002,0.166,0.692,0.064,0.002,0.002,0,0.006,0.002,0,0,FALSE,FALSE
ECC_20181025_183842_000.wav,7,1,1.57,192000,565.17,14,72.17,69.75,42.75,27,48,50.25,30.94,111.73,80.87,15.51,0,0.004,0,0,0,0.002,0,0,0.012,0,0,0,0,0,0.002,0,0.002,0,0,0,0.014,0.002,0.016,0.05,0.032,0.002,0.008,0.004,0.002,0,0,0,0.004,0.132,0.602,0.092,0.004,0.002,0,0.006,0.006,0,0,FALSE,FALSE
ECC_20181025_183842_000.wav,8,1,1.57,192000,618.83,1.67,53.67,57,45,12,51.75,47.25,8.75,30.83,18.82,14.37,0,0.02,0,0,0,0.002,0,0,0.018,0,0,0,0.002,0.006,0,0,0,0.002,0,0,0.006,0.008,0.008,0.046,0.028,0.012,0.006,0.01,0.008,0,0,0,0,0.152,0.528,0.052,0,0.022,0.002,0.01,0.05,0,0.002,FALSE,FALSE
ECC_20181025_183842_000.wav,9,1,1.57,192000,621,10,2.17,62.25,43.5,18.75,48.75,51.75,34.05,81.79,44.41,5.78,0.002,0.006,0.002,0.002,0,0.002,0.002,0,0.008,0,0,0,0.002,0,0.008,0,0,0,0,0,0.02,0.004,0.014,0.04,0.016,0.014,0.006,0.006,0.002,0,0,0.002,0.01,0.078,0.564,0.154,0.002,0.004,0,0.004,0.018,0.004,0.004,FALSE,FALSE
