Group.1,Aposyl,Barbar,bird,chirp,Chobru,Condor,Confus,criq,Eptser,Homsap,Inssp5,Inssp6,Inssp7,Lamsp.,Leppun,mamm,Metbra,Micagr,Micmin,Mussp,Myoalc,Myobec,Myobra,Myodau,Myomys,Myonat,noise,Nyclei,Nycnoc,Omovir,Pelrid,Phafal,Phogri,Pipnat,Pippip,Pippyg,Plaalb,Pleaur,Ratnor,Rhifer,Rhihip,Roeroe,Tetvir,FreqM,FreqP,FreqC,Tstart,Tend,NbCris,DurMed,Dur90,Ampm50,Ampm90,AmpSMd,DiffME,SR,Order,Ind,SpMaxF2,Version
ECC_20181025_183842_000.wav,0.01,0.038,0.022,0.006,0,0.022,0.012,0,0.028,0.002,0.002,0.004,0.006,0.016,0.046,0.008,0.016,0.004,0.006,0.002,0.06,0.014,0.04,0.144,0.078,0.028,0.086,0.026,0.026,0,0,0.002,0.042,0.194,0.7,0.184,0.02,0.032,0.012,0.024,0.16,0.042,0.022,52,50.2,48.8,0,1.4,20,8,17,37.8,113.6,16,30.5,192000,N1,0.7,Pippip,5
ECC_20181104_170334_000.wav,0.014,0.018,0.014,0.002,0.004,0.016,0.018,0,0.034,0.002,0.002,0.002,0.006,0.014,0.032,0.014,0.016,0.004,0.02,0.004,0.01,0.004,0.026,0.048,0.016,0.01,0.222,0.018,0.018,0,0,0,0.036,0.058,0.208,0.942,0.036,0.018,0.008,0.048,0.1,0.02,0.05,56,54.8,54,0,2.5,21,13,23,44.5,121.6,14,33.4,192000,N1,0.942,Pippyg,5
ECC_20181105_172427_000.wav,0.13,0.036,0.156,0.004,0.002,0.006,0.012,0,0.072,0.006,0,0.004,0.008,0.002,0.076,0.11,0.004,0.008,0,0.008,0,0.002,0.002,0.018,0.004,0,0.084,0.13,0.664,0,0,0.004,0.072,0.132,0.114,0.066,0.04,0.016,0.018,0.01,0.006,0.01,0.036,19,19.5,18.8,0,0.8,4,5,46,14.7,103.4,6,4.8,192000,N1,0.664,Nycnoc,5
ECC_20181105_172521_000.wav,0.064,0.012,0.16,0.002,0,0.01,0.028,0,0.066,0.008,0,0,0.002,0.002,0.052,0.068,0.008,0.006,0,0.008,0,0.002,0.004,0.008,0,0.006,0.054,0.186,0.524,0,0.002,0.014,0.072,0.042,0.05,0.07,0.182,0.012,0.026,0.004,0.002,0.02,0.11,21,20.2,20.2,0,3.4,6,7,37,23.2,98.3,9,17.7,192000,N1,0.524,Nycnoc,5
ECC_20181105_172721_000.wav,0.096,0.006,0.16,0.002,0,0.004,0.002,0,0.034,0.008,0,0,0,0,0.01,0.09,0,0.002,0,0.01,0,0,0,0.002,0.004,0,0.062,0.15,0.722,0,0,0.002,0.064,0.056,0.048,0.084,0.012,0.014,0.036,0.006,0.004,0.004,0.03,18,18.4,18.8,0,2.4,5,16,39,36.6,68,12,28.4,192000,N1,0.722,Nycnoc,5
ECC_20181105_211036_000.wav,0.016,0.026,0.012,0.004,0.002,0.014,0.012,0,0.04,0.002,0.002,0.002,0.006,0.012,0.016,0.014,0.006,0.006,0.014,0.002,0.014,0.008,0.018,0.026,0.03,0.008,0.108,0.012,0.028,0,0,0.002,0.02,0.066,0.33,0.812,0.026,0.012,0.01,0.036,0.084,0.014,0.054,53,51.8,51.8,0,3.2,23,21,30,95.2,170.5,35,83.7,192000,N1,0.812,Pippyg,5
ECC_20181107_234630_000.wav,0.012,0.02,0.018,0.006,0,0.006,0.008,0,0.022,0,0,0.002,0.002,0.004,0.006,0.008,0.01,0.004,0.004,0.004,0.046,0.01,0.038,0.1,0.134,0.012,0.032,0.012,0.012,0,0,0.002,0.014,0.258,0.866,0.166,0.004,0.02,0.03,0.034,0.024,0.008,0.014,51,48.8,45.4,0,3.2,23,15,27,82,261.9,31,73.9,192000,N1,0.866,Pippip,5
ECC_20181110_172625_000.wav,0.008,0.022,0.008,0.002,0.002,0.018,0.016,0,0.03,0.002,0,0.002,0.002,0.01,0.024,0.01,0.018,0.002,0.006,0.004,0.016,0.004,0.02,0.05,0.034,0.008,0.144,0.018,0.02,0,0,0.002,0.026,0.076,0.408,0.908,0.016,0.01,0.008,0.042,0.098,0.008,0.02,55,52.5,52.5,0,3.4,23,13,24,64.6,149.8,26,57.5,192000,N1,0.908,Pippyg,5
ECC_20181110_173036_000.wav,0.016,0.01,0.028,0.004,0,0.004,0,0,0.012,0.002,0,0,0,0.006,0.01,0.006,0.002,0.01,0.046,0.006,0.002,0.002,0.004,0.008,0.004,0.002,0.044,0.02,0.026,0,0,0.002,0.006,0.036,0.202,0.69,0.004,0.002,0.02,0.082,0.122,0.002,0.004,52,51.8,51.8,0,1.4,7,14,18,41.2,80.6,11,31.7,192000,N1,0.69,Pippyg,5
ECC_20181110_181642_000.wav,0.006,0.012,0.014,0.002,0,0.008,0.002,0,0.014,0,0,0,0.002,0.002,0.024,0.008,0,0.006,0.01,0,0.014,0.006,0.012,0.024,0.026,0.002,0.044,0.018,0.008,0,0,0,0.022,0.05,0.33,0.832,0.002,0.008,0.004,0.036,0.058,0.004,0.004,56,54,52.5,0,1.9,13,18,27,94.9,165.8,31,82.4,192000,N1,0.832,Pippyg,5
