Filename,CallNum,Version,FileDur,SampleRate,StTime,Dur,PrevSt,Fmax,Fmin,BW,FreqMP,CM_FIF,Amp1,Amp2,Amp3,Amp4,Aposyl,Barbar,bird,chirp,Chobru,Condor,Confus,criq,Eptser,Homsap,Inssp5,Inssp6,Inssp7,Lamsp.,Leppun,mamm,Metbra,Micagr,Micmin,Mussp,Myoalc,Myobec,Myobra,Myodau,Myomys,Myonat,noise,Nyclei,Nycnoc,Omovir,Pelrid,Phafal,Phogri,Pipnat,Pippip,Pippyg,Plaalb,Pleaur,Ratnor,Rhifer,Rhihip,Roeroe,Tetvir,HL,HU
ECC_20181015_233708_179.wav,0,1,1.02,192000,0,14.67,9999,63,42.75,20.25,48,48.75,115.55,151.76,50.63,19.21,0.002,0.01,0.008,0.006,0,0.002,0,0,0.002,0,0,0,0,0.008,0.022,0,0.002,0.004,0.004,0.002,0.008,0,0.014,0.022,0.028,0.002,0.038,0.008,0.012,0,0,0,0.004,0.088,0.532,0.124,0.004,0.002,0,0.008,0.024,0,0.01,FALSE,FALSE
ECC_20181015_233708_179.wav,1,1,1.02,192000,80.33,2.5,80.33,55.5,45,10.5,51.75,0,17.67,14.54,2.05,0.77,0.004,0.052,0.018,0,0,0.006,0.004,0,0.04,0.004,0.002,0,0.002,0.002,0.038,0.004,0.002,0,0,0.002,0.008,0.006,0.028,0.096,0.056,0.02,0.084,0.018,0.012,0,0,0,0.04,0.05,0.15,0.08,0.016,0.082,0,0.022,0.014,0.004,0.034,FALSE,FALSE
ECC_20181015_233708_179.wav,2,1,1.02,192000,158.67,13.5,78.33,58.5,43.5,15,48.75,46.5,52.02,85.5,59.58,8.69,0,0.01,0,0,0,0,0,0,0.004,0,0,0,0,0.002,0,0,0,0,0,0,0.012,0.004,0.004,0.014,0.004,0,0.004,0,0.008,0,0,0,0,0.076,0.78,0.062,0,0.006,0,0.004,0.006,0,0,FALSE,FALSE
ECC_20181015_233708_179.wav,3,1,1.02,192000,173.33,3.17,14.67,49.5,45,4.5,46.5,0,2.98,8.76,4.28,3.53,0.016,0.004,0.014,0.002,0.002,0.002,0.004,0,0.028,0.004,0.002,0.002,0.008,0.006,0.032,0.024,0.01,0,0,0,0.002,0.002,0.018,0.032,0.024,0.008,0.064,0.024,0.052,0,0,0,0.066,0.08,0.29,0.06,0.018,0.014,0.006,0.024,0.012,0.008,0.036,FALSE,FALSE
ECC_20181015_233708_179.wav,4,1,1.02,192000,232.83,2.83,59.5,65.25,45.75,19.5,55.5,0,17.89,24.4,1.37,1.35,0.002,0.034,0.01,0,0,0.004,0.004,0,0.07,0.002,0,0,0.004,0.004,0.028,0.006,0.002,0,0,0.002,0.016,0.012,0.046,0.09,0.052,0.018,0.06,0.032,0.028,0,0,0.002,0.028,0.046,0.154,0.078,0.016,0.104,0,0.006,0.012,0.008,0.02,FALSE,FALSE
ECC_20181015_233708_179.wav,5,1,1.02,192000,239.17,5.83,6.33,52.5,45,7.5,47.25,51,6.9,5.32,4.05,1.99,0.002,0.008,0.008,0,0,0.008,0.006,0,0.006,0,0,0,0,0.006,0.008,0.004,0.002,0,0,0.004,0.026,0.002,0.022,0.068,0.04,0.006,0.052,0.004,0.002,0,0,0,0.018,0.062,0.406,0.124,0.004,0,0.002,0.02,0.052,0.01,0.018,FALSE,FALSE
ECC_20181015_233708_179.wav,6,1,1.02,192000,390.5,14.17,151.33,60,44.25,15.75,46.5,47.25,24.36,60.82,23.56,1.51,0.004,0.004,0.002,0,0,0.002,0.002,0,0.002,0,0,0,0,0.004,0.006,0.002,0,0,0,0,0.006,0,0.01,0.012,0.022,0.002,0.01,0.004,0,0,0,0,0.002,0.122,0.68,0.086,0.002,0,0.006,0.002,0.004,0.002,0,FALSE,FALSE
ECC_20181015_233708_179.wav,7,1,1.02,192000,544.67,10.83,154.17,55.5,44.25,11.25,48.75,45.75,33.28,26.82,17.46,3.31,0,0.01,0.002,0.002,0,0,0,0,0.01,0,0,0,0,0,0.002,0,0,0,0,0,0,0.002,0.002,0.01,0.01,0,0.004,0.002,0.008,0,0,0,0,0.1,0.746,0.06,0.002,0.004,0.006,0.002,0.014,0,0.002,FALSE,FALSE
ECC_20181015_233708_179.wav,8,1,1.02,192000,684.5,1.67,139.83,51.75,45,6.75,48.75,46.5,6.24,25.28,19.6,9.53,0.002,0.024,0,0.002,0,0.002,0,0,0.022,0,0,0,0,0.004,0.002,0,0.002,0,0,0.002,0.002,0,0.01,0.026,0.016,0.006,0.002,0.006,0.004,0,0,0,0.002,0.076,0.702,0.052,0,0.002,0.002,0.002,0.028,0,0,FALSE,FALSE
ECC_20181015_233708_179.wav,9,1,1.02,192000,984.5,6.17,300,54,45,9,48.75,47.25,34,7.05,6.14,4.28,0,0.034,0.006,0,0,0.004,0,0,0.01,0,0,0,0,0,0.006,0.002,0.002,0,0.004,0.002,0.01,0.004,0.012,0.022,0.03,0.004,0.008,0.012,0.012,0,0,0,0.008,0.06,0.63,0.072,0,0.008,0,0.01,0.026,0.002,0,FALSE,FALSE
