INDIR,FOLDER,IN FILE,DURATION,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,LATITUDE,LONGITUDE,MODEL,SERIAL NO,FIRMWARE,PREFIX,NOTES,AUTO ID,PULSES,MATCHING,MATCH RATIO,MARGIN,FILES,MANUAL ID,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181006_171902.wac,1800.001333,2018-10-06,17:19:02,17,2018-10-06,05:19:02,5,,,,,,,,,,,,,1,,,,,,oIRoWLWKiLpMBn9vdbcJGA==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181006_164900.wac,1800.001333,2018-10-06,16:49:00,16,2018-10-06,04:49:00,4,,,,,,,,,,,,,1,,,,,,NFP4f9YTMSFcEAtJy7mZTg==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181006_184906.wac,1796.001333,2018-10-06,18:49:06,18,2018-10-06,06:49:06,6,,,,,,,,,,,,,1,,,,,,xRXjHpNyVkXg0Fg488D+VA==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181006_174904.wac,1798.001333,2018-10-06,17:49:04,17,2018-10-06,05:49:04,5,,,,,,,,,,,,,1,,,,,,eQd+I/zSAHm3Jp+U2MtOkw==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181006_181904.wac,1798.001333,2018-10-06,18:19:04,18,2018-10-06,06:19:04,6,,,,,,,,,,,,,1,,,,,,cDUKpOF7IzE0+IfzAb58Gw==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181006_191905.wac,1797.001333,2018-10-06,19:19:05,19,2018-10-06,07:19:05,7,,,,,,,,,,,,,1,,,,,,qpIUS+o2W/88O2bzm2bx9A==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181006_194904.wac,1798.001333,2018-10-06,19:49:04,19,2018-10-06,07:49:04,7,,,,,,,,,,,,,1,,,,,,FVp4CEQkXcHgFcaOgs+bxg==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181006_201904.wac,1798.001333,2018-10-06,20:19:04,20,2018-10-06,08:19:04,8,,,,,,,,,,,,,1,,,,,,Z3nYWalkbY1msgW7vvEwkg==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181006_204904.wac,1798.001333,2018-10-06,20:49:04,20,2018-10-06,08:49:04,8,,,,,,,,,,,,,1,,,,,,8bxavVQU1I2BYEVV2MZOlA==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181006_211904.wac,1798.001333,2018-10-06,21:19:04,21,2018-10-06,09:19:04,9,,,,,,,,,,,,,1,,,,,,7BBseqnUersYaBaPCho+Fg==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181006_214904.wac,1798.001333,2018-10-06,21:49:04,21,2018-10-06,09:49:04,9,,,,,,,,,,,,,1,,,,,,qB21aVKshfm0UEUfgoEcYw==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181006_221907.wac,1795.001333,2018-10-06,22:19:07,22,2018-10-06,10:19:07,10,,,,,,,,,,,,,1,,,,,,ZJlxC3tNZahqQEW8s3luFg==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181006_224906.wac,1796.001333,2018-10-06,22:49:06,22,2018-10-06,10:49:06,10,,,,,,,,,,,,,1,,,,,,iiQEOWwlakPB9Oubl+Sdfg==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181006_231904.wac,1798.001333,2018-10-06,23:19:04,23,2018-10-06,11:19:04,11,,,,,,,,,,,,,1,,,,,,aG7jbYCxvIjoh7+2Nagp9g==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181006_234904.wac,1798.001333,2018-10-06,23:49:04,23,2018-10-06,11:49:04,11,,,,,,,,,,,,,1,,,,,,anK8DFKlTK5wrMtEglq1dw==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181007_001904.wac,1798.001333,2018-10-07,00:19:04,0,2018-10-06,12:19:04,12,,,,,,,,,,,,,1,,,,,,Iw8Jv3/zUbnKiH0BKcA35w==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181007_004908.wac,1794.001333,2018-10-07,00:49:08,0,2018-10-06,12:49:08,12,,,,,,,,,,,,,1,,,,,,Im9Xa8Il/neQ6Waxf98C/A==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181007_011904.wac,1798.001333,2018-10-07,01:19:04,1,2018-10-06,13:19:04,13,,,,,,,,,,,,,1,,,,,,1mKNsnTm945HMLmxhIzcjg==
