filename,species,accuracy
ECC_20181017_175801_433.wav,Eptser,0.85
ECC_20181017_175816_433.wav,Eptser,0.93
ECC_20181017_180005_879.wav,Eptser,0.89
ECC_20181017_175356_011.wav,Nycnoc,0.91
ECC_20181017_175425_864.wav,Nycnoc,0.84
ECC_20181017_175430_864.wav,Nycnoc,0.8
ECC_20181017_175821_433.wav,Nycnoc,0.96
ECC_20181017_175832_271.wav,Nycnoc,0.74
ECC_20181017_232042_211.wav,Pipnat,0.79
ECC_20181017_233456_265.wav,Pipnat,0.62
ECC_20181008_180336_953.wav,Pippip,0.98
ECC_20181008_180502_277.wav,Pippip,0.88
ECC_20181008_182105_052.wav,Pippip,0.8
ECC_20181008_183732_664.wav,Pippip,0.97
ECC_20181008_183738_063.wav,Pippip,0.84
ECC_20181008_183739_215.wav,Pippip,0.93
ECC_20181008_183743_395.wav,Pippip,0.94
ECC_20181008_183750_765.wav,Pippip,0.95
ECC_20181008_183753_727.wav,Pippip,0.97
ECC_20181009_180535_299.wav,Pippip,0.87
ECC_20181009_180602_324.wav,Pippip,0.89
ECC_20181009_180716_615.wav,Pippip,0.95
ECC_20181009_180806_227.wav,Pippip,0.95
ECC_20181009_181023_049.wav,Pippip,0.89
ECC_20181009_181032_577.wav,Pippip,0.89
ECC_20181009_181043_925.wav,Pippip,0.86
ECC_20181009_181051_387.wav,Pippip,0.91
ECC_20181009_181058_376.wav,Pippip,0.93
ECC_20181009_181101_637.wav,Pippip,0.96
ECC_20181009_181110_868.wav,Pippip,0.8
ECC_20181009_181116_944.wav,Pippip,0.86
ECC_20181009_181119_907.wav,Pippip,0.88
ECC_20181009_181141_315.wav,Pippip,0.96
ECC_20181009_181142_813.wav,Pippip,0.87
ECC_20181009_181204_000.wav,Pippip,0.84
ECC_20181009_181205_621.wav,Pippip,0.92
ECC_20181009_181215_812.wav,Pippip,0.92
ECC_20181009_181223_887.wav,Pippip,0.88
ECC_20181009_181232_523.wav,Pippip,0.85
ECC_20181009_181234_668.wav,Pippip,0.83
ECC_20181009_181243_076.wav,Pippip,0.85
ECC_20181009_181247_457.wav,Pippip,0.92
ECC_20181009_181255_439.wav,Pippip,0.93
ECC_20181009_181258_775.wav,Pippip,0.82
ECC_20181009_181306_800.wav,Pippip,0.96
ECC_20181009_181317_927.wav,Pippip,0.94
ECC_20181009_181321_648.wav,Pippip,0.84
ECC_20181009_181329_761.wav,Pippip,0.79
ECC_20181009_181332_971.wav,Pippip,0.93
ECC_20181009_181342_597.wav,Pippip,0.9
ECC_20181009_181346_020.wav,Pippip,0.88
ECC_20181009_181358_816.wav,Pippip,0.95
ECC_20181009_181410_915.wav,Pippip,0.93
ECC_20181009_181434_757.wav,Pippip,0.97
ECC_20181009_181625_215.wav,Pippip,0.86
ECC_20181009_181627_903.wav,Pippip,0.95
ECC_20181009_181637_909.wav,Pippip,0.94
ECC_20181009_184708_265.wav,Pippip,0.9
ECC_20181009_185744_085.wav,Pippip,0.91
ECC_20181009_185748_373.wav,Pippip,0.91
ECC_20181009_185752_583.wav,Pippip,0.79
ECC_20181009_185754_868.wav,Pippip,0.93
ECC_20181009_185759_485.wav,Pippip,0.88
ECC_20181009_195230_981.wav,Pippip,0.96
ECC_20181009_221413_249.wav,Pippip,0.96
ECC_20181010_175820_608.wav,Pippip,0.91
ECC_20181010_182650_560.wav,Pippip,0.91
ECC_20181010_182654_944.wav,Pippip,0.93
ECC_20181010_182658_501.wav,Pippip,0.9
ECC_20181010_182701_083.wav,Pippip,0.85
ECC_20181010_182707_496.wav,Pippip,0.89
ECC_20181010_182710_071.wav,Pippip,0.91
ECC_20181010_182715_623.wav,Pippip,0.94
ECC_20181010_182719_703.wav,Pippip,0.94
ECC_20181010_182724_240.wav,Pippip,0.91
ECC_20181010_182727_079.wav,Pippip,0.85
ECC_20181010_182731_809.wav,Pippip,0.94
ECC_20181010_182736_609.wav,Pippip,0.94
ECC_20181010_182740_153.wav,Pippip,0.82
ECC_20181010_182745_847.wav,Pippip,0.92
ECC_20181010_182752_515.wav,Pippip,0.95
ECC_20181010_182800_225.wav,Pippip,0.91
ECC_20181010_182803_897.wav,Pippip,0.81
ECC_20181010_182808_311.wav,Pippip,0.95
ECC_20181010_182815_211.wav,Pippip,0.92
ECC_20181010_182829_593.wav,Pippip,0.86
ECC_20181010_182835_432.wav,Pippip,0.93
ECC_20181010_182839_133.wav,Pippip,0.87
ECC_20181010_182843_564.wav,Pippip,0.8
ECC_20181010_182850_257.wav,Pippip,0.89
ECC_20181010_182856_293.wav,Pippip,0.96
ECC_20181010_182859_796.wav,Pippip,0.86
ECC_20181010_182909_503.wav,Pippip,0.84
ECC_20181010_182912_932.wav,Pippip,0.74
ECC_20181010_182931_565.wav,Pippip,0.78
ECC_20181010_182938_944.wav,Pippip,0.91
ECC_20181010_182951_391.wav,Pippip,0.81
ECC_20181010_183323_347.wav,Pippip,0.81
ECC_20181010_192051_592.wav,Pippip,0.91
ECC_20181010_192113_519.wav,Pippip,0.96
ECC_20181010_192117_071.wav,Pippip,0.91
ECC_20181010_192119_781.wav,Pippip,0.94
ECC_20181010_192138_556.wav,Pippip,0.97
ECC_20181010_192149_108.wav,Pippip,0.96
ECC_20181010_192153_744.wav,Pippip,0.95
ECC_20181010_192156_867.wav,Pippip,0.94
ECC_20181010_192202_017.wav,Pippip,0.96
ECC_20181010_192210_972.wav,Pippip,0.96
ECC_20181010_192213_805.wav,Pippip,0.96
ECC_20181010_192217_797.wav,Pippip,0.97
ECC_20181010_192223_244.wav,Pippip,0.97
ECC_20181010_192229_629.wav,Pippip,0.98
ECC_20181010_192234_843.wav,Pippip,0.97
ECC_20181010_192237_540.wav,Pippip,0.84
ECC_20181010_192325_693.wav,Pippip,0.97
ECC_20181010_192534_737.wav,Pippip,0.93
ECC_20181010_192538_780.wav,Pippip,0.96
ECC_20181011_001234_873.wav,Pippip,0.88
ECC_20181011_202617_791.wav,Pippip,0.86
ECC_20181011_233804_000.wav,Pippip,0.59
ECC_20181011_234016_231.wav,Pippip,0.96
ECC_20181011_235622_397.wav,Pippip,0.96
ECC_20181012_004411_515.wav,Pippip,0.97
ECC_20181012_012942_640.wav,Pippip,0.88
ECC_20181012_032727_105.wav,Pippip,0.95
ECC_20181013_232836_283.wav,Pippip,0.95
ECC_20181013_232839_645.wav,Pippip,0.97
ECC_20181013_232845_281.wav,Pippip,0.91
ECC_20181014_002905_523.wav,Pippip,0.96
ECC_20181014_002907_897.wav,Pippip,0.94
ECC_20181014_002914_801.wav,Pippip,0.96
ECC_20181014_002921_393.wav,Pippip,0.92
ECC_20181014_033724_173.wav,Pippip,0.87
ECC_20181015_233708_179.wav,Pippip,0.95
ECC_20181015_233742_129.wav,Pippip,0.98
ECC_20181015_233934_368.wav,Pippip,0.93
ECC_20181015_234648_880.wav,Pippip,0.91
ECC_20181015_234656_111.wav,Pippip,0.96
ECC_20181015_234738_612.wav,Pippip,0.96
ECC_20181016_174221_719.wav,Pippip,0.89
ECC_20181016_174306_577.wav,Pippip,0.86
ECC_20181016_174451_548.wav,Pippip,0.88
ECC_20181016_180014_787.wav,Pippip,0.89
ECC_20181016_180139_137.wav,Pippip,0.97
ECC_20181016_180741_316.wav,Pippip,0.98
ECC_20181016_181242_768.wav,Pippip,0.89
ECC_20181016_182905_332.wav,Pippip,0.98
ECC_20181016_185151_797.wav,Pippip,0.95
ECC_20181016_185155_113.wav,Pippip,0.98
ECC_20181016_185449_581.wav,Pippip,0.98
ECC_20181016_185517_651.wav,Pippip,0.99
ECC_20181016_193312_636.wav,Pippip,0.76
ECC_20181016_201621_059.wav,Pippip,0.67
ECC_20181016_202312_756.wav,Pippip,0.98
ECC_20181016_202317_388.wav,Pippip,0.88
ECC_20181016_202610_085.wav,Pippip,0.98
ECC_20181016_203829_027.wav,Pippip,0.97
ECC_20181016_203833_815.wav,Pippip,0.93
ECC_20181016_204512_109.wav,Pippip,0.96
ECC_20181016_223702_104.wav,Pippip,0.98
ECC_20181016_232532_733.wav,Pippip,0.63
ECC_20181016_232538_447.wav,Pippip,0.85
ECC_20181016_232542_768.wav,Pippip,0.97
ECC_20181016_234420_245.wav,Pippip,0.98
ECC_20181017_010223_975.wav,Pippip,0.97
ECC_20181017_015521_849.wav,Pippip,0.98
ECC_20181017_025011_424.wav,Pippip,0.96
ECC_20181017_025012_751.wav,Pippip,0.96
ECC_20181017_030331_431.wav,Pippip,0.93
ECC_20181017_031013_404.wav,Pippip,0.97
ECC_20181017_031116_896.wav,Pippip,0.98
ECC_20181017_032347_533.wav,Pippip,0.94
ECC_20181017_033232_175.wav,Pippip,0.98
ECC_20181017_033346_331.wav,Pippip,0.94
ECC_20181017_035933_476.wav,Pippip,0.98
ECC_20181017_045645_137.wav,Pippip,0.93
ECC_20181017_172644_512.wav,Pippip,0.95
ECC_20181017_173947_357.wav,Pippip,0.99
ECC_20181017_173950_464.wav,Pippip,0.92
ECC_20181017_173954_935.wav,Pippip,0.99
ECC_20181017_173958_688.wav,Pippip,0.98
ECC_20181017_175453_227.wav,Pippip,0.59
ECC_20181017_175916_001.wav,Pippip,0.97
ECC_20181017_180005_879.wav,Pippip,0.7
ECC_20181017_181133_673.wav,Pippip,0.99
ECC_20181017_181144_063.wav,Pippip,0.98
ECC_20181017_184254_271.wav,Pippip,0.94
ECC_20181017_184255_813.wav,Pippip,0.85
ECC_20181017_184313_815.wav,Pippip,0.97
ECC_20181017_184315_481.wav,Pippip,0.97
ECC_20181017_190239_285.wav,Pippip,0.96
ECC_20181017_190919_648.wav,Pippip,0.98
ECC_20181017_193247_728.wav,Pippip,0.94
ECC_20181017_194153_964.wav,Pippip,0.81
ECC_20181017_194159_209.wav,Pippip,0.96
ECC_20181017_194200_771.wav,Pippip,0.93
ECC_20181017_194202_016.wav,Pippip,0.96
ECC_20181017_195028_891.wav,Pippip,0.96
ECC_20181017_204827_483.wav,Pippip,0.89
ECC_20181019_014831_019.wav,Pippip,0.87
ECC_20181019_173124_620.wav,Pippip,0.87
ECC_20181019_173200_797.wav,Pippip,0.91
ECC_20181020_172626_227.wav,Pippip,0.97
