Filename,Roeroe,Tetvir,FreqM,FreqP,FreqC,Tstart,Tend,NbCris,DurMed,Dur90,Ampm50,Ampm90,AmpSMd,DiffME,SR,Order,Ind,SpMaxF2,Version
ECC_20181025_183842_000.wav,0.042,0.022,52,50.2,48.8,0,1.4,20,8,17,37.8,113.6,16,30.5,192000,N1,0.7,Pippip,5
ECC_20181104_170334_000.wav,0.02,0.05,56,54.8,54,0,2.5,21,13,23,44.5,121.6,14,33.4,192000,N1,0.942,Pippyg,5
ECC_20181105_172427_000.wav,0.01,0.036,19,19.5,18.8,0,0.8,4,5,46,14.7,103.4,6,4.8,192000,N1,0.664,Nycnoc,5
ECC_20181105_172521_000.wav,0.02,0.11,21,20.2,20.2,0,3.4,6,7,37,23.2,98.3,9,17.7,192000,N1,0.524,Nycnoc,5
ECC_20181105_172721_000.wav,0.004,0.03,18,18.4,18.8,0,2.4,5,16,39,36.6,68,12,28.4,192000,N1,0.722,Nycnoc,5
ECC_20181105_211036_000.wav,0.014,0.054,53,51.8,51.8,0,3.2,23,21,30,95.2,170.5,35,83.7,192000,N1,0.812,Pippyg,5
ECC_20181107_234630_000.wav,0.008,0.014,51,48.8,45.4,0,3.2,23,15,27,82,261.9,31,73.9,192000,N1,0.866,Pippip,5
ECC_20181110_172625_000.wav,0.008,0.02,55,52.5,52.5,0,3.4,23,13,24,64.6,149.8,26,57.5,192000,N1,0.908,Pippyg,5
ECC_20181110_173036_000.wav,0.002,0.004,52,51.8,51.8,0,1.4,7,14,18,41.2,80.6,11,31.7,192000,N1,0.69,Pippyg,5
ECC_20181110_181642_000.wav,0.004,0.004,56,54,52.5,0,1.9,13,18,27,94.9,165.8,31,82.4,192000,N1,0.832,Pippyg,5
ECC_20181113_165558_000.wav,0.02,0.03,51,46.5,45.8,0,2.3,17,20,30,107.7,239.8,43,99.6,192000,N1,0.81,Pippip,5
ECC_20181113_173136_000.wav,0.002,0.008,57,54,54,0,1,5,19,23,65.2,100.2,26,57.5,192000,N1,0.804,Pippyg,5
ECC_20181115_165520_000.wav,0.014,0.022,50,45.8,45,0,3,33,17,30,93.1,205,41,85.1,192000,N1,0.882,Pippip,5
ECC_20181115_172053_000.wav,0.02,0.036,55,53.2,53.2,0,2.4,21,14,27,66.2,200.9,25,56.3,192000,N1,0.836,Pippyg,5
ECC_20181115_180642_000.wav,0.004,0.004,58,54.8,54.8,0,1.9,17,17,24,74.5,194.2,31,60.3,192000,N1,0.95,Pippyg,5
ECC_20181116_025647_000.wav,0.004,0.002,50,47.2,45,0,3.5,27,18,29,74.1,224.5,30,62.2,192000,N1,0.93,Pippip,5
ECC_20181127_203213_000.wav,0.024,0.082,39,30.8,34.5,0,0.6,5,3,38,38.6,364.6,19,35,192000,N1,0.296,Phogri,5
ECC_20181201_222744_000.wav,0.012,0.06,52,48,46.5,0,5,37,21,31,95.6,268.2,40,84.6,192000,N1,0.922,Pippip,5
ECC_20181201_222749_000.wav,0.022,0.02,46,48,48,0,0.1,1,4,4,11.5,11.5,4,10,192000,N1,0.33,Pippip,5
ECC_20181201_223255_000.wav,0.006,0.01,50,46.5,46.5,0,3.8,29,17,28,89.8,140.8,34,80.9,192000,N1,0.892,Pippip,5
ECC_20181208_053619_000.wav,0.082,0.122,37,30.8,28.5,0,1.8,20,9,78,14.8,189.7,6,4,192000,N1,0.292,Plaalb,5
ECC_20181208_220909_000.wav,0.068,0.08,44,42.8,33.8,0,0.8,9,2,12,36.7,71.3,13,30.2,192000,N1,0.372,noise,5
ECC_20181208_220918_000.wav,0.068,0.044,39,40.5,24.8,0,1.2,5,5,12,16.6,28.9,8,14.3,192000,N1,0.324,Pippyg,5
ECC_20181215_151933_000.wav,0.032,0.084,43,40.1,27.4,0,0.2,4,4,14,16.8,406.8,7,11.3,192000,N1,0.238,noise,5
ECC_20181215_162326_000.wav,0.012,0.11,26,28.1,27.4,0,0.1,2,14,18,332.5,580.2,138,313.8,192000,N1,0.34,noise,5
ECC_20181215_174021_000.wav,0.036,0.284,24,24,10.5,0,1,8,2,5,22.1,104.8,9,21,192000,N1,0.696,noise,5
ECC_20181215_174322_000.wav,0.052,0.084,26,28.5,24.8,0,0.8,8,1,4,22.3,44.4,10,19.6,192000,N1,0.796,noise,5
ECC_20181223_200812_000.wav,0.052,0.156,39,40.5,40.1,0,0.2,5,1,5,77.5,352.3,36,74.4,192000,N1,0.444,noise,5
ECC_20181226_230537_000.wav,0.008,0.026,49,46.5,46.5,0,1.5,16,18,24,43.2,111.7,13,33.6,192000,N1,0.904,Pippip,5
ECC_20181226_230539_000.wav,0.008,0.02,46,45,45,0,2.6,14,23,31,67.2,165.6,23,55.1,192000,N1,0.778,Pippip,5
ECC_20181208_053619_000.wav,0.018,0.048,18,17.2,17.2,0,1.3,5,24,26,38.1,50.1,13,33,192000,N2,0.284,Nycnoc,5
ECC_20181208_220918_000.wav,0.038,0.1,37,33,33,0,1.2,7,4,28,25.6,165.8,9,10.9,192000,N2,0.218,noise,5
ECC_20181208_053619_000.wav,0.056,0.056,50,54,49.5,0,1,1,7,11,14,15.5,4,3.6,192000,N3,0.22,Phogri,5
ECC_20181208_220918_000.wav,0.02,0.056,42,50.2,33,0.1,0.3,1,42,42,290.4,290.4,99,216,192000,N3,0.134,Aposyl,5
