filename,species,accuracy
SR2_20151204_204803_912.wav,Myodau,0.72
SR2_20151203_164608_333.wav,Myonat,0.65
SR2_20151203_171907_415.wav,Myonat,0.97
SR2_20151204_182731_149.wav,Myonat,0.99
SR2_20151204_183309_012.wav,Myonat,0.96
SR2_20151204_183407_719.wav,Myonat,0.84
SR2_20151204_184006_873.wav,Myonat,0.98
SR2_20151204_184424_448.wav,Myonat,0.97
SR2_20151204_184440_404.wav,Myonat,0.92
SR2_20151204_184445_236.wav,Myonat,0.99
SR2_20151204_185000_255.wav,Myonat,0.88
SR2_20151204_195222_911.wav,Myonat,0.95
SR2_20151204_214933_188.wav,Myonat,0.8
SR2_20151206_183837_068.wav,Myonat,0.94
SR2_20151206_161720_293.wav,Pippip,0.84
SR2_20151206_161729_535.wav,Pippip,0.95
SR2_20151206_161730_821.wav,Pippip,0.87
SR2_20151206_163053_220.wav,Pippip,0.98
SR2_20151206_163056_037.wav,Pippip,0.98
SR2_20151206_164005_981.wav,Pippip,0.91
SR2_20151204_172555_881.wav,Pleaur,0.59
SR2_20151206_174519_147.wav,Pleaur,0.99
