Filename,Roeroe,Tetvir,FreqM,FreqP,FreqC,Tstart,Tend,NbCris,DurMed,Dur90,Ampm50,Ampm90,AmpSMd,DiffME,SR,Order,Ind,SpMaxF2,Version
SR2_20160103_152300_000.wav,0.024,0.05,35,35.2,35.2,0.1,1.1,6,0,2,29.2,79.5,13,17.7,192000,N1,0.572,noise,5
SR2_20160103_152349_500.wav,0.05,0.214,12,12.4,12,0,1.1,10,1,1,29,102.3,12,22.7,192000,N1,0.546,noise,5
SR2_20160103_152408_213.wav,0.036,0.094,33,31.5,31.5,0,1,6,0,1,29.2,115.2,9,16.6,192000,N1,0.62,noise,5
SR2_20160103_152537_764.wav,0.014,0.06,36,39.8,33.8,0,1,2,1,2,61.6,704.9,23,32.9,192000,N1,0.614,noise,5
SR2_20160103_152547_705.wav,0.014,0.012,41,45.4,47.6,0,0.4,3,1,1,56,461.2,24,52.9,192000,N1,0.5,noise,5
SR2_20160103_152622_865.wav,0.106,0.33,15,14.2,14.2,0,0.9,23,0,1,30.8,75.5,13,20.6,192000,N1,0.692,noise,5
SR2_20160103_152745_324.wav,0.07,0.146,38,38.2,38.2,0,1.1,32,1,1,31.9,79.3,14,28.1,192000,N1,0.616,noise,5
SR2_20160103_152746_555.wav,0.038,0.234,38,36.4,32.2,0,1.1,19,1,2,36.6,113.3,15,29.6,192000,N1,0.684,noise,5
SR2_20160103_152757_803.wav,0.024,0.168,14,15.8,13.5,0,0.5,4,1,1,64,344.4,31,60.8,192000,N1,0.494,noise,5
SR2_20160103_152813_663.wav,0.02,0.042,35,36,11.2,0,0.8,7,1,3,40.8,506.3,19,36.4,192000,N1,0.65,noise,5
SR2_20160103_152915_611.wav,0.056,0.238,15,15,13.5,0,1,5,1,2,20.3,328.1,8,16.4,192000,N1,0.5,noise,5
SR2_20160103_152945_056.wav,0.032,0.114,33,33,15.8,0,1.1,12,0,1,40.3,187.3,17,35,192000,N1,0.75,noise,5
SR2_20160103_153233_764.wav,0.026,0.108,13,12.4,12,0,1,5,1,1,38,165.1,18,36.8,192000,N1,0.772,noise,5
SR2_20160103_153328_419.wav,0.034,0.026,39,39.8,36,0,1.1,5,1,2,27.1,338.2,13,19,192000,N1,0.474,noise,5
SR2_20160103_153423_224.wav,0.024,0.074,25,15.8,21,0,0.6,12,1,2,80.6,344.5,35,54.1,192000,N1,0.642,noise,5
SR2_20160103_153426_732.wav,0.028,0.14,15,12,13.5,0,1,2,1,1,35.7,468.6,19,35.1,192000,N1,0.558,noise,5
SR2_20160103_153511_675.wav,0.036,0.108,14,13.5,9.8,0,0.8,9,1,2,53.7,109.4,26,50.6,192000,N1,0.692,noise,5
SR2_20160103_153521_180.wav,0.03,0.138,35,35.2,16.1,0,1,4,0,2,36,263.7,16,31.7,192000,N1,0.444,noise,5
SR2_20160103_153651_140.wav,0.054,0.126,13,12.8,12.8,0,1,6,0,2,61.6,367.1,23,46.5,192000,N1,0.634,noise,5
SR2_20160103_153727_745.wav,0.022,0.048,25,30.8,29.6,0,0.9,3,2,2,233.5,526.4,104,224.3,192000,N1,0.54,noise,5
SR2_20160103_153940_507.wav,0.018,0.05,35,34.5,34.5,0,1.1,5,0,2,27.4,344.7,11,21.5,192000,N1,0.588,noise,5
SR2_20160103_153951_471.wav,0.062,0.128,31,25.9,25.9,0,0.8,5,1,2,45.2,294.4,19,37.6,192000,N1,0.682,noise,5
