Filename,CallNum,Version,FileDur,SampleRate,StTime,Dur,PrevSt,Fmax,Fmin,BW,FreqMP,CM_FIF,Amp1,Amp2,Amp3,Amp4,Aposyl,Barbar,bird,chirp,Chobru,Condor,Confus,criq,Eptser,Homsap,Inssp5,Inssp6,Inssp7,Lamsp.,Leppun,mamm,Metbra,Micagr,Micmin,Mussp,Myoalc,Myobec,Myobra,Myodau,Myomys,Myonat,noise,Nyclei,Nycnoc,Omovir,Pelrid,Phafal,Phogri,Pipnat,Pippip,Pippyg,Plaalb,Pleaur,Ratnor,Rhifer,Rhihip,Roeroe,Tetvir,HL,HU
SR2_20160120_154800_000.wav,0,1,1.1,192000,954.83,0.5,9999,15,11.25,3.75,12.75,12.75,1.38,20.16,10.33,0.26,0.016,0.002,0.13,0,0,0.002,0.02,0,0.01,0.014,0.006,0,0,0.006,0.018,0.014,0.004,0,0,0,0,0,0,0.006,0.006,0.004,0.396,0.018,0.012,0.004,0,0.002,0.11,0.006,0.01,0.018,0.022,0.004,0.002,0,0,0.018,0.12,FALSE,FALSE
SR2_20160120_154822_205.wav,0,1,1.09,192000,0.17,2.17,9999,65.25,6,59.25,36,13.5,362.85,138.06,7.09,2.22,0,0.004,0.02,0.004,0,0.008,0.046,0,0.012,0,0.014,0.008,0,0.012,0.068,0,0.004,0,0,0,0.004,0.01,0.01,0.018,0.006,0.072,0.38,0.016,0.002,0,0,0.012,0.054,0.004,0.056,0.03,0.046,0.03,0,0,0.002,0.022,0.026,FALSE,FALSE
SR2_20160120_154822_205.wav,1,1,1.09,192000,50.67,0.5,50.5,18,8.25,9.75,12.75,12.75,57.79,76.68,11.67,2.4,0,0,0.014,0,0,0.006,0.014,0,0.008,0.012,0.018,0,0,0.016,0.03,0.028,0.004,0,0,0.002,0.002,0,0.004,0.008,0.008,0.008,0.572,0.002,0.01,0,0,0.034,0.076,0.002,0.008,0.014,0.048,0.008,0.002,0,0,0.01,0.032,FALSE,FALSE
SR2_20160120_154822_205.wav,2,1,1.09,192000,150.33,8.83,99.67,57.75,31.5,26.25,50.25,47.25,15.94,22,7.37,21.65,0.006,0.014,0.01,0,0,0.094,0.062,0,0.014,0,0.002,0.002,0.002,0.01,0.064,0.01,0.048,0,0,0,0.004,0.002,0.004,0.042,0.042,0.06,0.144,0.006,0.01,0,0,0,0.04,0.006,0.02,0.01,0.042,0.006,0.006,0.002,0.002,0.042,0.172,FALSE,TRUE
SR2_20160120_154822_205.wav,3,1,1.09,192000,156.83,1.17,106.17,17.25,7.5,9.75,14.25,14.25,1.83,23.99,37.4,0.44,0.008,0.002,0.028,0,0,0.006,0.024,0,0.004,0.01,0.008,0.002,0.004,0.012,0.01,0.01,0.006,0.002,0,0.004,0,0,0,0.012,0,0.01,0.608,0.006,0.006,0,0,0.008,0.082,0.002,0.002,0.004,0.022,0.01,0.002,0.002,0.002,0.018,0.064,TRUE,FALSE
SR2_20160120_154822_205.wav,4,1,1.09,192000,168.33,0.33,11.5,58.5,42.75,15.75,50.25,47.25,55.92,99.04,86.4,18.02,0,0.006,0.01,0,0,0.036,0.076,0,0.004,0,0.016,0.004,0.004,0.108,0.034,0,0.002,0,0,0,0.002,0.002,0.006,0.008,0.014,0.014,0.46,0.016,0,0,0,0.006,0.036,0.008,0.018,0.012,0.038,0.012,0,0.002,0.018,0.02,0.008,FALSE,FALSE
SR2_20160120_154822_205.wav,5,1,1.09,192000,325.67,9.67,157.33,21,7.5,13.5,15,0,0.58,8.33,13.13,5.17,0.018,0,0.086,0,0,0.012,0.02,0,0.012,0.012,0.002,0,0,0,0.036,0.036,0.004,0,0,0.006,0,0,0.002,0.006,0.002,0,0.3,0.008,0.008,0.002,0,0.002,0.216,0.002,0.014,0.012,0.056,0.006,0.004,0,0.004,0.042,0.07,FALSE,FALSE
SR2_20160120_154822_205.wav,6,1,1.09,192000,326.67,4.33,158.33,58.5,41.25,17.25,48.75,0,9.38,6.94,7.37,1.32,0.002,0.016,0.008,0,0,0.014,0.016,0,0.016,0,0,0.002,0.002,0.008,0.03,0.006,0.012,0,0,0,0.034,0.012,0.022,0.11,0.108,0.052,0.124,0.022,0.002,0.002,0,0,0.052,0.034,0.096,0.082,0.016,0.014,0.002,0.008,0.006,0.03,0.04,FALSE,FALSE
SR2_20160120_154822_205.wav,7,1,1.09,192000,491,9,164.33,54,31.5,22.5,36.75,0,2.4,5.97,7.01,3.1,0.006,0.016,0.046,0.004,0,0.014,0.044,0,0.016,0.004,0,0,0.014,0.002,0.192,0.042,0.008,0.002,0,0.002,0.004,0.002,0.014,0.018,0.01,0.01,0.118,0.014,0.01,0,0,0.002,0.134,0.006,0.04,0.028,0.096,0.018,0.012,0,0,0.026,0.026,FALSE,FALSE
SR2_20160120_154822_205.wav,8,1,1.09,192000,504.33,2.67,13.33,58.5,31.5,27,50.25,54.75,4.41,134.41,3.84,26,0.002,0.018,0.01,0,0,0.03,0.034,0,0.014,0,0,0.004,0.002,0.042,0.062,0.006,0.016,0,0,0,0.008,0.014,0.018,0.064,0.028,0.086,0.262,0.032,0.002,0,0,0.002,0.034,0.018,0.042,0.032,0.038,0.022,0,0.004,0.01,0.03,0.014,FALSE,FALSE
SR2_20160120_154822_205.wav,9,1,1.09,192000,1023.67,0.33,519.33,56.25,48,8.25,52.5,50.25,0.78,31.8,33.38,5.54,0,0.008,0.014,0,0,0.01,0.018,0,0.002,0.004,0.012,0.004,0,0.102,0.102,0,0.002,0,0,0.002,0.002,0.008,0.002,0.012,0.024,0.016,0.458,0.006,0.002,0,0,0,0.052,0.008,0.044,0.022,0.022,0.012,0.002,0.002,0.016,0.002,0.008,FALSE,FALSE
SR2_20160120_161802_000.wav,0,1,1.1,192000,117.5,0.83,9999,15,9.75,5.25,12.75,12.75,6.03,18.14,5.12,1.36,0.034,0.004,0.116,0,0.002,0.004,0.006,0,0.01,0.01,0.004,0,0,0.002,0.014,0.036,0.002,0,0,0.01,0,0.002,0.002,0.006,0,0.004,0.358,0.022,0.016,0,0,0.006,0.086,0.03,0.01,0.01,0.02,0.006,0.002,0,0.002,0.014,0.15,FALSE,FALSE
SR2_20160120_162105_683.wav,0,1,1.02,192000,0,17.83,9999,95.25,3.75,91.5,36.75,50.25,1034.55,242.99,64.29,11.87,0.004,0.008,0.022,0,0.002,0.01,0.03,0,0.018,0.004,0.002,0.002,0.002,0.002,0.082,0.002,0.018,0,0,0,0.016,0.018,0.03,0.052,0.044,0.026,0.216,0.024,0.01,0,0,0.002,0.098,0.016,0.054,0.034,0.06,0.026,0,0.006,0.006,0.012,0.042,FALSE,FALSE
SR2_20160120_162105_683.wav,1,1,1.02,192000,14.67,1.17,9999,52.5,45.75,6.75,50.25,0,0.25,0,7.74,8.19,0.006,0.012,0.05,0,0,0.012,0.016,0.002,0.008,0.006,0.01,0.008,0.002,0.016,0.12,0.014,0.004,0,0,0.004,0.01,0.002,0.024,0.018,0.018,0.014,0.216,0.008,0.012,0,0,0.006,0.146,0.028,0.036,0.026,0.058,0.02,0.006,0.01,0.006,0.024,0.022,FALSE,FALSE
SR2_20160120_162105_683.wav,2,1,1.02,192000,15.83,4.33,1.17,18.75,9.75,9,15,15,2.74,13.34,7.67,5.96,0.034,0,0.084,0,0,0.016,0.01,0,0.01,0.004,0.004,0.002,0,0,0.036,0.032,0.002,0.002,0,0.012,0,0,0.004,0.006,0.002,0,0.2,0.004,0.026,0,0,0.002,0.244,0.006,0.024,0.022,0.056,0.028,0.008,0,0,0.042,0.078,FALSE,FALSE
SR2_20160120_162105_683.wav,3,1,1.02,192000,27.17,0.67,11.33,36.75,33.75,3,35.25,35.25,0.06,2.87,12.53,6.64,0.014,0.012,0.016,0.004,0,0.02,0.042,0,0.006,0,0.002,0,0.042,0.01,0.302,0.01,0.002,0,0,0.002,0,0,0.004,0.014,0,0.008,0.086,0.012,0.012,0,0,0.004,0.092,0.042,0.02,0.014,0.136,0.004,0.004,0.004,0.004,0.01,0.046,FALSE,FALSE
SR2_20160120_162105_683.wav,4,1,1.02,192000,30.33,4.5,3.17,45.75,33.75,12,36.75,0,1.92,2.64,9.47,6.56,0.012,0.018,0.04,0,0,0.02,0.03,0,0.02,0,0.002,0,0.018,0.008,0.238,0.006,0.006,0,0,0.006,0,0.002,0.008,0.01,0.002,0.006,0.074,0.016,0.022,0,0,0,0.138,0.018,0.056,0.024,0.128,0.012,0.002,0.002,0,0.012,0.044,FALSE,FALSE
SR2_20160120_162336_375.wav,0,1,1.02,192000,0,4,9999,60.75,5.25,55.5,47.25,51,450.64,100.23,30.08,1.16,0.006,0.016,0.034,0.006,0,0.014,0.048,0,0.004,0.004,0.006,0.004,0.004,0.002,0.118,0.016,0.01,0,0,0.002,0.008,0.012,0.014,0.03,0.024,0.01,0.278,0.018,0.01,0,0,0.008,0.086,0.01,0.034,0.012,0.038,0.024,0.002,0.002,0.008,0.016,0.062,FALSE,FALSE
