Filename,CallNum,Version,FileDur,SampleRate,StTime,Dur,PrevSt,Fmax,Fmin,BW,FreqMP,CM_FIF,Amp1,Amp2,Amp3,Amp4,Aposyl,Barbar,bird,chirp,Chobru,Condor,Confus,criq,Eptser,Homsap,Inssp5,Inssp6,Inssp7,Lamsp.,Leppun,mamm,Metbra,Micagr,Micmin,Mussp,Myoalc,Myobec,Myobra,Myodau,Myomys,Myonat,noise,Nyclei,Nycnoc,Omovir,Pelrid,Phafal,Phogri,Pipnat,Pippip,Pippyg,Plaalb,Pleaur,Ratnor,Rhifer,Rhihip,Roeroe,Tetvir,HL,HU
SR2_20160405_052059_659.wav,0,1,1.24,192000,0,2.33,9999,57,3.75,53.25,14.25,12.75,112.6,315.31,42.49,14.89,0.002,0.006,0.02,0,0.006,0.01,0.03,0.002,0.008,0.002,0.008,0.006,0.002,0.004,0.078,0.002,0.012,0,0,0.002,0.002,0,0.002,0.01,0,0.026,0.506,0.016,0.002,0,0,0.014,0.07,0.006,0.034,0.022,0.046,0.01,0,0,0,0.014,0.02,FALSE,FALSE
SR2_20160405_052059_659.wav,1,1,1.24,192000,22.5,10.33,22.5,18,6.75,11.25,12.75,16.5,34.44,23.41,9.25,2.77,0.068,0.006,0.09,0,0,0.002,0.002,0.002,0.01,0.022,0.002,0,0,0,0.014,0.042,0,0,0,0.012,0,0,0.002,0.002,0,0.002,0.202,0.038,0.04,0,0,0.006,0.24,0.014,0.036,0.028,0.036,0.02,0,0,0,0.006,0.056,FALSE,FALSE
SR2_20160405_052059_659.wav,2,1,1.24,192000,158.83,8.33,136.33,74.25,0.75,73.5,15,15,740.05,746.53,306.85,23.99,0.01,0.006,0.064,0,0.004,0.008,0.026,0,0.036,0.008,0.002,0.004,0,0,0.028,0.01,0.018,0,0,0.004,0.002,0.002,0.006,0.008,0.006,0.016,0.316,0.042,0.024,0,0,0.002,0.11,0.014,0.058,0.048,0.042,0.032,0,0.008,0,0.002,0.034,FALSE,FALSE
SR2_20160405_052059_659.wav,3,1,1.24,192000,174.83,2.83,16,18.75,9,9.75,15,14.25,23.77,10.43,7.42,6.27,0.022,0.002,0.062,0,0.002,0.002,0.01,0,0.004,0.016,0.004,0,0,0,0.022,0.024,0.002,0,0,0.01,0,0,0,0.006,0,0.002,0.168,0.032,0.012,0,0,0,0.392,0.016,0.012,0.016,0.054,0.018,0.002,0,0,0.008,0.08,FALSE,FALSE
SR2_20160405_052059_659.wav,4,1,1.24,192000,179.33,57,4.5,57.75,2.25,55.5,12,10.5,420.86,119.71,33.12,12.92,0.012,0.004,0.076,0.004,0.002,0.006,0.016,0,0.016,0.012,0,0,0,0.002,0.058,0.038,0.004,0.002,0,0.012,0.004,0.004,0.004,0.014,0.004,0,0.234,0.072,0.02,0,0,0.01,0.13,0.018,0.028,0.042,0.052,0.012,0,0.004,0.002,0.032,0.05,FALSE,FALSE
SR2_20160405_052059_659.wav,5,1,1.24,192000,207,2.83,32.17,40.5,31.5,9,34.5,34.5,7.79,1.2,7.51,0.46,0.036,0.014,0.062,0,0,0.024,0.022,0,0.038,0,0.004,0.002,0,0.01,0.138,0.048,0.006,0,0,0.006,0.002,0,0.014,0.012,0.006,0.002,0.132,0.012,0.006,0,0,0,0.164,0.01,0.026,0.022,0.06,0.026,0.006,0.002,0.004,0.028,0.056,FALSE,FALSE
SR2_20160405_052059_659.wav,6,1,1.24,192000,235,9.33,28,15.75,5.25,10.5,8.25,7.5,9.63,19.97,13.06,4.33,0.028,0.004,0.218,0,0,0.004,0.01,0,0.004,0.026,0.004,0.002,0,0,0.022,0.022,0,0.002,0,0.008,0,0,0,0.002,0,0.002,0.206,0.018,0.01,0,0,0.004,0.176,0.008,0.022,0.014,0.016,0.01,0.002,0,0,0.02,0.136,FALSE,FALSE
SR2_20160405_180729_397.wav,0,1,1,192000,0,53.83,9999,65.25,4.5,60.75,16.5,13.5,242.68,83,79.59,26.66,0.024,0.004,0.034,0.002,0.004,0.008,0.018,0,0.006,0.01,0,0,0,0,0.118,0.028,0,0,0,0.002,0,0.008,0.008,0.012,0.008,0.004,0.188,0.014,0.012,0,0,0.002,0.26,0.004,0.022,0.01,0.04,0.022,0.004,0,0,0.018,0.106,FALSE,FALSE
SR2_20160405_180729_397.wav,1,1,1,192000,54.17,2.67,54.17,16.5,7.5,9,12.75,15,0.04,0.01,18.9,8.75,0.024,0,0.052,0,0.006,0.002,0.028,0,0.004,0.008,0.002,0.002,0,0.006,0.02,0.034,0.004,0,0,0.006,0,0,0,0.002,0,0.004,0.354,0.012,0.014,0,0,0.01,0.21,0.006,0.008,0.006,0.03,0.002,0,0,0,0.008,0.136,FALSE,FALSE
SR2_20160405_180729_397.wav,2,1,1,192000,68,0.5,13.83,15,9.75,5.25,13.5,13.5,5.81,9.14,26.67,7.1,0.016,0,0.03,0,0,0.006,0.008,0,0.006,0.012,0.004,0,0.002,0.002,0.018,0.012,0.004,0,0,0.006,0,0,0,0.004,0.006,0,0.442,0.01,0.018,0,0,0.006,0.224,0.004,0.006,0.002,0.062,0.008,0,0,0.002,0.014,0.066,FALSE,FALSE
