Group.1,Aposyl,Barbar,bird,chirp,Chobru,Condor,Confus,criq,Eptser,Homsap,Inssp5,Inssp6,Inssp7,Lamsp.,Leppun,mamm,Metbra,Micagr,Micmin,Mussp,Myoalc,Myobec,Myobra,Myodau,Myomys,Myonat,noise,Nyclei,Nycnoc,Omovir,Pelrid,Phafal,Phogri,Pipnat,Pippip,Pippyg,Plaalb,Pleaur,Ratnor,Rhifer,Rhihip,Roeroe,Tetvir,FreqM,FreqP,FreqC,Tstart,Tend,NbCris,DurMed,Dur90,Ampm50,Ampm90,AmpSMd,DiffME,SR,Order,Ind,SpMaxF2,Version
SR2_20160422_195332_509.wav,0.064,0.034,0.076,0.01,0.004,0.07,0.128,0.002,0.054,0.018,0.024,0.012,0.022,0.082,0.164,0.07,0.054,0.006,0.002,0.014,0.016,0.01,0.042,0.092,0.05,0.108,0.686,0.068,0.076,0.006,0.002,0.03,0.328,0.098,0.11,0.058,0.312,0.044,0.01,0.012,0.02,0.098,0.208,28,18,15,0,1,34,2,17,32.9,91.7,15,26.2,192000,N1,0.686,noise,5
SR2_20160422_195335_896.wav,0.044,0.074,0.092,0.004,0.01,0.116,0.152,0.002,0.06,0.028,0.014,0.018,0.024,0.136,0.164,0.04,0.028,0.004,0.002,0.008,0.038,0.024,0.046,0.09,0.07,0.168,0.548,0.056,0.03,0.006,0.002,0.044,0.202,0.076,0.21,0.088,0.178,0.04,0.01,0.016,0.034,0.114,0.314,41,34.5,34.5,0,1.1,40,2,12,37.5,102.6,16,29.1,192000,N1,0.548,noise,5
SR2_20160422_203704_000.wav,0.034,0.002,0.328,0,0.002,0.004,0.002,0,0.02,0.032,0.002,0,0,0,0.014,0.042,0.004,0,0,0.008,0.002,0,0,0.004,0,0,0.18,0.008,0.02,0,0,0.002,0.104,0.006,0.008,0.006,0.02,0.012,0.01,0,0.002,0.014,0.108,9,10.5,10.5,0.4,0.5,1,14,14,5,5,1,2.2,192000,N1,0.328,bird,5
SR2_20160422_205103_227.wav,0.052,0.068,0.044,0.018,0.004,0.016,0.01,0,0.062,0.004,0,0.004,0.018,0.01,0.042,0.028,0.012,0.018,0.01,0.006,0.004,0.004,0.014,0.056,0.026,0.014,0.07,0.032,0.034,0,0,0.002,0.04,0.496,0.57,0.062,0.036,0.02,0.052,0.072,0.038,0.012,0.062,42,40.5,40.5,0,2.4,20,7,32,47.8,104.9,11,35.9,192000,N1,0.57,Pippip,5
SR2_20160423_000457_668.wav,0.008,0.008,0.018,0.002,0,0.026,0.046,0,0.014,0.008,0.008,0.006,0.006,0.038,0.314,0.004,0.006,0,0,0.002,0.002,0.018,0.01,0.03,0.014,0.038,0.396,0.022,0.004,0,0,0.01,0.056,0.02,0.026,0.028,0.082,0.02,0,0,0,0.014,0.03,33,33.8,26.2,0,1.1,1,2,3,277.6,461.9,126,261.2,192000,N1,0.396,noise,5
SR2_20160423_030704_000.wav,0.006,0.002,0.042,0,0.004,0.004,0.032,0,0.01,0.018,0.01,0.004,0,0.016,0.038,0,0.002,0,0,0.006,0,0,0,0.01,0.016,0.004,0.622,0.006,0.004,0,0,0.002,0.032,0.002,0.004,0.004,0.044,0.006,0,0,0,0.016,0.034,13,11.2,11.2,0.7,0.8,1,1,1,53.3,53.3,21,40.6,192000,N1,0.622,noise,5
SR2_20160423_043037_332.wav,0.024,0.06,0.086,0.004,0.006,0.09,0.208,0,0.066,0.024,0.032,0.026,0.02,0.132,0.164,0.028,0.024,0.004,0,0.006,0.018,0.018,0.03,0.186,0.058,0.104,0.616,0.036,0.032,0.016,0,0.062,0.21,0.068,0.1,0.068,0.21,0.04,0.014,0.018,0.054,0.104,0.216,35,34.5,28.9,0,1,45,1,2,36.3,113.5,16,32.2,192000,N1,0.616,noise,5
SR2_20160423_043049_576.wav,0.008,0.02,0.052,0.004,0,0.038,0.038,0,0.04,0.01,0.022,0.006,0.008,0.068,0.11,0.016,0.01,0.002,0,0.002,0.026,0.024,0.022,0.076,0.056,0.134,0.562,0.03,0.012,0.002,0,0.022,0.142,0.018,0.058,0.04,0.072,0.038,0.002,0.016,0.092,0.022,0.054,28,15.4,15.4,0,1,5,0,1,46,392.2,22,39.3,192000,N1,0.562,noise,5
SR2_20160423_043057_225.wav,0.034,0.05,0.068,0.006,0.008,0.074,0.138,0,0.066,0.016,0.016,0.016,0.022,0.122,0.168,0.036,0.046,0.004,0,0.008,0.016,0.036,0.038,0.116,0.046,0.148,0.718,0.036,0.028,0.004,0,0.024,0.134,0.068,0.092,0.126,0.16,0.074,0.004,0.022,0.044,0.082,0.24,34,34.5,32.2,0,1.5,46,1,2,29.9,76.2,13,25.8,192000,N1,0.718,noise,5
SR2_20160423_043111_912.wav,0.022,0.034,0.07,0.004,0.008,0.072,0.142,0.004,0.056,0.028,0.03,0.016,0.026,0.16,0.12,0.034,0.038,0.004,0.004,0.006,0.026,0.014,0.034,0.078,0.094,0.096,0.684,0.056,0.036,0.002,0.002,0.072,0.326,0.056,0.134,0.114,0.18,0.04,0.006,0.02,0.066,0.058,0.18,33,31.9,28.5,0,1.1,48,1,2,35.8,83.9,16,27.7,192000,N1,0.684,noise,5
