Filename,CallNum,Version,FileDur,SampleRate,StTime,Dur,PrevSt,Fmax,Fmin,BW,FreqMP,CM_FIF,Amp1,Amp2,Amp3,Amp4,Aposyl,Barbar,bird,chirp,Chobru,Condor,Confus,criq,Eptser,Homsap,Inssp5,Inssp6,Inssp7,Lamsp.,Leppun,mamm,Metbra,Micagr,Micmin,Mussp,Myoalc,Myobec,Myobra,Myodau,Myomys,Myonat,noise,Nyclei,Nycnoc,Omovir,Pelrid,Phafal,Phogri,Pipnat,Pippip,Pippyg,Plaalb,Pleaur,Ratnor,Rhifer,Rhihip,Roeroe,Tetvir,HL,HU
SR2_20160507_041145_329.wav,0,1,4.27,192000,0,5.83,9999,46.5,38.25,8.25,42,41.25,113.69,104.91,96.6,64.68,0.004,0.02,0.002,0.004,0,0.002,0,0,0.004,0,0,0,0,0.002,0.004,0.004,0,0.002,0.002,0,0,0,0,0.004,0.006,0,0.004,0.014,0.012,0,0,0,0,0.318,0.532,0.034,0,0.002,0.004,0.014,0.006,0,0,FALSE,FALSE
SR2_20160507_041145_329.wav,1,1,4.27,192000,8,17.5,8,45.75,39,6.75,42,42,24.84,15.63,14.8,6.27,0.014,0.024,0.008,0.002,0,0.002,0,0,0.002,0.002,0,0,0,0,0.006,0.008,0,0.004,0,0.002,0.002,0,0.006,0.024,0.004,0.002,0.022,0.004,0.012,0,0,0,0.004,0.3,0.456,0.034,0.002,0.002,0.022,0.018,0.01,0,0.002,FALSE,FALSE
SR2_20160507_041145_329.wav,2,1,4.27,192000,180.67,6,172.67,54,39.75,14.25,43.5,42.75,57.76,90.5,77.89,53.06,0.002,0.018,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0.002,0.012,0,0,0.008,0.006,0,0,0,0,0.234,0.684,0.02,0,0,0,0.002,0.006,0,0,FALSE,FALSE
SR2_20160507_041145_329.wav,3,1,4.27,192000,190,17.67,9.33,49.5,40.5,9,43.5,43.5,39.85,34.22,19.91,7.43,0.006,0.03,0.012,0.004,0,0.002,0.002,0,0.014,0.002,0,0,0.002,0.002,0.018,0,0,0.002,0.004,0,0.002,0.004,0.006,0.004,0.002,0,0.014,0.002,0.006,0,0,0,0.004,0.166,0.594,0.06,0.002,0.004,0.004,0.004,0.012,0.004,0.006,FALSE,FALSE
SR2_20160507_041145_329.wav,4,1,4.27,192000,208.67,2.83,18.67,45,39.75,5.25,42,42.75,10.33,7.76,0.51,17.56,0.002,0.016,0.004,0.004,0,0.004,0.004,0,0.01,0,0,0,0.006,0.002,0.008,0.002,0,0.004,0,0.002,0,0,0.006,0.034,0.006,0.002,0.03,0.006,0.01,0,0,0,0.004,0.288,0.45,0.036,0.004,0.004,0.004,0.02,0.012,0.004,0.012,FALSE,FALSE
SR2_20160507_041145_329.wav,5,1,4.27,192000,369.33,6,160.67,53.25,39,14.25,43.5,42,86.32,108.21,92.63,63.39,0.002,0.014,0,0,0,0,0.002,0,0.004,0.002,0,0,0.002,0,0,0,0,0,0.002,0,0,0,0,0.01,0.012,0,0.004,0.006,0.012,0,0,0,0,0.29,0.606,0.022,0,0,0,0.004,0.006,0,0,FALSE,FALSE
SR2_20160507_041145_329.wav,6,1,4.27,192000,378,21.17,8.67,51,39,12,42,42,33.41,52.25,30.3,16.56,0.004,0.028,0.004,0.006,0,0.004,0.004,0,0.026,0,0,0.002,0,0.002,0.006,0.002,0,0,0,0,0.002,0.002,0.008,0.016,0.012,0.004,0.012,0.004,0.006,0,0,0,0,0.348,0.438,0.028,0.006,0.002,0.004,0.01,0.006,0,0.004,FALSE,FALSE
SR2_20160507_041145_329.wav,7,1,4.27,192000,400.5,5.67,22.5,45.75,39.75,6,42,41.25,2.12,4.84,5.83,4.85,0.014,0.014,0.01,0,0,0.004,0.002,0,0.004,0.002,0,0,0.004,0.002,0.01,0.012,0.006,0.008,0,0,0,0,0.012,0.012,0.012,0,0.018,0.008,0.01,0,0,0,0.002,0.296,0.408,0.046,0.004,0,0.018,0.03,0.014,0.004,0.014,FALSE,FALSE
SR2_20160507_041145_329.wav,8,1,4.27,192000,549.67,6.33,149.17,51,39.75,11.25,42.75,42,98.57,126.06,112.28,77.9,0,0.028,0,0,0,0,0.002,0,0.006,0.002,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0.012,0.008,0.002,0,0.006,0.008,0,0,0,0,0.268,0.62,0.028,0,0,0,0.002,0.004,0,0,FALSE,FALSE
SR2_20160507_041145_329.wav,9,1,4.27,192000,558.67,30.17,9,50.25,38.25,12,42,42,73.01,41.82,25.76,8.25,0.01,0.02,0.006,0.004,0,0,0,0,0.018,0.002,0,0,0,0,0.01,0.002,0,0,0.002,0.002,0,0,0.002,0.012,0.004,0.002,0.008,0.008,0.006,0,0,0,0.002,0.414,0.416,0.03,0.002,0.002,0.004,0.008,0.002,0,0.002,FALSE,FALSE
