Filename,CallNum,Version,FileDur,SampleRate,StTime,Dur,PrevSt,Fmax,Fmin,BW,FreqMP,CM_FIF,Amp1,Amp2,Amp3,Amp4,Aposyl,Barbar,bird,chirp,Chobru,Condor,Confus,criq,Eptser,Homsap,Inssp5,Inssp6,Inssp7,Lamsp.,Leppun,mamm,Metbra,Micagr,Micmin,Mussp,Myoalc,Myobec,Myobra,Myodau,Myomys,Myonat,noise,Nyclei,Nycnoc,Omovir,Pelrid,Phafal,Phogri,Pipnat,Pippip,Pippyg,Plaalb,Pleaur,Ratnor,Rhifer,Rhihip,Roeroe,Tetvir,HL,HU
SR2_20160622_212339_077.wav,0,1,3.62,192000,0,30.5,9999,57,48,9,53.25,53.25,117.4,39.65,60.8,13.93,0.002,0.002,0.004,0,0,0.002,0,0,0,0,0,0,0,0,0.004,0.004,0,0,0.008,0,0,0.002,0,0.002,0.002,0.002,0.012,0.012,0.022,0,0,0,0.004,0.048,0.098,0.7,0.002,0,0.006,0.036,0.026,0,0,FALSE,FALSE
SR2_20160622_212339_077.wav,1,1,3.62,192000,179.17,10,179.17,57,41.25,15.75,52.5,53.25,115.59,137.38,128.78,62.47,0.006,0.002,0.002,0,0,0.006,0,0,0,0,0,0,0,0.006,0,0.002,0,0,0.002,0.002,0,0,0.004,0.022,0.004,0.004,0.04,0.012,0.028,0,0,0,0.01,0.054,0.174,0.466,0.01,0.002,0,0.05,0.086,0,0.006,FALSE,FALSE
SR2_20160622_212339_077.wav,2,1,3.62,192000,193.5,3.67,14.33,54.75,49.5,5.25,52.5,52.5,7.66,28.49,36.58,5.53,0.008,0.006,0.02,0.002,0,0.008,0,0,0.004,0,0,0,0,0,0.006,0.004,0,0.002,0.004,0,0.004,0,0.012,0.01,0.006,0,0.094,0,0.002,0,0,0,0.02,0.02,0.15,0.406,0.002,0.002,0.01,0.064,0.12,0.006,0.008,FALSE,FALSE
SR2_20160622_212339_077.wav,3,1,3.62,192000,197.83,9.33,4.33,54.75,48.75,6,51.75,52.5,3.56,5.7,3.97,1.42,0.014,0.002,0.004,0,0.002,0.002,0.004,0,0.01,0,0,0,0.002,0.002,0.006,0.006,0.002,0,0,0,0.004,0,0.012,0.006,0.002,0,0.124,0.01,0.008,0,0,0,0.008,0.022,0.204,0.322,0.01,0.002,0.008,0.064,0.128,0.002,0.008,FALSE,FALSE
SR2_20160622_212339_077.wav,4,1,3.62,192000,272,9.17,74.17,60,46.5,13.5,52.5,53.25,144.62,147.74,129.45,58.34,0.008,0.002,0,0,0,0.014,0,0,0.002,0.002,0,0,0,0.006,0.002,0.004,0,0.002,0.002,0,0,0,0.002,0.008,0.006,0.002,0.036,0.008,0.05,0,0,0,0.004,0.032,0.15,0.552,0.004,0.002,0.002,0.038,0.058,0,0.002,FALSE,FALSE
SR2_20160622_212339_077.wav,5,1,3.62,192000,282.17,27.33,10.17,56.25,48,8.25,52.5,52.5,58,89.68,36.98,6.78,0.01,0.004,0.002,0,0.002,0.004,0,0,0,0,0,0.002,0,0,0,0,0,0,0.008,0,0.002,0,0,0.006,0.004,0,0.05,0,0.032,0,0,0,0.004,0.034,0.142,0.534,0.004,0,0.006,0.058,0.09,0,0.002,FALSE,FALSE
SR2_20160622_212339_077.wav,6,1,3.62,192000,541.5,9.17,259.33,57,38.25,18.75,52.5,53.25,115.91,129.7,122.29,117.55,0.008,0,0.006,0.002,0,0.002,0,0,0.004,0,0,0,0.004,0.002,0.002,0.004,0.002,0.006,0.012,0.002,0.002,0,0.008,0.014,0.006,0.004,0.04,0.02,0.036,0,0,0,0.008,0.072,0.198,0.352,0.006,0.002,0.006,0.078,0.084,0.002,0.006,FALSE,FALSE
SR2_20160622_212339_077.wav,7,1,3.62,192000,555.67,15.83,14.17,54.75,48.75,6,52.5,52.5,16.06,41.86,13.29,2.31,0.004,0,0.006,0,0,0.002,0,0,0,0,0,0,0.002,0,0.002,0.002,0,0.004,0.008,0,0,0,0.002,0.004,0,0,0.046,0.008,0.008,0,0,0,0.008,0.02,0.142,0.522,0.002,0,0.004,0.066,0.13,0.002,0.006,FALSE,FALSE
SR2_20160622_212339_077.wav,8,1,3.62,192000,633.5,9.67,77.83,64.5,45,19.5,52.5,53.25,191.07,183.1,166.47,63.07,0.006,0.012,0.002,0,0,0.004,0.002,0,0.004,0.004,0,0,0.002,0.008,0.002,0.002,0,0,0.004,0,0.006,0.002,0.004,0.022,0.006,0.006,0.028,0.028,0.056,0,0,0,0.004,0.028,0.18,0.476,0.006,0,0.004,0.034,0.056,0,0.002,FALSE,FALSE
SR2_20160622_212339_077.wav,9,1,3.62,192000,645.17,24.33,11.67,56.25,47.25,9,52.5,52.5,100.34,116.78,71.13,14.44,0.004,0.004,0.002,0.002,0.002,0.002,0,0,0.002,0,0,0,0,0.004,0,0.002,0,0,0.01,0.002,0,0,0,0.01,0,0,0.044,0.008,0.03,0,0,0,0.002,0.038,0.148,0.598,0.004,0,0.008,0.044,0.028,0,0.002,FALSE,FALSE
