filename,species,accuracy
SR2_20160711_231338_103.wav,Barbar,0.99
SR2_20160803_011644_584.wav,Barbar,0.99
SR2_20160806_214553_715.wav,Eptser,0.52
SR2_20160704_231836_187.wav,Myodau,0.91
SR2_20160706_230606_787.wav,Myodau,0.85
SR2_20160710_025448_161.wav,Myodau,0.54
SR2_20160711_222839_264.wav,Myodau,0.88
SR2_20160711_224009_588.wav,Myodau,0.79
SR2_20160716_231352_263.wav,Myodau,0.87
SR2_20160719_011527_928.wav,Myodau,0.84
SR2_20160719_230438_292.wav,Myodau,0.6
SR2_20160721_221800_459.wav,Myodau,0.8
SR2_20160722_032251_468.wav,Myodau,0.52
SR2_20160725_012948_109.wav,Myodau,0.66
SR2_20160725_025628_232.wav,Myodau,0.51
SR2_20160726_235604_000.wav,Myodau,0.68
SR2_20160806_231822_249.wav,Myodau,0.82
SR2_20160704_230917_375.wav,Myonat,0.53
SR2_20160704_235220_241.wav,Myonat,0.82
SR2_20160706_232800_873.wav,Myonat,0.88
SR2_20160712_234304_577.wav,Myonat,0.69
SR2_20160713_001514_195.wav,Myonat,0.97
SR2_20160715_221656_332.wav,Myonat,0.98
SR2_20160726_031019_861.wav,Myonat,0.91
SR2_20160727_035141_360.wav,Myonat,0.61
SR2_20160802_230848_905.wav,Myonat,0.99
SR2_20160806_221304_345.wav,Myonat,0.94
SR2_20160807_222102_999.wav,Myonat,0.87
SR2_20160704_021227_807.wav,Nycnoc,0.77
SR2_20160709_012053_108.wav,Nycnoc,0.97
SR2_20160709_215524_219.wav,Nycnoc,0.98
SR2_20160709_215531_037.wav,Nycnoc,0.66
SR2_20160711_215946_325.wav,Nycnoc,0.8
SR2_20160724_025144_869.wav,Nycnoc,0.98
SR2_20160724_222536_063.wav,Nycnoc,0.92
SR2_20160725_000003_800.wav,Nycnoc,0.99
SR2_20160726_001814_047.wav,Nycnoc,0.79
SR2_20160727_223442_447.wav,Nycnoc,0.58
SR2_20160727_223443_816.wav,Nycnoc,0.87
SR2_20160727_223446_905.wav,Nycnoc,0.76
SR2_20160729_025612_896.wav,Nycnoc,0.92
SR2_20160729_032419_237.wav,Nycnoc,0.54
SR2_20160730_234214_329.wav,Nycnoc,0.87
SR2_20160806_212535_061.wav,Nycnoc,0.74
SR2_20160806_214254_856.wav,Nycnoc,0.82
SR2_20160806_214257_831.wav,Nycnoc,0.99
SR2_20160806_214302_488.wav,Nycnoc,0.93
SR2_20160711_224629_580.wav,Pipnat,0.87
SR2_20160703_230519_795.wav,Pippip,0.96
SR2_20160703_230522_204.wav,Pippip,0.93
SR2_20160703_235714_755.wav,Pippip,0.99
SR2_20160704_001314_799.wav,Pippip,0.98
SR2_20160704_011202_623.wav,Pippip,0.95
SR2_20160704_021040_352.wav,Pippip,0.95
SR2_20160704_021919_265.wav,Pippip,0.81
SR2_20160704_025416_925.wav,Pippip,0.93
SR2_20160704_025418_581.wav,Pippip,0.96
SR2_20160704_030225_731.wav,Pippip,0.62
SR2_20160704_214108_933.wav,Pippip,0.98
SR2_20160704_220438_552.wav,Pippip,0.98
SR2_20160704_220450_872.wav,Pippip,0.99
SR2_20160704_220937_533.wav,Pippip,0.97
SR2_20160704_220943_059.wav,Pippip,0.97
SR2_20160704_231256_540.wav,Pippip,0.95
SR2_20160704_233132_753.wav,Pippip,0.95
SR2_20160704_233136_721.wav,Pippip,0.98
SR2_20160705_001725_767.wav,Pippip,0.98
SR2_20160705_002538_393.wav,Pippip,0.85
SR2_20160705_005940_296.wav,Pippip,0.97
SR2_20160705_011933_015.wav,Pippip,0.94
SR2_20160705_021715_365.wav,Pippip,0.9
SR2_20160705_024630_036.wav,Pippip,0.8
SR2_20160705_030137_467.wav,Pippip,0.98
SR2_20160705_030514_188.wav,Pippip,0.73
SR2_20160705_032450_465.wav,Pippip,0.97
SR2_20160705_033442_496.wav,Pippip,0.99
SR2_20160705_033911_836.wav,Pippip,0.98
SR2_20160705_033914_611.wav,Pippip,0.96
SR2_20160705_220121_725.wav,Pippip,0.96
SR2_20160705_221147_909.wav,Pippip,0.99
SR2_20160705_221309_389.wav,Pippip,0.9
SR2_20160706_224707_585.wav,Pippip,0.91
SR2_20160706_224709_332.wav,Pippip,0.94
SR2_20160706_230106_256.wav,Pippip,0.66
SR2_20160706_230943_548.wav,Pippip,0.98
SR2_20160706_231918_249.wav,Pippip,0.98
SR2_20160707_004317_925.wav,Pippip,0.81
SR2_20160707_004319_592.wav,Pippip,0.92
SR2_20160707_022904_991.wav,Pippip,0.66
SR2_20160707_022906_284.wav,Pippip,0.85
SR2_20160707_024412_161.wav,Pippip,0.97
SR2_20160707_032815_217.wav,Pippip,0.99
SR2_20160707_033003_515.wav,Pippip,0.96
SR2_20160707_034915_859.wav,Pippip,0.98
SR2_20160707_035158_887.wav,Pippip,0.98
SR2_20160707_230221_013.wav,Pippip,0.97
SR2_20160707_231430_381.wav,Pippip,0.91
SR2_20160707_235631_376.wav,Pippip,0.78
SR2_20160708_001604_511.wav,Pippip,0.82
SR2_20160708_002114_804.wav,Pippip,0.77
SR2_20160708_002927_823.wav,Pippip,0.72
SR2_20160708_005617_625.wav,Pippip,0.96
SR2_20160708_012407_079.wav,Pippip,0.73
SR2_20160708_014625_704.wav,Pippip,0.92
SR2_20160708_014630_704.wav,Pippip,0.62
SR2_20160708_023012_552.wav,Pippip,0.81
SR2_20160708_033348_195.wav,Pippip,0.98
SR2_20160708_221316_753.wav,Pippip,0.98
SR2_20160708_221321_753.wav,Pippip,0.9
SR2_20160708_221325_207.wav,Pippip,0.98
SR2_20160708_221331_161.wav,Pippip,0.95
SR2_20160708_221625_799.wav,Pippip,0.96
SR2_20160708_221641_039.wav,Pippip,0.94
SR2_20160708_221706_000.wav,Pippip,0.97
SR2_20160708_221707_209.wav,Pippip,0.97
SR2_20160708_223701_164.wav,Pippip,0.7
SR2_20160708_233450_868.wav,Pippip,0.96
SR2_20160709_000417_884.wav,Pippip,0.79
SR2_20160709_040826_804.wav,Pippip,0.89
SR2_20160709_221000_256.wav,Pippip,0.95
SR2_20160709_225550_579.wav,Pippip,0.6
SR2_20160710_000040_993.wav,Pippip,0.97
SR2_20160710_000822_253.wav,Pippip,0.94
SR2_20160710_002456_571.wav,Pippip,0.9
SR2_20160710_002503_309.wav,Pippip,0.57
SR2_20160710_005535_085.wav,Pippip,0.94
SR2_20160710_033854_039.wav,Pippip,0.99
SR2_20160710_215741_961.wav,Pippip,0.98
SR2_20160710_215808_871.wav,Pippip,0.98
SR2_20160710_221822_443.wav,Pippip,0.98
SR2_20160710_231924_313.wav,Pippip,0.92
SR2_20160710_231929_313.wav,Pippip,0.53
SR2_20160710_234348_620.wav,Pippip,0.99
SR2_20160711_010049_397.wav,Pippip,0.87
SR2_20160711_041349_551.wav,Pippip,0.53
SR2_20160711_215853_824.wav,Pippip,0.97
SR2_20160711_221741_209.wav,Pippip,0.9
SR2_20160711_232440_184.wav,Pippip,0.91
SR2_20160712_041145_913.wav,Pippip,0.87
SR2_20160712_221004_076.wav,Pippip,0.93
SR2_20160713_000700_259.wav,Pippip,0.81
SR2_20160713_035902_853.wav,Pippip,0.98
SR2_20160713_213725_703.wav,Pippip,0.98
SR2_20160713_213912_149.wav,Pippip,0.96
SR2_20160713_213927_865.wav,Pippip,0.97
SR2_20160713_213947_820.wav,Pippip,0.97
SR2_20160713_215817_579.wav,Pippip,0.99
SR2_20160713_215822_715.wav,Pippip,0.98
SR2_20160713_221739_877.wav,Pippip,0.99
SR2_20160713_222539_051.wav,Pippip,0.98
SR2_20160713_225113_909.wav,Pippip,0.89
SR2_20160713_225115_157.wav,Pippip,0.97
SR2_20160713_225748_404.wav,Pippip,0.98
SR2_20160713_232253_548.wav,Pippip,0.97
SR2_20160713_232255_027.wav,Pippip,0.91
SR2_20160714_001115_193.wav,Pippip,0.92
SR2_20160714_014330_833.wav,Pippip,0.96
SR2_20160714_014332_068.wav,Pippip,0.98
SR2_20160714_023416_596.wav,Pippip,0.92
SR2_20160714_025934_948.wav,Pippip,0.74
SR2_20160714_030014_560.wav,Pippip,0.98
SR2_20160714_215502_711.wav,Pippip,0.97
SR2_20160714_215505_251.wav,Pippip,0.96
SR2_20160714_215558_832.wav,Pippip,0.97
SR2_20160714_215559_929.wav,Pippip,0.97
SR2_20160714_215608_399.wav,Pippip,0.98
SR2_20160714_215611_803.wav,Pippip,0.97
SR2_20160714_215616_873.wav,Pippip,0.98
SR2_20160714_215645_691.wav,Pippip,0.97
SR2_20160714_215649_469.wav,Pippip,0.98
SR2_20160714_215656_839.wav,Pippip,0.94
SR2_20160714_215711_040.wav,Pippip,0.99
SR2_20160714_215713_605.wav,Pippip,0.98
SR2_20160714_215716_961.wav,Pippip,0.98
SR2_20160714_215719_285.wav,Pippip,0.98
SR2_20160714_215739_609.wav,Pippip,0.97
SR2_20160714_215751_109.wav,Pippip,0.98
SR2_20160714_215752_267.wav,Pippip,0.97
SR2_20160714_215804_429.wav,Pippip,0.98
SR2_20160714_215825_085.wav,Pippip,0.98
SR2_20160714_215828_572.wav,Pippip,0.98
SR2_20160714_215833_993.wav,Pippip,0.98
SR2_20160714_215839_489.wav,Pippip,0.99
SR2_20160714_215852_596.wav,Pippip,0.98
SR2_20160714_215855_727.wav,Pippip,0.96
SR2_20160714_215903_108.wav,Pippip,0.99
SR2_20160714_215921_045.wav,Pippip,0.97
SR2_20160714_215925_379.wav,Pippip,0.98
SR2_20160714_215927_209.wav,Pippip,0.98
SR2_20160714_215933_837.wav,Pippip,0.97
SR2_20160714_215935_255.wav,Pippip,0.97
SR2_20160714_215946_688.wav,Pippip,0.98
SR2_20160714_215956_544.wav,Pippip,0.99
SR2_20160714_220001_928.wav,Pippip,0.97
SR2_20160714_220013_831.wav,Pippip,0.97
SR2_20160714_220033_935.wav,Pippip,0.98
SR2_20160714_220039_116.wav,Pippip,0.97
SR2_20160714_220042_553.wav,Pippip,0.97
SR2_20160714_220058_012.wav,Pippip,0.98
SR2_20160714_220103_012.wav,Pippip,0.97
SR2_20160714_220112_528.wav,Pippip,0.99
SR2_20160714_220119_992.wav,Pippip,0.98
SR2_20160714_220128_371.wav,Pippip,0.97
SR2_20160714_221201_057.wav,Pippip,0.92
SR2_20160714_221213_211.wav,Pippip,0.97
SR2_20160714_221338_400.wav,Pippip,0.96
SR2_20160714_221444_401.wav,Pippip,0.98
SR2_20160714_221448_540.wav,Pippip,0.99
SR2_20160714_221525_967.wav,Pippip,0.93
SR2_20160714_223947_420.wav,Pippip,0.98
SR2_20160714_223952_420.wav,Pippip,0.83
SR2_20160714_223953_608.wav,Pippip,0.95
SR2_20160714_223957_825.wav,Pippip,0.97
SR2_20160714_224005_401.wav,Pippip,0.97
SR2_20160714_224425_491.wav,Pippip,0.85
SR2_20160714_224559_541.wav,Pippip,0.98
SR2_20160714_225913_440.wav,Pippip,0.89
SR2_20160714_232953_931.wav,Pippip,0.98
SR2_20160714_232958_065.wav,Pippip,0.98
SR2_20160714_233003_627.wav,Pippip,0.97
SR2_20160714_233005_592.wav,Pippip,0.98
SR2_20160714_233028_163.wav,Pippip,0.98
SR2_20160715_001232_515.wav,Pippip,0.93
SR2_20160715_025102_307.wav,Pippip,0.91
SR2_20160715_034908_613.wav,Pippip,0.98
SR2_20160715_215744_397.wav,Pippip,0.99
SR2_20160715_220509_983.wav,Pippip,0.96
SR2_20160715_220648_352.wav,Pippip,0.93
SR2_20160715_221405_551.wav,Pippip,0.98
SR2_20160715_222645_356.wav,Pippip,0.84
SR2_20160715_222651_789.wav,Pippip,0.63
SR2_20160715_222703_896.wav,Pippip,0.93
SR2_20160715_222715_679.wav,Pippip,0.94
SR2_20160715_222728_088.wav,Pippip,0.73
SR2_20160715_223119_059.wav,Pippip,0.98
SR2_20160715_223121_856.wav,Pippip,0.98
SR2_20160715_223141_656.wav,Pippip,0.98
SR2_20160715_223146_656.wav,Pippip,0.98
SR2_20160715_223514_060.wav,Pippip,0.96
SR2_20160715_223543_565.wav,Pippip,0.93
SR2_20160715_224506_833.wav,Pippip,0.99
SR2_20160715_224820_745.wav,Pippip,0.95
SR2_20160715_224935_287.wav,Pippip,0.98
SR2_20160715_225458_376.wav,Pippip,0.97
SR2_20160715_225526_439.wav,Pippip,0.97
SR2_20160715_225739_401.wav,Pippip,0.99
SR2_20160715_225825_235.wav,Pippip,0.91
SR2_20160715_225849_805.wav,Pippip,0.98
SR2_20160715_225855_459.wav,Pippip,0.97
SR2_20160715_225926_945.wav,Pippip,0.99
SR2_20160715_225931_945.wav,Pippip,0.95
SR2_20160715_225938_289.wav,Pippip,0.98
SR2_20160715_230043_357.wav,Pippip,0.98
SR2_20160715_230149_771.wav,Pippip,0.95
SR2_20160715_230154_771.wav,Pippip,0.85
