Filename,Roeroe,Tetvir,FreqM,FreqP,FreqC,Tstart,Tend,NbCris,DurMed,Dur90,Ampm50,Ampm90,AmpSMd,DiffME,SR,Order,Ind,SpMaxF2,Version
SR2_20160908_195655_000.wav,0.024,0.038,55,53.2,52.5,0,1.6,36,7,18,42.6,91.1,13,30.4,192000,N1,0.788,Pippyg,5
SR2_20160908_195706_000.wav,0,0.004,39,39,38.2,0,0.1,1,37,37,122.3,122.3,33,77.9,192000,N1,0.768,Leppun,5
SR2_20160908_195721_000.wav,0.01,0.016,37,36.4,36.4,0,0.1,1,18,33,56.4,84.8,16,38.2,192000,N1,0.704,Leppun,5
SR2_20160908_195841_000.wav,0,0.002,38,39,39.8,0,0.1,1,38,38,98.3,98.3,27,60.7,192000,N1,0.878,Leppun,5
SR2_20160908_195908_000.wav,0.006,0.01,38,37.5,17.6,0,0.3,2,2,29,70.8,99.3,32,65.5,192000,N1,0.888,Leppun,5
SR2_20160908_195944_000.wav,0.022,0.086,46,44.2,44.2,0,1.4,11,6,15,23.6,83.5,8,15.6,192000,N1,0.836,Pippip,5
SR2_20160908_200024_000.wav,0.002,0,41,36.8,37.5,0,0.1,1,32,32,78.4,78.4,20,43.7,192000,N1,0.792,Leppun,5
SR2_20160908_200040_000.wav,0.01,0.002,38,38.6,35.2,0,0.1,1,18,31,75,95.4,24,52.6,192000,N1,0.78,Leppun,5
SR2_20160908_200337_000.wav,0.054,0.072,24,22.5,21.8,0,4.5,45,8,53,18.5,74.8,7,8.9,192000,N1,0.748,Nycnoc,5
SR2_20160908_201529_000.wav,0.028,0.042,51,48,46.5,0,1.3,14,6,20,63.5,95.4,18,44.6,192000,N1,0.85,Pippip,5
SR2_20160908_202302_000.wav,0.122,0.074,59,56.2,56.2,0,2.3,55,7,23,66,167.8,19,47.6,192000,N1,0.888,Pippyg,5
SR2_20160908_202846_000.wav,0.012,0.01,40,38.2,38.2,0,0.4,2,4,27,125,151.8,50,105.7,192000,N1,0.794,Leppun,5
SR2_20160908_202851_000.wav,0,0,42,39,40.5,0,0.1,1,37,37,146.3,146.3,50,121.7,192000,N1,0.77,Leppun,5
SR2_20160908_202931_000.wav,0.01,0.022,50,48,20.2,0,0.1,2,18,32,74.3,113,23,53.6,192000,N1,0.804,Leppun,5
SR2_20160908_203405_000.wav,0.006,0.006,39,36,39,0,0.2,2,1,33,102.1,135.3,38,100.6,192000,N1,0.756,Leppun,5
SR2_20160908_203827_000.wav,0.054,0.068,40,34.5,37.1,0,1.6,18,5,21,76.1,132.5,25,61.3,192000,N1,0.724,Pleaur,5
SR2_20160908_203952_000.wav,0.014,0.036,53,52.9,52.5,0.1,2.2,27,6,16,29.1,61.7,7,18.2,192000,N1,0.852,Pippyg,5
SR2_20160908_203957_000.wav,0.03,0.02,52,45,45.8,0,1.7,17,7,21,78,125.3,29,61.7,192000,N1,0.508,Pippyg,5
SR2_20160908_204004_000.wav,0.004,0.008,53,53.2,53.2,0,2.1,28,7,20,43.6,76.5,12,30.6,192000,N1,0.846,Pippyg,5
SR2_20160908_204106_000.wav,0.082,0.062,39,36,33.8,0,2.9,42,4,23,100.2,186.2,32,81,192000,N1,0.632,Pleaur,5
SR2_20160908_204135_000.wav,0.08,0.056,41,40.1,31.9,0,1.5,41,2,3,74.2,132.1,27,59.4,192000,N1,0.628,Pleaur,5
SR2_20160908_204306_000.wav,0.074,0.032,35,35.2,36,0,2.1,15,3,6,53.6,122.5,15,39.7,192000,N1,0.654,Pleaur,5
SR2_20160908_204544_000.wav,0.146,0.038,49,43.9,46.5,0,2.1,39,3,5,82.4,163.7,26,62.7,192000,N1,0.686,Pleaur,5
SR2_20160908_204803_000.wav,0.022,0.032,45,44.2,42.8,0,4.4,81,8,28,53.5,129.3,15,39.9,192000,N1,0.78,Pippip,5
SR2_20160908_210325_000.wav,0.026,0.018,38,35.6,34.9,0,0.4,5,1,22,110.2,206.3,44,97.2,192000,N1,0.784,Leppun,5
SR2_20160908_210608_000.wav,0.08,0.08,42,39,34.1,0,2.2,34,3,14,81,160.6,30,67.6,192000,N1,0.634,Pleaur,5
SR2_20160908_211314_000.wav,0.014,0.016,38,36.4,37.1,0,0.1,6,2,19,78.4,127,31,72.7,192000,N1,0.79,Leppun,5
SR2_20160908_211338_000.wav,0.116,0.08,40,36,33,0,4,77,5,18,82.4,177.4,24,63.5,192000,N1,0.706,Pleaur,5
SR2_20160908_211430_000.wav,0.094,0.036,52,45,47.2,0,2.6,31,5,25,187.9,295.8,63,164.9,192000,N1,0.454,Myodau,5
SR2_20160908_211445_000.wav,0.002,0.002,38,34.5,34.5,0,0.1,1,40,40,67,67,18,41,192000,N1,0.88,Leppun,5
SR2_20160908_211508_000.wav,0.018,0.014,38,36,35.6,0,0.2,1,20,33,46.8,80,14,33.4,192000,N1,0.892,Leppun,5
SR2_20160908_211559_000.wav,0,0.002,37,37.5,36.8,0,0.1,1,46,46,97.9,97.9,30,67.3,192000,N1,0.886,Leppun,5
SR2_20160908_211721_000.wav,0.002,0.002,44,39.8,37.5,0,0.1,1,44,44,102,102,32,76.4,192000,N1,0.836,Leppun,5
SR2_20160908_212354_000.wav,0.012,0.022,38,34.5,34.5,0,0.5,8,2,11,55,100.6,25,49,192000,N1,0.636,Leppun,5
SR2_20160908_212426_000.wav,0.01,0.018,57,57,56.2,0,4.6,54,6,22,51.6,167.9,13,37.1,192000,N1,0.902,Pippyg,5
SR2_20160908_212554_000.wav,0.008,0.01,37,36,37.5,0,0.1,5,0,31,87,105.1,32,76.1,192000,N1,0.75,Leppun,5
SR2_20160908_214149_000.wav,0.024,0.034,26,26.2,24.8,0,1,3,12,25,22.8,57.6,8,12.8,192000,N1,0.362,Nycnoc,5
SR2_20160908_214320_000.wav,0.012,0.024,39,36.8,38.6,0,0.5,3,1,22,119.8,131.4,49,106.3,192000,N1,0.7,Leppun,5
SR2_20160908_214512_000.wav,0,0.002,43,39.8,39.8,0,0.1,1,46,46,107.5,107.5,39,87.3,192000,N1,0.866,Leppun,5
SR2_20160908_214921_000.wav,0.004,0.002,40,36,36,0,0.1,1,47,47,84.1,84.1,22,50.2,192000,N1,0.744,Leppun,5
SR2_20160908_215116_000.wav,0.01,0.006,41,41.2,40.5,0,1,6,7,20,42.8,75.1,12,32.2,192000,N1,0.52,Pippip,5
SR2_20160908_215334_000.wav,0.022,0.012,39,39.8,39,0,0.1,1,23,39,60.8,93.4,18,40.1,192000,N1,0.616,Leppun,5
SR2_20160908_215520_000.wav,0.01,0.014,38,39.8,18.8,0,0.2,1,22,38,87.3,101.8,35,76.2,192000,N1,0.728,Leppun,5
SR2_20160908_215537_000.wav,0.002,0,38,36,35.2,0,0.1,1,42,42,115.1,115.1,33,78.8,192000,N1,0.87,Leppun,5
SR2_20160908_215900_000.wav,0.002,0.004,38,36.8,36,0,0.1,1,41,41,74.1,74.1,24,55.9,192000,N1,0.794,Leppun,5
SR2_20160908_220028_000.wav,0.006,0.01,38,36,34.5,0,0.4,5,1,24,99.3,170.9,37,98.1,192000,N1,0.816,Leppun,5
SR2_20160908_220117_000.wav,0.008,0,38,36,36,0,0.1,1,44,44,114.9,114.9,36,86,192000,N1,0.656,Leppun,5
SR2_20160908_220137_000.wav,0,0,39,36,35.2,0,0.1,1,49,49,106.7,106.7,33,79.7,192000,N1,0.81,Leppun,5
SR2_20160908_220158_000.wav,0.008,0.002,38,41.2,37.5,0,0.1,1,41,41,120.5,120.5,32,72.4,192000,N1,0.686,Leppun,5
SR2_20160908_220242_000.wav,0.012,0.008,39,35.2,37.9,0,0.4,2,3,38,70.9,97.8,31,64.4,192000,N1,0.854,Leppun,5
SR2_20160908_220355_000.wav,0.004,0.002,38,36,36,0,0.1,1,39,39,106.6,106.6,33,76.8,192000,N1,0.91,Leppun,5
SR2_20160908_220801_000.wav,0.002,0.008,38,36.8,36.4,0,0.4,2,1,31,47.9,77.6,22,46.6,192000,N1,0.81,Leppun,5
SR2_20160908_221132_000.wav,0.02,0.012,40,39.8,38.2,0,0.2,3,2,21,41.1,72.3,20,37.3,192000,N1,0.854,Leppun,5
SR2_20160908_221137_000.wav,0.004,0.004,42,36,42,0,0.1,1,38,38,100.3,100.3,30,72,192000,N1,0.806,Leppun,5
SR2_20160908_222329_000.wav,0,0,39,40.5,39.8,0,0.1,1,42,42,94.2,94.2,31,75.7,192000,N1,0.88,Leppun,5
SR2_20160908_222716_000.wav,0.012,0.014,38,35.6,34.5,0,0.1,1,22,38,117.4,141.4,43,100.2,192000,N1,0.85,Leppun,5
SR2_20160908_222925_000.wav,0,0.006,43,37.5,37.5,0,0.1,1,45,45,102.2,102.2,29,68.2,192000,N1,0.822,Leppun,5
SR2_20160908_223051_000.wav,0.082,0.076,42,39,37.5,0,1.9,39,3,17,49.9,122.2,17,35.7,192000,N1,0.63,Pleaur,5
SR2_20160908_223246_000.wav,0.022,0.044,47,45,45,0,3.9,54,7,27,53.9,176.2,13,37.1,192000,N1,0.904,Pippip,5
SR2_20160908_223255_000.wav,0.008,0.006,38,35.2,17.6,0,0.1,1,23,38,69.8,80.6,24,51.6,192000,N1,0.828,Leppun,5
SR2_20160908_223538_000.wav,0.006,0.01,37,37.1,36,0,0.1,6,2,23,74.5,84.7,30,65.8,192000,N1,0.792,Leppun,5
SR2_20160908_223712_000.wav,0,0.004,36,37.5,35.2,0,0.1,1,46,46,91.7,91.7,29,69.3,192000,N1,0.856,Leppun,5
SR2_20160908_223726_000.wav,0.024,0.02,50,48.8,48.4,0,2.4,20,4,17,36,96.3,13,22.6,192000,N1,0.896,Pippip,5
SR2_20160908_224613_000.wav,0.014,0.016,36,37.1,35.6,0,0.1,2,21,36,50.3,80,16,39,192000,N1,0.868,Leppun,5
SR2_20160908_224645_000.wav,0.006,0.002,39,36.8,34.5,0,0.1,1,44,44,89.1,89.1,29,68.4,192000,N1,0.73,Leppun,5
SR2_20160908_224658_000.wav,0.002,0,38,36.8,38.2,0,0.1,1,39,39,93.8,93.8,25,59.2,192000,N1,0.748,Leppun,5
SR2_20160908_225056_000.wav,0.01,0,45,37.1,36,0,0.1,1,30,46,85.2,87.1,32,71.4,192000,N1,0.792,Leppun,5
SR2_20160908_230619_000.wav,0.094,0.08,35,36,33.8,0,1.5,9,2,9,53.6,118.4,24,44.9,192000,N1,0.49,Pleaur,5
SR2_20160908_232042_000.wav,0.014,0.012,39,35.2,39,0,0.1,2,10,31,57.4,107.9,12,49,192000,N1,0.628,Leppun,5
SR2_20160908_232927_000.wav,0.004,0.002,45,36,36,0,0.1,1,51,51,67.9,67.9,13,23,192000,N1,0.624,Leppun,5
SR2_20160908_234222_000.wav,0.006,0.006,37,34.5,37.5,0,0.1,1,24,36,90.3,120.6,29,64,192000,N1,0.812,Leppun,5
SR2_20160908_234410_000.wav,0.01,0.008,38,36,35.2,0,0.1,2,13,26,77.2,153.3,26,52.7,192000,N1,0.652,Leppun,5
SR2_20160908_234454_000.wav,0,0.002,36,35.2,36,0,0.1,1,44,44,66.2,66.2,21,51.8,192000,N1,0.834,Leppun,5
SR2_20160908_234544_000.wav,0.002,0.004,36,36,36,0,0.1,1,49,49,63.1,63.1,13,30.8,192000,N1,0.844,Leppun,5
SR2_20160908_234755_000.wav,0,0.002,38,37.5,34.5,0,0.1,1,49,49,68.5,68.5,15,35,192000,N1,0.78,Leppun,5
SR2_20160908_235329_000.wav,0,0.002,41,35.2,36.8,0,0.1,1,48,48,62,62,15,35.9,192000,N1,0.864,Leppun,5
SR2_20160908_235355_000.wav,0.004,0.004,41,35.2,34.9,0,0.1,1,22,32,104.1,132.8,37,84.4,192000,N1,0.814,Leppun,5
SR2_20160909_000648_000.wav,0.02,0.012,39,37.5,34.9,0,0.1,1,25,28,70,83,24,56,192000,N1,0.834,Leppun,5
SR2_20160909_000802_000.wav,0.01,0.004,40,38.2,36,0,0.6,7,1,24,76.9,116.2,32,75.8,192000,N1,0.802,Leppun,5
SR2_20160909_000813_000.wav,0,0.004,44,37.5,41.2,0,0.1,1,51,51,110.6,110.6,36,83.1,192000,N1,0.728,Leppun,5
SR2_20160909_001349_000.wav,0.016,0.008,40,40.5,42,0,0.7,5,0,33,85.6,94.7,28,57.5,192000,N1,0.914,Leppun,5
SR2_20160909_001409_000.wav,0,0,37,36,36,0,0.1,1,52,52,83.8,83.8,19,41.9,192000,N1,0.884,Leppun,5
SR2_20160909_001535_000.wav,0.018,0.026,36,34.5,35.2,0,0.1,2,2,38,16.3,66.4,7,8,192000,N1,0.888,Leppun,5
SR2_20160909_001646_000.wav,0.004,0,40,35.2,36.8,0,0.1,1,60,60,87.6,87.6,29,67.9,192000,N1,0.832,Leppun,5
SR2_20160909_001736_000.wav,0.004,0,38,35.2,33.8,0,0.1,1,48,48,75.4,75.4,17,39.8,192000,N1,0.834,Leppun,5
