filename,species,accuracy
SR2_20161026_215757_000.wav,Myodau,0.59
SR2_20161027_191737_000.wav,Myodau,0.55
SR2_20161031_182805_000.wav,Myodau,0.94
SR2_20161101_203656_000.wav,Myodau,0.6
SR2_20161103_185037_000.wav,Myodau,0.93
SR2_20161103_230604_000.wav,Myodau,0.71
SR2_20161103_232700_000.wav,Myodau,0.54
SR2_20161103_234014_000.wav,Myodau,0.6
SR2_20161028_024231_000.wav,Myonat,0.5
SR2_20161029_215651_000.wav,Myonat,0.98
SR2_20161029_221636_000.wav,Myonat,0.9
SR2_20161101_203705_000.wav,Myonat,0.58
SR2_20161105_193205_000.wav,Myonat,0.99
SR2_20161107_190243_000.wav,Myonat,0.88
SR2_20161022_202147_000.wav,Nycnoc,0.65
SR2_20161021_181142_000.wav,Pippip,0.98
SR2_20161021_215019_000.wav,Pippip,0.55
SR2_20161027_022524_000.wav,Pippip,0.94
SR2_20161027_181446_000.wav,Pippip,0.85
SR2_20161027_211956_000.wav,Pippip,0.99
SR2_20161028_180152_000.wav,Pippip,0.81
SR2_20161028_182555_000.wav,Pippip,0.96
SR2_20161028_214930_000.wav,Pippip,0.95
SR2_20161029_040308_000.wav,Pippip,0.93
SR2_20161029_062935_000.wav,Pippip,0.83
SR2_20161031_024741_000.wav,Pippip,0.63
SR2_20161107_203010_000.wav,Pippip,0.98
SR2_20161111_175153_000.wav,Pippip,0.88
SR2_20161114_183753_000.wav,Pippip,0.95
SR2_20161114_202444_000.wav,Pippip,0.96
SR2_20161114_220613_000.wav,Pippip,0.94
SR2_20161115_055616_000.wav,Pippip,0.98
SR2_20161115_214842_000.wav,Pippip,0.98
SR2_20161115_222027_000.wav,Pippip,0.98
SR2_20161116_021428_000.wav,Pippip,0.98
SR2_20161116_023501_000.wav,Pippip,0.96
SR2_20161027_200335_000.wav,Pippyg,0.98
SR2_20161028_214111_000.wav,Pippyg,0.97
SR2_20161028_214139_000.wav,Pippyg,0.98
SR2_20161101_180510_000.wav,Pippyg,0.98
SR2_20161109_205736_000.wav,Pippyg,0.96
SR2_20161114_190557_000.wav,Pippyg,0.94
SR2_20161114_210144_000.wav,Pippyg,0.94
SR2_20161115_022418_000.wav,Pippyg,0.86
SR2_20161023_203623_000.wav,Pleaur,0.89
SR2_20161026_221257_000.wav,Pleaur,0.97
SR2_20161026_222526_000.wav,Pleaur,0.97
SR2_20161027_181406_000.wav,Pleaur,0.97
SR2_20161028_205041_000.wav,Pleaur,0.96
SR2_20161029_013714_000.wav,Pleaur,0.97
