Group.1,Aposyl,Barbar,bird,chirp,Chobru,Condor,Confus,criq,Eptser,Homsap,Inssp5,Inssp6,Inssp7,Lamsp.,Leppun,mamm,Metbra,Micagr,Micmin,Mussp,Myoalc,Myobec,Myobra,Myodau,Myomys,Myonat,noise,Nyclei,Nycnoc,Omovir,Pelrid,Phafal,Phogri,Pipnat,Pippip,Pippyg,Plaalb,Pleaur,Ratnor,Rhifer,Rhihip,Roeroe,Tetvir,FreqM,FreqP,FreqC,Tstart,Tend,NbCris,DurMed,Dur90,Ampm50,Ampm90,AmpSMd,DiffME,SR,Order,Ind,SpMaxF2,Version
SR2_20170505_200807_000.wav,0.034,0.092,0.04,0.006,0,0.02,0.04,0,0.06,0.002,0.004,0.008,0.006,0.038,0.092,0.026,0.012,0.006,0.004,0.002,0.038,0.126,0.064,0.138,0.108,0.098,0.366,0.06,0.034,0,0,0.004,0.058,0.38,0.5,0.106,0.026,0.056,0.01,0.158,0.072,0.028,0.088,52,43.5,42,0,1.4,22,4,9,38.8,169.3,14,25.6,192000,N1,0.5,Pippip,5
SR2_20170511_221706_000.wav,0.026,0.04,0.04,0.002,0.002,0.036,0.042,0,0.068,0.002,0.008,0.004,0.012,0.05,0.066,0.03,0.022,0.02,0.008,0.006,0.058,0.034,0.048,0.148,0.092,0.048,0.252,0.066,0.038,0.002,0,0.006,0.04,0.382,0.79,0.176,0.042,0.048,0.028,0.14,0.236,0.084,0.054,57,46.5,45,0,1.7,26,5,8,48.3,89.1,12,24.7,192000,N1,0.79,Pippip,5
SR2_20170512_011846_000.wav,0.016,0.018,0.022,0.002,0.002,0.008,0.006,0,0.018,0.004,0,0.002,0.006,0.002,0.018,0.01,0.004,0.006,0.01,0.004,0.012,0.004,0.014,0.03,0.014,0.012,0.09,0.068,0.032,0,0,0.002,0.02,0.056,0.312,0.892,0.01,0.012,0.022,0.068,0.144,0.01,0.014,57,54,53.2,0,2.5,38,7,16,55.4,218.3,15,41.8,192000,N1,0.892,Pippyg,5
SR2_20170514_032419_000.wav,0.014,0.042,0.018,0.004,0.002,0.022,0.022,0,0.052,0.004,0.004,0.006,0.008,0.032,0.038,0.022,0.008,0.002,0.002,0.004,0.036,0.012,0.03,0.08,0.07,0.028,0.116,0.042,0.014,0,0,0.008,0.034,0.128,0.872,0.152,0.038,0.024,0.018,0.038,0.064,0.062,0.062,52,47.2,47.2,0,1.4,15,5,12,35.1,149.2,11,19.7,192000,N1,0.872,Pippip,5
SR2_20170516_033323_000.wav,0.006,0.046,0.018,0,0,0.044,0.02,0,0.032,0.002,0.002,0.004,0.004,0.028,0.084,0.002,0.008,0,0,0,0.052,0.026,0.048,0.072,0.052,0.042,0.328,0.018,0.012,0,0,0.002,0.056,0.094,0.706,0.194,0.016,0.046,0.002,0.104,0.326,0.026,0.016,70,51.8,48.8,0,0.5,15,2,3,82.6,132.5,17,59.7,192000,N1,0.706,Pippip,5
SR2_20170517_015930_000.wav,0.012,0.056,0.01,0.002,0,0.02,0.016,0,0.058,0.002,0.002,0,0.008,0.004,0.024,0.014,0.006,0.002,0.004,0.002,0.038,0.012,0.032,0.086,0.032,0.022,0.082,0.018,0.038,0,0,0.004,0.026,0.108,0.834,0.196,0.024,0.028,0.024,0.03,0.028,0.02,0.046,52,49.5,47.2,0,1.3,17,6,14,28.3,175.9,8,17.1,192000,N1,0.834,Pippip,5
SR2_20170517_220825_000.wav,0.01,0.026,0.024,0.004,0,0.028,0.02,0,0.072,0.002,0.002,0.004,0.006,0.014,0.066,0.014,0.032,0,0.002,0.002,0.124,0.02,0.048,0.212,0.162,0.052,0.08,0.036,0.018,0.002,0,0.002,0.092,0.232,0.858,0.15,0.07,0.032,0.01,0.026,0.144,0.046,0.048,53,47.2,45.8,0,2.1,26,5,11,48.9,113.8,16,32.7,192000,N1,0.858,Pippip,5
SR2_20170526_015745_000.wav,0.018,0.024,0.032,0.002,0.002,0.022,0.008,0,0.034,0.004,0.002,0.002,0.002,0.018,0.028,0.01,0.008,0.006,0.004,0.002,0.04,0.038,0.052,0.084,0.094,0.058,0.168,0.034,0.022,0,0,0.002,0.026,0.126,0.904,0.148,0.022,0.072,0.036,0.09,0.258,0.054,0.044,69,49.5,46.9,0,1.6,21,4,8,50.6,148.1,14,24.3,192000,N1,0.904,Pippip,5
SR2_20170526_030110_000.wav,0.008,0.056,0.022,0.002,0,0.04,0.026,0,0.042,0,0.002,0.006,0.01,0.07,0.028,0.02,0.012,0.004,0.004,0.002,0.084,0.038,0.062,0.168,0.096,0.068,0.174,0.048,0.02,0.002,0,0.004,0.05,0.15,0.792,0.172,0.056,0.088,0.012,0.032,0.134,0.046,0.076,56,51.4,46.5,0,2.1,34,4,16,61.7,144.7,24,52.9,192000,N1,0.792,Pippip,5
SR2_20170526_204758_000.wav,0.012,0.07,0.01,0.002,0.002,0.02,0.032,0,0.044,0,0.002,0.008,0.014,0.048,0.022,0.012,0.006,0.002,0,0.006,0.036,0.024,0.062,0.144,0.114,0.06,0.328,0.032,0.018,0.004,0,0.006,0.038,0.08,0.786,0.3,0.052,0.078,0.012,0.056,0.178,0.03,0.052,54,51.8,51.8,0,0.8,13,3,6,26.4,197.3,10,15.7,192000,N1,0.786,Pippip,5
