Group.1,Aposyl,Barbar,bird,chirp,Chobru,Condor,Confus,criq,Eptser,Homsap,Inssp5,Inssp6,Inssp7,Lamsp.,Leppun,mamm,Metbra,Micagr,Micmin,Mussp,Myoalc,Myobec,Myobra,Myodau,Myomys,Myonat,noise,Nyclei,Nycnoc,Omovir,Pelrid,Phafal,Phogri,Pipnat,Pippip,Pippyg,Plaalb,Pleaur,Ratnor,Rhifer,Rhihip,Roeroe,Tetvir,FreqM,FreqP,FreqC,Tstart,Tend,NbCris,DurMed,Dur90,Ampm50,Ampm90,AmpSMd,DiffME,SR,Order,Ind,SpMaxF2,Version
SR2_20170820_192909_000.wav,0.04,0.122,0.026,0.004,0.006,0.034,0.05,0,0.034,0.004,0.018,0.022,0.034,0.106,0.052,0.012,0.004,0.002,0.008,0.004,0.03,0.022,0.038,0.11,0.048,0.062,0.29,0.046,0.02,0.002,0,0.018,0.056,0.13,0.334,0.688,0.066,0.044,0.028,0.046,0.102,0.054,0.062,58,58.5,57.8,0,0.5,26,2,4,63.2,95.8,25,45.1,192000,N1,0.688,Pippyg,5
SR2_20170820_195509_000.wav,0.006,0.062,0.016,0.004,0.002,0.14,0.042,0,0.06,0.002,0.01,0.012,0.008,0.046,0.156,0.022,0.036,0.002,0.002,0.002,0.052,0.15,0.098,0.266,0.15,0.694,0.164,0.074,0.02,0.004,0,0.008,0.062,0.148,0.152,0.142,0.068,0.08,0.004,0.022,0.05,0.092,0.068,51,47.2,42.8,0,2.2,32,2,12,185.5,468.6,75,166.7,192000,N1,0.694,Myonat,5
SR2_20170820_201040_000.wav,0.028,0.114,0.03,0.008,0.004,0.04,0.046,0,0.042,0.004,0.022,0.022,0.01,0.036,0.14,0.014,0.02,0.006,0.01,0.004,0.052,0.044,0.052,0.086,0.052,0.106,0.528,0.044,0.034,0.002,0,0.022,0.06,0.224,0.896,0.248,0.062,0.036,0.04,0.092,0.224,0.06,0.106,55,48.8,48,0,5,116,6,28,102.3,525.9,29,85.4,192000,N1,0.896,Pippip,5
SR2_20170820_201045_000.wav,0.032,0.04,0.032,0.01,0,0.008,0.018,0,0.03,0.002,0.002,0.004,0.006,0.006,0.02,0.034,0.004,0.004,0,0.004,0.024,0.01,0.038,0.054,0.03,0.01,0.06,0.026,0.04,0,0,0.002,0.064,0.096,0.606,0.106,0.042,0.03,0.04,0.036,0.06,0.014,0.082,47,45.8,45,0,0.3,5,5,12,30.9,49.2,10,27.1,192000,N1,0.606,Pippip,5
SR2_20170820_210531_000.wav,0.018,0.058,0.024,0.004,0,0.01,0.008,0,0.064,0.01,0.004,0.002,0.006,0.006,0.018,0.01,0.008,0.002,0.008,0.004,0.064,0.01,0.036,0.1,0.116,0.032,0.066,0.064,0.082,0.002,0,0.002,0.028,0.168,0.918,0.182,0.042,0.032,0.014,0.024,0.084,0.02,0.054,52,48.8,47.2,0,5,58,5,21,50.7,131.9,16,36,192000,N1,0.918,Pippip,5
SR2_20170820_210536_000.wav,0.004,0.012,0.032,0.014,0,0.014,0.01,0,0.004,0,0.004,0.004,0.014,0.008,0.092,0.008,0.002,0,0.004,0,0.004,0.002,0.012,0.016,0.008,0.002,0.092,0.012,0.024,0,0,0.002,0.03,0.062,0.31,0.076,0.026,0.008,0.016,0.006,0.036,0.016,0.014,48,47.2,46.5,0,0.1,1,15,15,44.2,44.2,17,39.5,192000,N1,0.31,Pippip,5
SR2_20170820_212153_000.wav,0.018,0.038,0.028,0.004,0.002,0.02,0.014,0,0.036,0.004,0.002,0.006,0.006,0.016,0.048,0.016,0.018,0.004,0.002,0.004,0.042,0.022,0.05,0.156,0.128,0.054,0.064,0.02,0.024,0.002,0,0.006,0.036,0.086,0.812,0.124,0.02,0.094,0.022,0.024,0.074,0.054,0.044,52,50.6,46.5,0,1.2,13,6,18,37,118,14,27,192000,N1,0.812,Pippip,5
SR2_20170820_214524_000.wav,0.046,0.782,0.08,0.01,0.002,0.072,0.056,0,0.204,0.01,0.004,0.006,0.01,0.026,0.22,0.06,0.024,0.01,0.004,0.006,0.038,0.044,0.038,0.268,0.074,0.084,0.142,0.208,0.08,0.002,0,0.01,0.054,0.182,0.154,0.192,0.128,0.284,0.016,0.092,0.052,0.038,0.06,38,38.2,38.2,0,4.2,90,4,18,74.4,192.8,24,48.7,192000,N1,0.782,Barbar,5
SR2_20170820_215408_000.wav,0.012,0.06,0.032,0.006,0.002,0.03,0.034,0,0.06,0.004,0.006,0.014,0.006,0.032,0.152,0.006,0.016,0.002,0.004,0.004,0.108,0.022,0.052,0.148,0.09,0.05,0.358,0.054,0.038,0.002,0,0.01,0.042,0.2,0.882,0.224,0.058,0.054,0.012,0.09,0.106,0.012,0.058,53,49.9,45.8,0,4.7,54,6,29,85.2,212.8,24,69.6,192000,N1,0.882,Pippip,5
SR2_20170820_215413_000.wav,0.028,0.042,0.034,0.006,0.002,0.028,0.02,0,0.036,0,0.002,0.004,0.014,0.012,0.034,0.014,0.008,0.002,0.006,0.002,0.026,0.004,0.02,0.038,0.038,0.012,0.124,0.014,0.016,0,0,0.008,0.022,0.182,0.856,0.076,0.092,0.016,0.014,0.042,0.082,0.026,0.052,47,45,45,0,1.3,10,6,25,42.1,89.3,12,31.7,192000,N1,0.856,Pippip,5
