filename,species,accuracy
SR2_20180407_205243_000.wav,Myodau,0.57
SR2_20180416_204635_000.wav,Myodau,0.93
SR2_20180422_201808_000.wav,Myodau,0.7
SR2_20180508_205324_000.wav,Myodau,0.91
SR2_20180509_022811_000.wav,Myodau,0.5
SR2_20180423_214913_000.wav,Myonat,0.55
SR2_20180504_204237_000.wav,Myonat,0.6
SR2_20180511_233026_000.wav,Myonat,0.96
SR2_20180512_210732_000.wav,Myonat,0.63
SR2_20180512_211658_000.wav,Myonat,0.71
SR2_20180417_200831_000.wav,Pipnat,0.85
SR2_20180419_215054_000.wav,Pipnat,0.56
SR2_20180504_234958_000.wav,Pipnat,0.7
SR2_20180407_190627_000.wav,Pippip,0.83
SR2_20180415_194255_000.wav,Pippip,0.98
SR2_20180416_194145_000.wav,Pippip,0.96
SR2_20180416_205533_000.wav,Pippip,0.92
SR2_20180416_211751_000.wav,Pippip,0.96
SR2_20180416_215028_000.wav,Pippip,0.98
SR2_20180417_192530_000.wav,Pippip,0.84
SR2_20180417_203958_000.wav,Pippip,0.99
SR2_20180417_205122_000.wav,Pippip,0.98
SR2_20180417_222911_000.wav,Pippip,0.99
SR2_20180418_032736_000.wav,Pippip,0.96
SR2_20180418_193311_000.wav,Pippip,0.9
SR2_20180418_193947_000.wav,Pippip,0.98
SR2_20180418_201137_000.wav,Pippip,0.97
SR2_20180418_203455_000.wav,Pippip,0.98
SR2_20180418_223344_000.wav,Pippip,0.97
SR2_20180419_193827_000.wav,Pippip,0.97
SR2_20180419_202723_000.wav,Pippip,0.98
SR2_20180419_225153_000.wav,Pippip,0.62
SR2_20180421_192808_000.wav,Pippip,0.97
SR2_20180421_200228_000.wav,Pippip,0.99
SR2_20180421_200231_000.wav,Pippip,0.97
SR2_20180422_031700_000.wav,Pippip,0.98
SR2_20180422_034505_000.wav,Pippip,0.86
SR2_20180422_212401_000.wav,Pippip,0.99
SR2_20180422_214821_000.wav,Pippip,0.99
SR2_20180422_231021_000.wav,Pippip,0.97
SR2_20180423_201034_000.wav,Pippip,0.98
SR2_20180425_192804_000.wav,Pippip,0.92
SR2_20180501_200613_000.wav,Pippip,0.95
SR2_20180501_201716_000.wav,Pippip,0.98
SR2_20180501_204513_000.wav,Pippip,0.98
SR2_20180501_205321_000.wav,Pippip,0.98
SR2_20180502_192853_000.wav,Pippip,0.72
SR2_20180502_202213_000.wav,Pippip,0.89
SR2_20180502_202947_000.wav,Pippip,0.61
SR2_20180503_194614_000.wav,Pippip,0.76
SR2_20180503_194617_000.wav,Pippip,0.83
SR2_20180503_211401_000.wav,Pippip,0.98
SR2_20180504_204514_000.wav,Pippip,0.97
SR2_20180504_211310_000.wav,Pippip,0.97
SR2_20180504_213556_000.wav,Pippip,0.83
SR2_20180508_201456_000.wav,Pippip,0.98
SR2_20180508_203622_000.wav,Pippip,0.99
SR2_20180508_204316_000.wav,Pippip,0.97
SR2_20180508_212812_000.wav,Pippip,0.98
SR2_20180508_213005_000.wav,Pippip,0.98
SR2_20180508_213045_000.wav,Pippip,0.98
SR2_20180508_213349_000.wav,Pippip,0.98
SR2_20180508_233826_000.wav,Pippip,0.99
SR2_20180509_001701_000.wav,Pippip,0.72
SR2_20180509_030508_000.wav,Pippip,0.98
SR2_20180509_215141_000.wav,Pippip,0.96
SR2_20180510_202759_000.wav,Pippip,0.92
SR2_20180510_213409_000.wav,Pippip,0.98
SR2_20180512_020627_000.wav,Pippip,0.97
SR2_20180512_021837_000.wav,Pippip,0.97
SR2_20180512_025215_000.wav,Pippip,0.96
SR2_20180512_025229_000.wav,Pippip,0.98
SR2_20180512_025236_000.wav,Pippip,0.97
SR2_20180512_031009_000.wav,Pippip,0.97
SR2_20180512_031158_000.wav,Pippip,0.99
SR2_20180512_031212_000.wav,Pippip,0.98
SR2_20180512_031216_000.wav,Pippip,0.97
SR2_20180512_031222_000.wav,Pippip,0.96
SR2_20180512_031234_000.wav,Pippip,0.97
SR2_20180512_031244_000.wav,Pippip,0.96
SR2_20180512_031308_000.wav,Pippip,0.98
SR2_20180512_031319_000.wav,Pippip,0.97
SR2_20180512_031519_000.wav,Pippip,0.96
SR2_20180512_031524_000.wav,Pippip,0.95
SR2_20180512_031544_000.wav,Pippip,0.98
SR2_20180512_031550_000.wav,Pippip,0.97
SR2_20180512_031610_000.wav,Pippip,0.95
SR2_20180512_031622_000.wav,Pippip,0.98
SR2_20180512_031629_000.wav,Pippip,0.98
SR2_20180512_031645_000.wav,Pippip,0.96
SR2_20180512_031654_000.wav,Pippip,0.97
SR2_20180512_031659_000.wav,Pippip,0.98
SR2_20180512_031707_000.wav,Pippip,0.98
SR2_20180512_031732_000.wav,Pippip,0.98
SR2_20180512_031805_000.wav,Pippip,0.97
SR2_20180512_031812_000.wav,Pippip,0.97
SR2_20180512_031824_000.wav,Pippip,0.97
SR2_20180512_031850_000.wav,Pippip,0.97
SR2_20180512_031901_000.wav,Pippip,0.98
SR2_20180512_031920_000.wav,Pippip,0.97
SR2_20180512_205546_000.wav,Pippip,0.97
SR2_20180512_205756_000.wav,Pippip,0.99
SR2_20180512_223714_000.wav,Pippip,0.97
SR2_20180512_234027_000.wav,Pippip,0.98
SR2_20180513_004816_000.wav,Pippip,0.99
SR2_20180513_012629_000.wav,Pippip,0.91
SR2_20180513_015717_000.wav,Pippip,0.98
SR2_20180513_021237_000.wav,Pippip,0.93
SR2_20180513_024603_000.wav,Pippip,0.94
SR2_20180513_205013_000.wav,Pippip,0.88
SR2_20180513_213612_000.wav,Pippip,0.96
SR2_20180513_220417_000.wav,Pippip,0.99
SR2_20180513_232321_000.wav,Pippip,0.98
SR2_20180513_234559_000.wav,Pippip,0.98
SR2_20180514_025428_000.wav,Pippip,0.96
SR2_20180514_032215_000.wav,Pippip,0.96
SR2_20180514_202124_000.wav,Pippip,0.99
SR2_20180514_203856_000.wav,Pippip,0.98
SR2_20180514_204726_000.wav,Pippip,0.99
SR2_20180514_205216_000.wav,Pippip,0.99
SR2_20180514_212631_000.wav,Pippip,0.98
SR2_20180514_224109_000.wav,Pippip,0.96
SR2_20180515_002128_000.wav,Pippip,0.98
SR2_20180515_203451_000.wav,Pippip,0.96
SR2_20180515_204058_000.wav,Pippip,0.99
SR2_20180515_221358_000.wav,Pippip,0.88
SR2_20180515_222730_000.wav,Pippip,0.97
SR2_20180517_011126_000.wav,Pippip,0.99
SR2_20180517_204212_000.wav,Pippip,0.99
SR2_20180517_211040_000.wav,Pippip,0.97
SR2_20180517_232354_000.wav,Pippip,0.99
SR2_20180518_203229_000.wav,Pippip,0.96
SR2_20180518_204922_000.wav,Pippip,0.98
SR2_20180521_232258_000.wav,Pippip,0.98
SR2_20180522_000737_000.wav,Pippip,0.78
SR2_20180522_204209_000.wav,Pippip,0.97
