Group.1,Aposyl,Barbar,bird,chirp,Chobru,Condor,Confus,criq,Eptser,Homsap,Inssp5,Inssp6,Inssp7,Lamsp.,Leppun,mamm,Metbra,Micagr,Micmin,Mussp,Myoalc,Myobec,Myobra,Myodau,Myomys,Myonat,noise,Nyclei,Nycnoc,Omovir,Pelrid,Phafal,Phogri,Pipnat,Pippip,Pippyg,Plaalb,Pleaur,Ratnor,Rhifer,Rhihip,Roeroe,Tetvir,FreqM,FreqP,FreqC,Tstart,Tend,NbCris,DurMed,Dur90,Ampm50,Ampm90,AmpSMd,DiffME,SR,Order,Ind,SpMaxF2,Version
SR2_20180704_211108_000.wav,0.02,0.06,0.022,0.002,0.002,0.026,0.024,0,0.048,0.004,0.004,0.002,0.008,0.044,0.054,0.016,0.024,0.006,0.004,0.002,0.076,0.072,0.072,0.104,0.138,0.144,0.362,0.038,0.032,0,0,0.004,0.07,0.08,0.4,0.636,0.096,0.064,0.008,0.044,0.074,0.026,0.046,64,59.2,55.5,0,1.2,19,2,16,44.5,156.1,19,37.6,192000,N1,0.636,Pippyg,5
SR2_20180704_211116_000.wav,0.022,0.056,0.046,0.002,0,0.016,0.028,0,0.032,0,0.004,0.004,0.01,0.018,0.068,0.018,0.012,0.004,0,0.002,0.122,0.076,0.072,0.102,0.096,0.094,0.214,0.036,0.018,0,0,0.004,0.064,0.116,0.59,0.574,0.042,0.058,0.006,0.084,0.144,0.034,0.032,63,55.5,53.2,0,1.3,16,2,18,58.1,157.7,16,46.1,192000,N1,0.59,Pippip,5
SR2_20180704_211130_000.wav,0.004,0.034,0.014,0.004,0,0.014,0.014,0,0.052,0,0,0.002,0.002,0.008,0.042,0.008,0.01,0,0,0,0.076,0.012,0.052,0.07,0.058,0.034,0.158,0.018,0.034,0,0,0,0.028,0.052,0.27,0.852,0.034,0.06,0.006,0.058,0.07,0.022,0.042,66,59.2,58.1,0,1.8,25,2,15,65.4,94.3,20,55.8,192000,N1,0.852,Pippyg,5
SR2_20180704_211136_000.wav,0.036,0.034,0.03,0.004,0.004,0.022,0.018,0,0.06,0.002,0.006,0.008,0.006,0.02,0.034,0.026,0.016,0.002,0.002,0.004,0.046,0.03,0.038,0.076,0.11,0.03,0.228,0.028,0.034,0.002,0,0.004,0.038,0.07,0.218,0.836,0.054,0.126,0.008,0.094,0.086,0.028,0.064,64,59.2,58.1,0,1.8,22,2,8,55.9,120.5,17,48.6,192000,N1,0.836,Pippyg,5
SR2_20180704_211154_000.wav,0.01,0.024,0.014,0,0.002,0.026,0.016,0,0.032,0,0.002,0.002,0.004,0.014,0.028,0.01,0.008,0.002,0.002,0.002,0.058,0.018,0.048,0.056,0.068,0.024,0.156,0.02,0.036,0,0,0.002,0.036,0.074,0.214,0.764,0.05,0.044,0.004,0.046,0.056,0.058,0.058,66,59.6,58.5,0,1.4,20,3,8,62.5,102.5,18,41.5,192000,N1,0.764,Pippyg,5
SR2_20180704_211411_000.wav,0.014,0.03,0.02,0.002,0.004,0.014,0.026,0,0.04,0.002,0.002,0.002,0.014,0.008,0.048,0.018,0.008,0.002,0.002,0.004,0.044,0.018,0.034,0.07,0.05,0.018,0.174,0.018,0.036,0,0,0.006,0.054,0.048,0.21,0.814,0.098,0.062,0.01,0.07,0.094,0.026,0.03,64,58.9,57.8,0,2.2,27,3,12,62.1,98,17,51.7,192000,N1,0.814,Pippyg,5
SR2_20180704_211442_000.wav,0.028,0.134,0.064,0.008,0.004,0.042,0.034,0,0.104,0.006,0.004,0.012,0.012,0.038,0.078,0.038,0.018,0.004,0.002,0.004,0.11,0.062,0.092,0.144,0.098,0.112,0.276,0.046,0.074,0.004,0,0.014,0.098,0.124,0.73,0.676,0.092,0.172,0.012,0.116,0.168,0.076,0.1,62,58.5,52.5,0,1.5,49,3,26,50,208.5,16,39,192000,N1,0.73,Pippip,5
SR2_20180704_211604_000.wav,0.01,0.102,0.014,0.006,0,0.036,0.022,0,0.05,0.002,0.002,0.002,0.002,0.038,0.046,0.008,0.012,0.002,0.004,0.004,0.084,0.048,0.1,0.104,0.104,0.07,0.376,0.046,0.036,0,0,0.006,0.048,0.084,0.782,0.762,0.024,0.074,0.01,0.114,0.12,0.028,0.034,63,52.5,50.2,0,1.5,35,3,20,78.2,227,34,71,192000,N1,0.782,Pippip,5
SR2_20180704_211646_000.wav,0.01,0.028,0.022,0.006,0,0.012,0.014,0,0.018,0.002,0.002,0.006,0.004,0.018,0.118,0.012,0.002,0.002,0.006,0.002,0.008,0.004,0.026,0.028,0.012,0.008,0.124,0.016,0.026,0,0,0,0.06,0.038,0.172,0.786,0.034,0.006,0.006,0.046,0.068,0.012,0.024,61,57.8,57,0,0.4,5,2,14,25.4,77.1,9,10.1,192000,N1,0.786,Pippyg,5
SR2_20180704_211907_000.wav,0.05,0.054,0.022,0,0.004,0.026,0.028,0,0.046,0,0.014,0.008,0.02,0.042,0.348,0.026,0.006,0.002,0.004,0.008,0.042,0.074,0.068,0.1,0.072,0.126,0.194,0.03,0.028,0.002,0,0.01,0.074,0.122,0.228,0.892,0.1,0.07,0.012,0.068,0.084,0.02,0.094,63,59.2,58.5,0,2.2,29,2,11,55.4,97.7,17,46.3,192000,N1,0.892,Pippyg,5
SR2_20180704_212130_000.wav,0.03,0.014,0.018,0.002,0,0.008,0.016,0,0.028,0,0.002,0.002,0.004,0.014,0.014,0.01,0.004,0.004,0.002,0.002,0.01,0.002,0.036,0.036,0.028,0.014,0.058,0.018,0.022,0,0,0.008,0.014,0.08,0.906,0.176,0.012,0.018,0.044,0.05,0.058,0.006,0.014,52,48,47.2,0,1.4,13,13,27,50.8,96.5,15,40.5,192000,N1,0.906,Pippip,5
SR2_20180704_212258_000.wav,0.014,0.054,0.05,0.008,0.002,0.044,0.024,0,0.056,0.006,0.012,0.016,0.008,0.022,0.118,0.026,0.02,0.002,0.004,0.012,0.044,0.036,0.05,0.196,0.118,0.1,0.25,0.068,0.07,0.002,0,0.008,0.086,0.244,0.914,0.196,0.044,0.102,0.01,0.05,0.084,0.036,0.08,57,48.8,48.8,0,4.5,58,6,29,77.8,231,21,65.9,192000,N1,0.914,Pippip,5
SR2_20180704_212338_000.wav,0.008,0.026,0.022,0.004,0.002,0.012,0.016,0,0.03,0,0.002,0.004,0.01,0.014,0.026,0.018,0.002,0.002,0.002,0.002,0.046,0.008,0.026,0.054,0.044,0.016,0.096,0.018,0.016,0,0,0.006,0.03,0.072,0.928,0.104,0.034,0.016,0.008,0.022,0.13,0.046,0.032,58,48.4,48,0,1.6,19,15,23,69,105.3,28,62.5,192000,N1,0.928,Pippip,5
SR2_20180704_212350_000.wav,0.016,0.07,0.018,0.002,0,0.03,0.02,0,0.038,0.002,0.002,0.006,0.012,0.026,0.05,0.02,0.012,0.002,0.004,0.006,0.058,0.04,0.04,0.086,0.1,0.088,0.192,0.024,0.026,0.002,0,0.012,0.038,0.266,0.898,0.222,0.058,0.044,0.014,0.042,0.13,0.03,0.062,60,49.5,48,0,3.4,46,14,34,96.8,259.6,33,83.4,192000,N1,0.898,Pippip,5
