INDIR,FOLDER,IN FILE,DURATION,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,LATITUDE,LONGITUDE,MODEL,SERIAL NO,FIRMWARE,PREFIX,NOTES,AUTO ID,PULSES,MATCHING,MATCH RATIO,MARGIN,FILES,MANUAL ID,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5
E:\Eccles Bats\Downloaded\2018-08-18 ECC-B\Data,,ECC_20180803_211404.wac,1798.001333,2018-08-03,21:14:04,21,2018-08-03,09:14:04,9,,,,,,,,,,,,,1,,,,,,oC6y0l4ljf8BPebLlKBX2g==
E:\Eccles Bats\Downloaded\2018-08-18 ECC-B\Data,,ECC_20180803_201404.wac,1798.001333,2018-08-03,20:14:04,20,2018-08-03,08:14:04,8,,,,,,,,,,,,,1,,,,,,x98SdY2Y/2oi49Gnq5bELQ==
E:\Eccles Bats\Downloaded\2018-08-18 ECC-B\Data,,ECC_20180803_194402.wac,1800.001333,2018-08-03,19:44:02,19,2018-08-03,07:44:02,7,,,,,,,,,,,,,1,,,,,,9jOku4tQlX1egDDQTKy6Hg==
E:\Eccles Bats\Downloaded\2018-08-18 ECC-B\Data,,ECC_20180803_204404.wac,1798.001333,2018-08-03,20:44:04,20,2018-08-03,08:44:04,8,,,,,,,,,,,,,1,,,,,,HcNDO2n4IXmd/nVf7oBvTg==
E:\Eccles Bats\Downloaded\2018-08-18 ECC-B\Data,,ECC_20180803_191400.wac,1800.001333,2018-08-03,19:14:00,19,2018-08-03,07:14:00,7,,,,,,,,,,,,,1,,,,,,gj9DAk3cRgCbSRnZR6wkhw==
E:\Eccles Bats\Downloaded\2018-08-18 ECC-B\Data,,ECC_20180803_214404.wac,1798.001333,2018-08-03,21:44:04,21,2018-08-03,09:44:04,9,,,,,,,,,,,,,1,,,,,,Rvv69chvp9suVkSquybDTw==
E:\Eccles Bats\Downloaded\2018-08-18 ECC-B\Data,,ECC_20180803_224404.wac,1798.001333,2018-08-03,22:44:04,22,2018-08-03,10:44:04,10,,,,,,,,,,,,,1,,,,,,dWY+fyylp2YroDgk+aDCYQ==
E:\Eccles Bats\Downloaded\2018-08-18 ECC-B\Data,,ECC_20180803_221404.wac,1798.001333,2018-08-03,22:14:04,22,2018-08-03,10:14:04,10,,,,,,,,,,,,,1,,,,,,U5JArvtyyWCpfjEMBaT95Q==
E:\Eccles Bats\Downloaded\2018-08-18 ECC-B\Data,,ECC_20180803_231404.wac,1798.001333,2018-08-03,23:14:04,23,2018-08-03,11:14:04,11,,,,,,,,,,,,,1,,,,,,hvh8s6fbaP04wJRhYFHOiA==
E:\Eccles Bats\Downloaded\2018-08-18 ECC-B\Data,,ECC_20180803_234404.wac,1798.001333,2018-08-03,23:44:04,23,2018-08-03,11:44:04,11,,,,,,,,,,,,,1,,,,,,kw7orEmlaip3GZ1j22AEWQ==
E:\Eccles Bats\Downloaded\2018-08-18 ECC-B\Data,,ECC_20180804_001404.wac,1798.001333,2018-08-04,00:14:04,0,2018-08-03,12:14:04,12,,,,,,,,,,,,,1,,,,,,dg9EEEiNbTNaEKp7EUZVVw==
E:\Eccles Bats\Downloaded\2018-08-18 ECC-B\Data,,ECC_20180804_004404.wac,1798.001333,2018-08-04,00:44:04,0,2018-08-03,12:44:04,12,,,,,,,,,,,,,1,,,,,,JW47tmxBM+3s4EcHz8q0lw==
E:\Eccles Bats\Downloaded\2018-08-18 ECC-B\Data,,ECC_20180804_011404.wac,1798.001333,2018-08-04,01:14:04,1,2018-08-03,13:14:04,13,,,,,,,,,,,,,1,,,,,,iYG51qvfKL1EbVRFNg2APA==
E:\Eccles Bats\Downloaded\2018-08-18 ECC-B\Data,,ECC_20180804_014404.wac,1798.001333,2018-08-04,01:44:04,1,2018-08-03,13:44:04,13,,,,,,,,,,,,,1,,,,,,azA6ABcQfWQZwVFwLzBkdQ==
E:\Eccles Bats\Downloaded\2018-08-18 ECC-B\Data,,ECC_20180804_021404.wac,1798.001333,2018-08-04,02:14:04,2,2018-08-03,14:14:04,14,,,,,,,,,,,,,1,,,,,,bU8KSDWf0WHbmhCgLR4w2g==
E:\Eccles Bats\Downloaded\2018-08-18 ECC-B\Data,,ECC_20180804_024404.wac,1798.001333,2018-08-04,02:44:04,2,2018-08-03,14:44:04,14,,,,,,,,,,,,,1,,,,,,upiK1tsK/iaR0wvxP7nUXw==
E:\Eccles Bats\Downloaded\2018-08-18 ECC-B\Data,,ECC_20180804_031404.wac,1798.001333,2018-08-04,03:14:04,3,2018-08-03,15:14:04,15,,,,,,,,,,,,,1,,,,,,9Tg49EOjRy9BpjuqN2K1ig==
E:\Eccles Bats\Downloaded\2018-08-18 ECC-B\Data,,ECC_20180804_034404.wac,1798.001333,2018-08-04,03:44:04,3,2018-08-03,15:44:04,15,,,,,,,,,,,,,1,,,,,,yfq36drKQ/JINnAJpC2deg==
E:\Eccles Bats\Downloaded\2018-08-18 ECC-B\Data,,ECC_20180804_041404.wac,1798.001333,2018-08-04,04:14:04,4,2018-08-03,16:14:04,16,,,,,,,,,,,,,1,,,,,,N686U4dU7mGn7Zti2nGw6Q==
