"Nights","SunSets","SunRises","NightLength"
2016-01-01,2016-01-01 16:00:08,2016-01-02 07:58:52,15:59:00
2016-01-02,2016-01-02 16:01:10,2016-01-03 07:58:44,15:58:00
2016-01-03,2016-01-03 16:02:15,2016-01-04 07:58:33,15:56:00
2016-01-04,2016-01-04 16:03:22,2016-01-05 07:58:18,15:55:00
2016-01-05,2016-01-05 16:04:32,2016-01-06 07:58:01,15:53:00
2016-01-06,2016-01-06 16:05:44,2016-01-07 07:57:40,15:52:00
2016-01-07,2016-01-07 16:06:58,2016-01-08 07:57:15,15:50:00
2016-01-08,2016-01-08 16:08:15,2016-01-09 07:56:48,15:49:00
2016-01-09,2016-01-09 16:09:34,2016-01-10 07:56:18,15:47:00
2016-01-10,2016-01-10 16:10:54,2016-01-11 07:55:44,15:45:00
2016-01-11,2016-01-11 16:12:17,2016-01-12 07:55:08,15:43:00
2016-01-12,2016-01-12 16:13:42,2016-01-13 07:54:28,15:41:00
2016-01-13,2016-01-13 16:15:09,2016-01-14 07:53:46,15:39:00
2016-01-14,2016-01-14 16:16:37,2016-01-15 07:53:00,15:36:00
2016-01-15,2016-01-15 16:18:07,2016-01-16 07:52:12,15:34:00
2016-01-16,2016-01-16 16:19:38,2016-01-17 07:51:21,15:32:00
2016-01-17,2016-01-17 16:21:11,2016-01-18 07:50:27,15:29:00
2016-01-18,2016-01-18 16:22:45,2016-01-19 07:49:30,15:27:00
2016-01-19,2016-01-19 16:24:21,2016-01-20 07:48:31,15:24:00
2016-01-20,2016-01-20 16:25:58,2016-01-21 07:47:29,15:22:00
2016-01-21,2016-01-21 16:27:36,2016-01-22 07:46:24,15:19:00
2016-01-22,2016-01-22 16:29:15,2016-01-23 07:45:17,15:16:00
2016-01-23,2016-01-23 16:30:55,2016-01-24 07:44:07,15:13:00
2016-01-24,2016-01-24 16:32:36,2016-01-25 07:42:55,15:10:00
2016-01-25,2016-01-25 16:34:17,2016-01-26 07:41:41,15:07:00
2016-01-26,2016-01-26 16:36:00,2016-01-27 07:40:24,15:04:00
2016-01-27,2016-01-27 16:37:43,2016-01-28 07:39:05,15:01:00
2016-01-28,2016-01-28 16:39:27,2016-01-29 07:37:44,14:58:00
2016-01-29,2016-01-29 16:41:12,2016-01-30 07:36:20,14:55:00
2016-01-30,2016-01-30 16:42:57,2016-01-31 07:34:55,14:52:00
2016-01-31,2016-01-31 16:44:43,2016-02-01 07:33:27,14:49:00
2016-02-01,2016-02-01 16:46:28,2016-02-02 07:31:57,14:45:00
2016-02-02,2016-02-02 16:48:15,2016-02-03 07:30:26,14:42:00
2016-02-03,2016-02-03 16:50:01,2016-02-04 07:28:52,14:39:00
2016-02-04,2016-02-04 16:51:48,2016-02-05 07:27:17,14:35:00
2016-02-05,2016-02-05 16:53:35,2016-02-06 07:25:40,14:32:00
2016-02-06,2016-02-06 16:55:23,2016-02-07 07:24:01,14:29:00
2016-02-07,2016-02-07 16:57:10,2016-02-08 07:22:20,14:25:00
2016-02-08,2016-02-08 16:58:57,2016-02-09 07:20:38,14:22:00
