"Nights","SunSets","SunRises","NightLength"
2013-01-01,2013-01-01 15:52:08,2013-01-02 08:07:42,16:16:00
2013-01-02,2013-01-02 15:53:15,2013-01-03 08:07:28,16:14:00
2013-01-03,2013-01-03 15:54:25,2013-01-04 08:07:11,16:13:00
2013-01-04,2013-01-04 15:55:38,2013-01-05 08:06:50,16:11:00
2013-01-05,2013-01-05 15:56:53,2013-01-06 08:06:26,16:10:00
2013-01-06,2013-01-06 15:58:11,2013-01-07 08:05:58,16:08:00
2013-01-07,2013-01-07 15:59:32,2013-01-08 08:05:27,16:06:00
2013-01-08,2013-01-08 16:00:55,2013-01-09 08:04:52,16:04:00
2013-01-09,2013-01-09 16:02:20,2013-01-10 08:04:15,16:02:00
2013-01-10,2013-01-10 16:03:47,2013-01-11 08:03:34,16:00:00
2013-01-11,2013-01-11 16:05:17,2013-01-12 08:02:50,15:58:00
2013-01-12,2013-01-12 16:06:48,2013-01-13 08:02:02,15:55:00
2013-01-13,2013-01-13 16:08:22,2013-01-14 08:01:12,15:53:00
2013-01-14,2013-01-14 16:09:57,2013-01-15 08:00:18,15:50:00
2013-01-15,2013-01-15 16:11:34,2013-01-16 07:59:22,15:48:00
2013-01-16,2013-01-16 16:13:13,2013-01-17 07:58:23,15:45:00
2013-01-17,2013-01-17 16:14:53,2013-01-18 07:57:20,15:42:00
2013-01-18,2013-01-18 16:16:34,2013-01-19 07:56:15,15:40:00
2013-01-19,2013-01-19 16:18:17,2013-01-20 07:55:07,15:37:00
2013-01-20,2013-01-20 16:20:02,2013-01-21 07:53:57,15:34:00
2013-01-21,2013-01-21 16:21:47,2013-01-22 07:52:44,15:31:00
2013-01-22,2013-01-22 16:23:34,2013-01-23 07:51:28,15:28:00
2013-01-23,2013-01-23 16:25:21,2013-01-24 07:50:09,15:25:00
2013-01-24,2013-01-24 16:27:10,2013-01-25 07:48:49,15:22:00
2013-01-25,2013-01-25 16:28:59,2013-01-26 07:47:25,15:18:00
2013-01-26,2013-01-26 16:30:50,2013-01-27 07:46:00,15:15:00
2013-01-27,2013-01-27 16:32:41,2013-01-28 07:44:32,15:12:00
2013-01-28,2013-01-28 16:34:32,2013-01-29 07:43:01,15:08:00
2013-01-29,2013-01-29 16:36:25,2013-01-30 07:41:29,15:05:00
2013-01-30,2013-01-30 16:38:18,2013-01-31 07:39:55,15:02:00
2013-01-31,2013-01-31 16:40:11,2013-02-01 07:38:18,14:58:00
2013-02-01,2013-02-01 16:42:05,2013-02-02 07:36:39,14:55:00
2013-02-02,2013-02-02 16:43:59,2013-02-03 07:34:59,14:51:00
2013-02-03,2013-02-03 16:45:53,2013-02-04 07:33:16,14:47:00
2013-02-04,2013-02-04 16:47:48,2013-02-05 07:31:32,14:44:00
2013-02-05,2013-02-05 16:49:43,2013-02-06 07:29:46,14:40:00
2013-02-06,2013-02-06 16:51:37,2013-02-07 07:27:58,14:36:00
2013-02-07,2013-02-07 16:53:33,2013-02-08 07:26:09,14:33:00
2013-02-08,2013-02-08 16:55:28,2013-02-09 07:24:17,14:29:00
2013-02-09,2013-02-09 16:57:23,2013-02-10 07:22:25,14:25:00
2013-02-10,2013-02-10 16:59:18,2013-02-11 07:20:30,14:21:00
2013-02-11,2013-02-11 17:01:13,2013-02-12 07:18:35,14:17:00
2013-02-12,2013-02-12 17:03:08,2013-02-13 07:16:37,14:13:00
2013-02-13,2013-02-13 17:05:03,2013-02-14 07:14:39,14:10:00
2013-02-14,2013-02-14 17:06:58,2013-02-15 07:12:39,14:06:00
2013-02-15,2013-02-15 17:08:53,2013-02-16 07:10:38,14:02:00
2013-02-16,2013-02-16 17:10:48,2013-02-17 07:08:35,13:58:00
2013-02-17,2013-02-17 17:12:42,2013-02-18 07:06:31,13:54:00
2013-02-18,2013-02-18 17:14:36,2013-02-19 07:04:27,13:50:00
2013-02-19,2013-02-19 17:16:30,2013-02-20 07:02:21,13:46:00
2013-02-20,2013-02-20 17:18:24,2013-02-21 07:00:14,13:42:00
2013-02-21,2013-02-21 17:20:17,2013-02-22 06:58:05,13:38:00
2013-02-22,2013-02-22 17:22:11,2013-02-23 06:55:56,13:34:00
2013-02-23,2013-02-23 17:24:04,2013-02-24 06:53:46,13:30:00
2013-02-24,2013-02-24 17:25:56,2013-02-25 06:51:35,13:26:00
2013-02-25,2013-02-25 17:27:49,2013-02-26 06:49:24,13:22:00
2013-02-26,2013-02-26 17:29:41,2013-02-27 06:47:11,13:18:00
2013-02-27,2013-02-27 17:31:33,2013-02-28 06:44:58,13:13:00
2013-02-28,2013-02-28 17:33:24,2013-03-01 06:42:44,13:09:00
2013-03-01,2013-03-01 17:35:15,2013-03-02 06:40:29,13:05:00
2013-03-02,2013-03-02 17:37:06,2013-03-03 06:38:13,13:01:00
2013-03-03,2013-03-03 17:38:57,2013-03-04 06:35:57,12:57:00
2013-03-04,2013-03-04 17:40:47,2013-03-05 06:33:40,12:53:00
2013-03-05,2013-03-05 17:42:37,2013-03-06 06:31:23,12:49:00
2013-03-06,2013-03-06 17:44:27,2013-03-07 06:29:05,12:45:00
2013-03-07,2013-03-07 17:46:17,2013-03-08 06:26:47,12:40:00
2013-03-08,2013-03-08 17:48:06,2013-03-09 06:24:28,12:36:00
2013-03-09,2013-03-09 17:49:55,2013-03-10 06:22:08,12:32:00
2013-03-10,2013-03-10 17:51:44,2013-03-11 06:19:49,12:28:00
2013-03-11,2013-03-11 17:53:32,2013-03-12 06:17:29,12:24:00
2013-03-12,2013-03-12 17:55:21,2013-03-13 06:15:08,12:20:00
2013-03-13,2013-03-13 17:57:09,2013-03-14 06:12:47,12:16:00
2013-03-14,2013-03-14 17:58:57,2013-03-15 06:10:26,12:11:00
2013-03-15,2013-03-15 18:00:44,2013-03-16 06:08:05,12:07:00
2013-03-16,2013-03-16 18:02:32,2013-03-17 06:05:44,12:03:00
2013-03-17,2013-03-17 18:04:19,2013-03-18 06:03:22,11:59:00
2013-03-18,2013-03-18 18:06:06,2013-03-19 06:01:00,11:55:00
2013-03-19,2013-03-19 18:07:53,2013-03-20 05:58:38,11:51:00
2013-03-20,2013-03-20 18:09:40,2013-03-21 05:56:16,11:47:00
2013-03-21,2013-03-21 18:11:27,2013-03-22 05:53:54,11:42:00
2013-03-22,2013-03-22 18:13:13,2013-03-23 05:51:32,11:38:00
2013-03-23,2013-03-23 18:15:00,2013-03-24 05:49:10,11:34:00
2013-03-24,2013-03-24 18:16:46,2013-03-25 05:46:48,11:30:00
2013-03-25,2013-03-25 18:18:32,2013-03-26 05:44:26,11:26:00
2013-03-26,2013-03-26 18:20:18,2013-03-27 05:42:04,11:22:00
2013-03-27,2013-03-27 18:22:04,2013-03-28 05:39:42,11:18:00
2013-03-28,2013-03-28 18:23:50,2013-03-29 05:37:20,11:13:00
2013-03-29,2013-03-29 18:25:36,2013-03-30 05:34:58,11:09:00
2013-03-30,2013-03-30 18:27:22,2013-03-31 05:32:37,11:05:00
2013-03-31,2013-03-31 18:29:08,2013-04-01 05:30:16,11:01:00
2013-04-01,2013-04-01 18:30:54,2013-04-02 05:27:55,10:57:00
2013-04-02,2013-04-02 18:32:40,2013-04-03 05:25:35,10:53:00
2013-04-03,2013-04-03 18:34:25,2013-04-04 05:23:14,10:49:00
2013-04-04,2013-04-04 18:36:11,2013-04-05 05:20:54,10:45:00
2013-04-05,2013-04-05 18:37:57,2013-04-06 05:18:35,10:41:00
2013-04-06,2013-04-06 18:39:42,2013-04-07 05:16:16,10:37:00
2013-04-07,2013-04-07 18:41:28,2013-04-08 05:13:57,10:32:00
2013-04-08,2013-04-08 18:43:14,2013-04-09 05:11:39,10:28:00
2013-04-09,2013-04-09 18:44:59,2013-04-10 05:09:21,10:24:00
2013-04-10,2013-04-10 18:46:45,2013-04-11 05:07:04,10:20:00
2013-04-11,2013-04-11 18:48:31,2013-04-12 05:04:48,10:16:00
2013-04-12,2013-04-12 18:50:17,2013-04-13 05:02:32,10:12:00
2013-04-13,2013-04-13 18:52:02,2013-04-14 05:00:17,10:08:00
2013-04-14,2013-04-14 18:53:48,2013-04-15 04:58:02,10:04:00
2013-04-15,2013-04-15 18:55:34,2013-04-16 04:55:48,10:00:00
2013-04-16,2013-04-16 18:57:19,2013-04-17 04:53:35,09:56:00
2013-04-17,2013-04-17 18:59:05,2013-04-18 04:51:23,09:52:00
