"Year","Month","species","Count"
"2017","09","Barbar",1
"2017","09","Eptser",22
"2017","09","Myodau",1
"2017","09","Nycnoc",1153
"2017","09","Pipnat",15
"2017","09","Pippip",686
"2017","09","Pippyg",85
"2017","10","Barbar",2
"2017","10","Eptser",12
"2017","10","Myodau",1
"2017","10","Myonat",1
"2017","10","Nycnoc",1196
"2017","10","Pipnat",146
"2017","10","Pippip",3718
"2017","10","Pippyg",975
"2017","11","Barbar",6
"2017","11","Myonat",1
"2017","11","Nycnoc",13
"2017","11","Pipnat",5
"2017","11","Pippip",171
"2017","11","Pippyg",58
"2017","12","Pippip",10
"2017","12","Pippyg",2
"2018","04","Barbar",1
"2018","04","Eptser",5
"2018","04","Myodau",1
"2018","04","Nycnoc",20
"2018","04","Pipnat",45
"2018","04","Pippip",86
"2018","04","Pippyg",12
"2018","05","Myonat",2
"2018","05","Nycnoc",13
"2018","05","Pipnat",30
"2018","05","Pippip",55
"2018","05","Pippyg",21
"2018","06","Barbar",2
"2018","06","Eptser",3
"2018","06","Nycnoc",35
"2018","06","Pipnat",631
"2018","06","Pippip",882
"2018","06","Pippyg",157
"2018","07","Barbar",4
"2018","07","Eptser",181
"2018","07","Myonat",1
"2018","07","Nycnoc",882
"2018","07","Pipnat",1813
"2018","07","Pippip",12165
"2018","07","Pippyg",796
"2018","08","Barbar",4
"2018","08","Eptser",144
"2018","08","Myodau",1
"2018","08","Nycnoc",932
"2018","08","Pipnat",4
"2018","08","Pippip",11152
"2018","08","Pippyg",431
"2018","10","Nycnoc",2
"2018","10","Pippip",557
"2018","10","Pippyg",16
