"Nights","SunSets","SunRises","NightLength"
2013-01-01,2013-01-01 15:49:06,2013-01-02 08:05:51,16:17:00
2013-01-02,2013-01-02 15:50:13,2013-01-03 08:05:37,16:15:00
2013-01-03,2013-01-03 15:51:24,2013-01-04 08:05:20,16:14:00
2013-01-04,2013-01-04 15:52:37,2013-01-05 08:04:58,16:12:00
2013-01-05,2013-01-05 15:53:52,2013-01-06 08:04:34,16:11:00
2013-01-06,2013-01-06 15:55:11,2013-01-07 08:04:06,16:09:00
2013-01-07,2013-01-07 15:56:32,2013-01-08 08:03:34,16:07:00
2013-01-08,2013-01-08 15:57:55,2013-01-09 08:03:00,16:05:00
2013-01-09,2013-01-09 15:59:20,2013-01-10 08:02:22,16:03:00
2013-01-10,2013-01-10 16:00:48,2013-01-11 08:01:40,16:01:00
2013-01-11,2013-01-11 16:02:18,2013-01-12 08:00:56,15:59:00
2013-01-12,2013-01-12 16:03:50,2013-01-13 08:00:08,15:56:00
2013-01-13,2013-01-13 16:05:23,2013-01-14 07:59:17,15:54:00
2013-01-14,2013-01-14 16:06:59,2013-01-15 07:58:24,15:51:00
2013-01-15,2013-01-15 16:08:36,2013-01-16 07:57:27,15:49:00
2013-01-16,2013-01-16 16:10:15,2013-01-17 07:56:27,15:46:00
2013-01-17,2013-01-17 16:11:56,2013-01-18 07:55:24,15:43:00
2013-01-18,2013-01-18 16:13:38,2013-01-19 07:54:19,15:41:00
2013-01-19,2013-01-19 16:15:21,2013-01-20 07:53:10,15:38:00
2013-01-20,2013-01-20 16:17:06,2013-01-21 07:51:59,15:35:00
2013-01-21,2013-01-21 16:18:52,2013-01-22 07:50:46,15:32:00
2013-01-22,2013-01-22 16:20:39,2013-01-23 07:49:29,15:29:00
2013-01-23,2013-01-23 16:22:27,2013-01-24 07:48:11,15:26:00
2013-01-24,2013-01-24 16:24:16,2013-01-25 07:46:49,15:23:00
2013-01-25,2013-01-25 16:26:06,2013-01-26 07:45:26,15:19:00
2013-01-26,2013-01-26 16:27:57,2013-01-27 07:43:59,15:16:00
2013-01-27,2013-01-27 16:29:49,2013-01-28 07:42:31,15:13:00
2013-01-28,2013-01-28 16:31:41,2013-01-29 07:41:00,15:09:00
2013-01-29,2013-01-29 16:33:34,2013-01-30 07:39:27,15:06:00
2013-01-30,2013-01-30 16:35:27,2013-01-31 07:37:52,15:02:00
2013-01-31,2013-01-31 16:37:21,2013-02-01 07:36:15,14:59:00
2013-02-01,2013-02-01 16:39:15,2013-02-02 07:34:36,14:55:00
2013-02-02,2013-02-02 16:41:10,2013-02-03 07:32:55,14:52:00
2013-02-03,2013-02-03 16:43:04,2013-02-04 07:31:12,14:48:00
2013-02-04,2013-02-04 16:45:00,2013-02-05 07:29:27,14:44:00
2013-02-05,2013-02-05 16:46:55,2013-02-06 07:27:41,14:41:00
2013-02-06,2013-02-06 16:48:50,2013-02-07 07:25:52,14:37:00
2013-02-07,2013-02-07 16:50:46,2013-02-08 07:24:02,14:33:00
2013-02-08,2013-02-08 16:52:42,2013-02-09 07:22:11,14:29:00
2013-02-09,2013-02-09 16:54:38,2013-02-10 07:20:17,14:26:00
2013-02-10,2013-02-10 16:56:33,2013-02-11 07:18:23,14:22:00
2013-02-11,2013-02-11 16:58:29,2013-02-12 07:16:26,14:18:00
2013-02-12,2013-02-12 17:00:25,2013-02-13 07:14:29,14:14:00
2013-02-13,2013-02-13 17:02:20,2013-02-14 07:12:29,14:10:00
2013-02-14,2013-02-14 17:04:16,2013-02-15 07:10:29,14:06:00
2013-02-15,2013-02-15 17:06:11,2013-02-16 07:08:27,14:02:00
2013-02-16,2013-02-16 17:08:06,2013-02-17 07:06:24,13:58:00
2013-02-17,2013-02-17 17:10:01,2013-02-18 07:04:20,13:54:00
2013-02-18,2013-02-18 17:11:55,2013-02-19 07:02:15,13:50:00
2013-02-19,2013-02-19 17:13:50,2013-02-20 07:00:08,13:46:00
2013-02-20,2013-02-20 17:15:44,2013-02-21 06:58:01,13:42:00
2013-02-21,2013-02-21 17:17:38,2013-02-22 06:55:52,13:38:00
2013-02-22,2013-02-22 17:19:32,2013-02-23 06:53:42,13:34:00
2013-02-23,2013-02-23 17:21:25,2013-02-24 06:51:32,13:30:00
2013-02-24,2013-02-24 17:23:19,2013-02-25 06:49:20,13:26:00
2013-02-25,2013-02-25 17:25:11,2013-02-26 06:47:08,13:22:00
2013-02-26,2013-02-26 17:27:04,2013-02-27 06:44:55,13:18:00
