"Nights","SunSets","SunRises","NightLength"
2013-01-01,2013-01-01 16:11:14,2013-01-02 08:16:52,16:06:00
2013-01-02,2013-01-02 16:12:20,2013-01-03 08:16:40,16:04:00
2013-01-03,2013-01-03 16:13:28,2013-01-04 08:16:24,16:03:00
2013-01-04,2013-01-04 16:14:39,2013-01-05 08:16:06,16:01:00
2013-01-05,2013-01-05 16:15:52,2013-01-06 08:15:44,16:00:00
2013-01-06,2013-01-06 16:17:08,2013-01-07 08:15:19,15:58:00
2013-01-07,2013-01-07 16:18:26,2013-01-08 08:14:50,15:56:00
2013-01-08,2013-01-08 16:19:46,2013-01-09 08:14:18,15:55:00
2013-01-09,2013-01-09 16:21:08,2013-01-10 08:13:44,15:53:00
2013-01-10,2013-01-10 16:22:33,2013-01-11 08:13:06,15:51:00
2013-01-11,2013-01-11 16:23:59,2013-01-12 08:12:24,15:48:00
2013-01-12,2013-01-12 16:25:28,2013-01-13 08:11:40,15:46:00
2013-01-13,2013-01-13 16:26:58,2013-01-14 08:10:53,15:44:00
2013-01-14,2013-01-14 16:28:30,2013-01-15 08:10:03,15:42:00
2013-01-15,2013-01-15 16:30:04,2013-01-16 08:09:10,15:39:00
2013-01-16,2013-01-16 16:31:39,2013-01-17 08:08:14,15:37:00
2013-01-17,2013-01-17 16:33:15,2013-01-18 08:07:15,15:34:00
2013-01-18,2013-01-18 16:34:53,2013-01-19 08:06:14,15:31:00
2013-01-19,2013-01-19 16:36:33,2013-01-20 08:05:10,15:29:00
2013-01-20,2013-01-20 16:38:13,2013-01-21 08:04:03,15:26:00
2013-01-21,2013-01-21 16:39:55,2013-01-22 08:02:53,15:23:00
2013-01-22,2013-01-22 16:41:38,2013-01-23 08:01:41,15:20:00
2013-01-23,2013-01-23 16:43:22,2013-01-24 08:00:27,15:17:00
2013-01-24,2013-01-24 16:45:06,2013-01-25 07:59:10,15:14:00
2013-01-25,2013-01-25 16:46:52,2013-01-26 07:57:51,15:11:00
2013-01-26,2013-01-26 16:48:38,2013-01-27 07:56:29,15:08:00
2013-01-27,2013-01-27 16:50:25,2013-01-28 07:55:05,15:05:00
2013-01-28,2013-01-28 16:52:13,2013-01-29 07:53:39,15:01:00
2013-01-29,2013-01-29 16:54:01,2013-01-30 07:52:11,14:58:00
2013-01-30,2013-01-30 16:55:49,2013-01-31 07:50:40,14:55:00
2013-01-31,2013-01-31 16:57:38,2013-02-01 07:49:08,14:51:00
2013-02-01,2013-02-01 16:59:28,2013-02-02 07:47:34,14:48:00
2013-02-02,2013-02-02 17:01:18,2013-02-03 07:45:57,14:45:00
2013-02-03,2013-02-03 17:03:08,2013-02-04 07:44:19,14:41:00
2013-02-04,2013-02-04 17:04:58,2013-02-05 07:42:39,14:38:00
2013-02-05,2013-02-05 17:06:49,2013-02-06 07:40:57,14:34:00
2013-02-06,2013-02-06 17:08:39,2013-02-07 07:39:14,14:31:00
2013-02-07,2013-02-07 17:10:30,2013-02-08 07:37:28,14:27:00
2013-02-08,2013-02-08 17:12:21,2013-02-09 07:35:42,14:23:00
2013-02-09,2013-02-09 17:14:12,2013-02-10 07:33:53,14:20:00
2013-02-10,2013-02-10 17:16:03,2013-02-11 07:32:03,14:16:00
2013-02-11,2013-02-11 17:17:54,2013-02-12 07:30:12,14:12:00
2013-02-12,2013-02-12 17:19:44,2013-02-13 07:28:19,14:09:00
2013-02-13,2013-02-13 17:21:35,2013-02-14 07:26:25,14:05:00
2013-02-14,2013-02-14 17:23:26,2013-02-15 07:24:29,14:01:00
2013-02-15,2013-02-15 17:25:16,2013-02-16 07:22:32,13:57:00
2013-02-16,2013-02-16 17:27:06,2013-02-17 07:20:34,13:53:00
2013-02-17,2013-02-17 17:28:56,2013-02-18 07:18:35,13:50:00
2013-02-18,2013-02-18 17:30:46,2013-02-19 07:16:34,13:46:00
2013-02-19,2013-02-19 17:32:35,2013-02-20 07:14:32,13:42:00
2013-02-20,2013-02-20 17:34:25,2013-02-21 07:12:30,13:38:00
2013-02-21,2013-02-21 17:36:14,2013-02-22 07:10:26,13:34:00
2013-02-22,2013-02-22 17:38:03,2013-02-23 07:08:21,13:30:00
2013-02-23,2013-02-23 17:39:51,2013-02-24 07:06:16,13:26:00
2013-02-24,2013-02-24 17:41:40,2013-02-25 07:04:09,13:22:00
2013-02-25,2013-02-25 17:43:28,2013-02-26 07:02:02,13:19:00
2013-02-26,2013-02-26 17:45:15,2013-02-27 06:59:53,13:15:00
2013-02-27,2013-02-27 17:47:03,2013-02-28 06:57:44,13:11:00
2013-02-28,2013-02-28 17:48:50,2013-03-01 06:55:34,13:07:00
2013-03-01,2013-03-01 17:50:37,2013-03-02 06:53:24,13:03:00
2013-03-02,2013-03-02 17:52:24,2013-03-03 06:51:13,12:59:00
2013-03-03,2013-03-03 17:54:10,2013-03-04 06:49:01,12:55:00
2013-03-04,2013-03-04 17:55:56,2013-03-05 06:46:48,12:51:00
2013-03-05,2013-03-05 17:57:42,2013-03-06 06:44:35,12:47:00
2013-03-06,2013-03-06 17:59:27,2013-03-07 06:42:21,12:43:00
2013-03-07,2013-03-07 18:01:13,2013-03-08 06:40:07,12:39:00
2013-03-08,2013-03-08 18:02:57,2013-03-09 06:37:53,12:35:00
2013-03-09,2013-03-09 18:04:42,2013-03-10 06:35:38,12:31:00
2013-03-10,2013-03-10 18:06:27,2013-03-11 06:33:22,12:27:00
2013-03-11,2013-03-11 18:08:11,2013-03-12 06:31:06,12:23:00
2013-03-12,2013-03-12 18:09:55,2013-03-13 06:28:50,12:19:00
2013-03-13,2013-03-13 18:11:39,2013-03-14 06:26:34,12:15:00
2013-03-14,2013-03-14 18:13:22,2013-03-15 06:24:17,12:11:00
2013-03-15,2013-03-15 18:15:06,2013-03-16 06:22:00,12:07:00
2013-03-16,2013-03-16 18:16:49,2013-03-17 06:19:43,12:03:00
2013-03-17,2013-03-17 18:18:32,2013-03-18 06:17:25,11:59:00
2013-03-18,2013-03-18 18:20:15,2013-03-19 06:15:08,11:55:00
2013-03-19,2013-03-19 18:21:57,2013-03-20 06:12:50,11:51:00
2013-03-20,2013-03-20 18:23:40,2013-03-21 06:10:32,11:47:00
2013-03-21,2013-03-21 18:25:22,2013-03-22 06:08:15,11:43:00
2013-03-22,2013-03-22 18:27:05,2013-03-23 06:05:57,11:39:00
2013-03-23,2013-03-23 18:28:47,2013-03-24 06:03:39,11:35:00
2013-03-24,2013-03-24 18:30:29,2013-03-25 06:01:21,11:31:00
2013-03-25,2013-03-25 18:32:11,2013-03-26 05:59:03,11:27:00
2013-03-26,2013-03-26 18:33:52,2013-03-27 05:56:46,11:23:00
2013-03-27,2013-03-27 18:35:34,2013-03-28 05:54:28,11:19:00
2013-03-28,2013-03-28 18:37:16,2013-03-29 05:52:11,11:15:00
2013-03-29,2013-03-29 18:38:57,2013-03-30 05:49:53,11:11:00
2013-03-30,2013-03-30 18:40:39,2013-03-31 05:47:36,11:07:00
2013-03-31,2013-03-31 18:42:20,2013-04-01 05:45:19,11:03:00
2013-04-01,2013-04-01 18:44:02,2013-04-02 05:43:03,10:59:00
2013-04-02,2013-04-02 18:45:43,2013-04-03 05:40:47,10:55:00
2013-04-03,2013-04-03 18:47:25,2013-04-04 05:38:31,10:51:00
2013-04-04,2013-04-04 18:49:06,2013-04-05 05:36:15,10:47:00
2013-04-05,2013-04-05 18:50:48,2013-04-06 05:34:00,10:43:00
2013-04-06,2013-04-06 18:52:29,2013-04-07 05:31:45,10:39:00
2013-04-07,2013-04-07 18:54:10,2013-04-08 05:29:31,10:35:00
2013-04-08,2013-04-08 18:55:52,2013-04-09 05:27:17,10:31:00
2013-04-09,2013-04-09 18:57:33,2013-04-10 05:25:04,10:28:00
2013-04-10,2013-04-10 18:59:14,2013-04-11 05:22:51,10:24:00
2013-04-11,2013-04-11 19:00:56,2013-04-12 05:20:39,10:20:00
2013-04-12,2013-04-12 19:02:37,2013-04-13 05:18:27,10:16:00
2013-04-13,2013-04-13 19:04:18,2013-04-14 05:16:16,10:12:00
2013-04-14,2013-04-14 19:05:59,2013-04-15 05:14:06,10:08:00
2013-04-15,2013-04-15 19:07:41,2013-04-16 05:11:57,10:04:00
2013-04-16,2013-04-16 19:09:22,2013-04-17 05:09:48,10:00:00
