"Nights","SunSets","SunRises","NightLength"
2016-01-01,2016-01-01 16:08:51,2016-01-02 08:19:19,16:10:00
2016-01-02,2016-01-02 16:09:55,2016-01-03 08:19:08,16:09:00
2016-01-03,2016-01-03 16:11:02,2016-01-04 08:18:55,16:08:00
2016-01-04,2016-01-04 16:12:12,2016-01-05 08:18:38,16:06:00
2016-01-05,2016-01-05 16:13:24,2016-01-06 08:18:17,16:05:00
2016-01-06,2016-01-06 16:14:39,2016-01-07 08:17:53,16:03:00
2016-01-07,2016-01-07 16:15:56,2016-01-08 08:17:26,16:02:00
2016-01-08,2016-01-08 16:17:16,2016-01-09 08:16:56,16:00:00
2016-01-09,2016-01-09 16:18:38,2016-01-10 08:16:22,15:58:00
2016-01-10,2016-01-10 16:20:02,2016-01-11 08:15:45,15:56:00
2016-01-11,2016-01-11 16:21:28,2016-01-12 08:15:05,15:54:00
2016-01-12,2016-01-12 16:22:56,2016-01-13 08:14:22,15:51:00
2016-01-13,2016-01-13 16:24:26,2016-01-14 08:13:36,15:49:00
2016-01-14,2016-01-14 16:25:58,2016-01-15 08:12:47,15:47:00
2016-01-15,2016-01-15 16:27:32,2016-01-16 08:11:55,15:44:00
2016-01-16,2016-01-16 16:29:07,2016-01-17 08:10:59,15:42:00
2016-01-17,2016-01-17 16:30:44,2016-01-18 08:10:01,15:39:00
2016-01-18,2016-01-18 16:32:23,2016-01-19 08:09:00,15:37:00
2016-01-19,2016-01-19 16:34:02,2016-01-20 08:07:57,15:34:00
2016-01-20,2016-01-20 16:35:44,2016-01-21 08:06:50,15:31:00
2016-01-21,2016-01-21 16:37:26,2016-01-22 08:05:41,15:28:00
2016-01-22,2016-01-22 16:39:09,2016-01-23 08:04:30,15:25:00
2016-01-23,2016-01-23 16:40:54,2016-01-24 08:03:16,15:22:00
2016-01-24,2016-01-24 16:42:39,2016-01-25 08:01:59,15:19:00
2016-01-25,2016-01-25 16:44:26,2016-01-26 08:00:40,15:16:00
2016-01-26,2016-01-26 16:46:13,2016-01-27 07:59:18,15:13:00
2016-01-27,2016-01-27 16:48:01,2016-01-28 07:57:54,15:10:00
2016-01-28,2016-01-28 16:49:50,2016-01-29 07:56:28,15:07:00
2016-01-29,2016-01-29 16:51:39,2016-01-30 07:55:00,15:03:00
2016-01-30,2016-01-30 16:53:29,2016-01-31 07:53:29,15:00:00
2016-01-31,2016-01-31 16:55:20,2016-02-01 07:51:57,14:57:00
2016-02-01,2016-02-01 16:57:11,2016-02-02 07:50:22,14:53:00
2016-02-02,2016-02-02 16:59:02,2016-02-03 07:48:46,14:50:00
2016-02-03,2016-02-03 17:00:54,2016-02-04 07:47:07,14:46:00
2016-02-04,2016-02-04 17:02:45,2016-02-05 07:45:27,14:43:00
2016-02-05,2016-02-05 17:04:38,2016-02-06 07:43:45,14:39:00
2016-02-06,2016-02-06 17:06:30,2016-02-07 07:42:01,14:36:00
2016-02-07,2016-02-07 17:08:22,2016-02-08 07:40:15,14:32:00
2016-02-08,2016-02-08 17:10:15,2016-02-09 07:38:27,14:28:00
2016-02-09,2016-02-09 17:12:07,2016-02-10 07:36:38,14:25:00
2016-02-10,2016-02-10 17:14:00,2016-02-11 07:34:48,14:21:00
2016-02-11,2016-02-11 17:15:53,2016-02-12 07:32:56,14:17:00
2016-02-12,2016-02-12 17:17:45,2016-02-13 07:31:02,14:13:00
2016-02-13,2016-02-13 17:19:38,2016-02-14 07:29:07,14:09:00
2016-02-14,2016-02-14 17:21:30,2016-02-15 07:27:11,14:06:00
2016-02-15,2016-02-15 17:23:22,2016-02-16 07:25:13,14:02:00
2016-02-16,2016-02-16 17:25:14,2016-02-17 07:23:14,13:58:00
2016-02-17,2016-02-17 17:27:06,2016-02-18 07:21:14,13:54:00
2016-02-18,2016-02-18 17:28:58,2016-02-19 07:19:13,13:50:00
2016-02-19,2016-02-19 17:30:49,2016-02-20 07:17:10,13:46:00
2016-02-20,2016-02-20 17:32:40,2016-02-21 07:15:06,13:42:00
2016-02-21,2016-02-21 17:34:32,2016-02-22 07:13:02,13:39:00
2016-02-22,2016-02-22 17:36:22,2016-02-23 07:10:56,13:35:00
2016-02-23,2016-02-23 17:38:13,2016-02-24 07:08:49,13:31:00
2016-02-24,2016-02-24 17:40:03,2016-02-25 07:06:42,13:27:00
2016-02-25,2016-02-25 17:41:53,2016-02-26 07:04:33,13:23:00
2016-02-26,2016-02-26 17:43:43,2016-02-27 07:02:24,13:19:00
2016-02-27,2016-02-27 17:45:32,2016-02-28 07:00:13,13:15:00
2016-02-28,2016-02-28 17:47:21,2016-02-29 06:58:02,13:11:00
2016-02-29,2016-02-29 17:49:10,2016-03-01 06:55:51,13:07:00
2016-03-01,2016-03-01 17:50:59,2016-03-02 06:53:38,13:03:00
2016-03-02,2016-03-02 17:52:47,2016-03-03 06:51:25,12:59:00
2016-03-03,2016-03-03 17:54:35,2016-03-04 06:49:11,12:55:00
2016-03-04,2016-03-04 17:56:23,2016-03-05 06:46:57,12:51:00
2016-03-05,2016-03-05 17:58:10,2016-03-06 06:44:42,12:47:00
