"Nights","SunSets","SunRises","NightLength"
2013-01-01,2013-01-01 15:51:41,2013-01-02 08:02:45,16:11:00
2013-01-02,2013-01-02 15:52:48,2013-01-03 08:02:32,16:10:00
2013-01-03,2013-01-03 15:53:57,2013-01-04 08:02:15,16:08:00
2013-01-04,2013-01-04 15:55:09,2013-01-05 08:01:55,16:07:00
2013-01-05,2013-01-05 15:56:24,2013-01-06 08:01:32,16:05:00
2013-01-06,2013-01-06 15:57:40,2013-01-07 08:01:06,16:03:00
2013-01-07,2013-01-07 15:59:00,2013-01-08 08:00:36,16:02:00
2013-01-08,2013-01-08 16:00:22,2013-01-09 08:00:03,16:00:00
2013-01-09,2013-01-09 16:01:45,2013-01-10 07:59:26,15:58:00
2013-01-10,2013-01-10 16:03:11,2013-01-11 07:58:47,15:56:00
2013-01-11,2013-01-11 16:04:40,2013-01-12 07:58:04,15:53:00
2013-01-12,2013-01-12 16:06:10,2013-01-13 07:57:18,15:51:00
2013-01-13,2013-01-13 16:07:42,2013-01-14 07:56:29,15:49:00
2013-01-14,2013-01-14 16:09:15,2013-01-15 07:55:37,15:46:00
2013-01-15,2013-01-15 16:10:51,2013-01-16 07:54:42,15:44:00
2013-01-16,2013-01-16 16:12:28,2013-01-17 07:53:45,15:41:00
2013-01-17,2013-01-17 16:14:06,2013-01-18 07:52:44,15:39:00
2013-01-18,2013-01-18 16:15:46,2013-01-19 07:51:41,15:36:00
2013-01-19,2013-01-19 16:17:28,2013-01-20 07:50:34,15:33:00
2013-01-20,2013-01-20 16:19:10,2013-01-21 07:49:26,15:30:00
2013-01-21,2013-01-21 16:20:54,2013-01-22 07:48:14,15:27:00
2013-01-22,2013-01-22 16:22:39,2013-01-23 07:47:00,15:24:00
2013-01-23,2013-01-23 16:24:25,2013-01-24 07:45:43,15:21:00
2013-01-24,2013-01-24 16:26:11,2013-01-25 07:44:24,15:18:00
2013-01-25,2013-01-25 16:27:59,2013-01-26 07:43:03,15:15:00
2013-01-26,2013-01-26 16:29:47,2013-01-27 07:41:39,15:12:00
2013-01-27,2013-01-27 16:31:37,2013-01-28 07:40:13,15:09:00
2013-01-28,2013-01-28 16:33:26,2013-01-29 07:38:45,15:05:00
2013-01-29,2013-01-29 16:35:17,2013-01-30 07:37:14,15:02:00
2013-01-30,2013-01-30 16:37:08,2013-01-31 07:35:42,14:59:00
