"Nights","SunSets","SunRises","NightLength"
2013-01-01,2013-01-01 15:49:05,2013-01-02 08:05:04,16:16:00
2013-01-02,2013-01-02 15:50:12,2013-01-03 08:04:50,16:15:00
2013-01-03,2013-01-03 15:51:23,2013-01-04 08:04:33,16:13:00
2013-01-04,2013-01-04 15:52:36,2013-01-05 08:04:12,16:12:00
2013-01-05,2013-01-05 15:53:51,2013-01-06 08:03:47,16:10:00
2013-01-06,2013-01-06 15:55:09,2013-01-07 08:03:20,16:08:00
2013-01-07,2013-01-07 15:56:30,2013-01-08 08:02:48,16:06:00
2013-01-08,2013-01-08 15:57:53,2013-01-09 08:02:14,16:04:00
2013-01-09,2013-01-09 15:59:18,2013-01-10 08:01:36,16:02:00
2013-01-10,2013-01-10 16:00:46,2013-01-11 08:00:55,16:00:00
2013-01-11,2013-01-11 16:02:15,2013-01-12 08:00:11,15:58:00
2013-01-12,2013-01-12 16:03:47,2013-01-13 07:59:23,15:56:00
2013-01-13,2013-01-13 16:05:20,2013-01-14 07:58:33,15:53:00
2013-01-14,2013-01-14 16:06:56,2013-01-15 07:57:39,15:51:00
2013-01-15,2013-01-15 16:08:33,2013-01-16 07:56:43,15:48:00
2013-01-16,2013-01-16 16:10:12,2013-01-17 07:55:43,15:46:00
2013-01-17,2013-01-17 16:11:52,2013-01-18 07:54:41,15:43:00
2013-01-18,2013-01-18 16:13:34,2013-01-19 07:53:36,15:40:00
2013-01-19,2013-01-19 16:15:17,2013-01-20 07:52:28,15:37:00
2013-01-20,2013-01-20 16:17:01,2013-01-21 07:51:17,15:34:00
2013-01-21,2013-01-21 16:18:47,2013-01-22 07:50:03,15:31:00
2013-01-22,2013-01-22 16:20:34,2013-01-23 07:48:47,15:28:00
2013-01-23,2013-01-23 16:22:21,2013-01-24 07:47:29,15:25:00
2013-01-24,2013-01-24 16:24:10,2013-01-25 07:46:08,15:22:00
2013-01-25,2013-01-25 16:26:00,2013-01-26 07:44:44,15:19:00
2013-01-26,2013-01-26 16:27:50,2013-01-27 07:43:19,15:15:00
2013-01-27,2013-01-27 16:29:42,2013-01-28 07:41:51,15:12:00
2013-01-28,2013-01-28 16:31:33,2013-01-29 07:40:20,15:09:00
2013-01-29,2013-01-29 16:33:26,2013-01-30 07:38:48,15:05:00
2013-01-30,2013-01-30 16:35:19,2013-01-31 07:37:13,15:02:00
2013-01-31,2013-01-31 16:37:12,2013-02-01 07:35:36,14:58:00
2013-02-01,2013-02-01 16:39:06,2013-02-02 07:33:57,14:55:00
2013-02-02,2013-02-02 16:41:00,2013-02-03 07:32:17,14:51:00
2013-02-03,2013-02-03 16:42:55,2013-02-04 07:30:34,14:48:00
2013-02-04,2013-02-04 16:44:50,2013-02-05 07:28:50,14:44:00
2013-02-05,2013-02-05 16:46:45,2013-02-06 07:27:03,14:40:00
2013-02-06,2013-02-06 16:48:40,2013-02-07 07:25:15,14:37:00
2013-02-07,2013-02-07 16:50:35,2013-02-08 07:23:26,14:33:00
2013-02-08,2013-02-08 16:52:31,2013-02-09 07:21:34,14:29:00
2013-02-09,2013-02-09 16:54:26,2013-02-10 07:19:41,14:25:00
2013-02-10,2013-02-10 16:56:21,2013-02-11 07:17:47,14:21:00
2013-02-11,2013-02-11 16:58:17,2013-02-12 07:15:51,14:18:00
2013-02-12,2013-02-12 17:00:12,2013-02-13 07:13:53,14:14:00
2013-02-13,2013-02-13 17:02:07,2013-02-14 07:11:55,14:10:00
