"Nights","SunSets","SunRises","NightLength"
2013-01-01,2013-01-01 15:51:40,2013-01-02 08:06:05,16:14:00
2013-01-02,2013-01-02 15:52:47,2013-01-03 08:05:51,16:13:00
2013-01-03,2013-01-03 15:53:57,2013-01-04 08:05:34,16:12:00
2013-01-04,2013-01-04 15:55:10,2013-01-05 08:05:14,16:10:00
2013-01-05,2013-01-05 15:56:25,2013-01-06 08:04:50,16:08:00
2013-01-06,2013-01-06 15:57:43,2013-01-07 08:04:22,16:07:00
2013-01-07,2013-01-07 15:59:03,2013-01-08 08:03:51,16:05:00
2013-01-08,2013-01-08 16:00:25,2013-01-09 08:03:17,16:03:00
2013-01-09,2013-01-09 16:01:50,2013-01-10 08:02:40,16:01:00
2013-01-10,2013-01-10 16:03:17,2013-01-11 08:01:59,15:59:00
2013-01-11,2013-01-11 16:04:46,2013-01-12 08:01:16,15:56:00
2013-01-12,2013-01-12 16:06:18,2013-01-13 08:00:29,15:54:00
2013-01-13,2013-01-13 16:07:51,2013-01-14 07:59:39,15:52:00
2013-01-14,2013-01-14 16:09:25,2013-01-15 07:58:46,15:49:00
2013-01-15,2013-01-15 16:11:02,2013-01-16 07:57:50,15:47:00
2013-01-16,2013-01-16 16:12:40,2013-01-17 07:56:51,15:44:00
2013-01-17,2013-01-17 16:14:20,2013-01-18 07:55:49,15:41:00
2013-01-18,2013-01-18 16:16:01,2013-01-19 07:54:44,15:39:00
2013-01-19,2013-01-19 16:17:44,2013-01-20 07:53:37,15:36:00
2013-01-20,2013-01-20 16:19:27,2013-01-21 07:52:27,15:33:00
2013-01-21,2013-01-21 16:21:13,2013-01-22 07:51:14,15:30:00
2013-01-22,2013-01-22 16:22:59,2013-01-23 07:49:58,15:27:00
2013-01-23,2013-01-23 16:24:46,2013-01-24 07:48:40,15:24:00
2013-01-24,2013-01-24 16:26:34,2013-01-25 07:47:20,15:21:00
2013-01-25,2013-01-25 16:28:23,2013-01-26 07:45:57,15:18:00
2013-01-26,2013-01-26 16:30:13,2013-01-27 07:44:32,15:14:00
2013-01-27,2013-01-27 16:32:03,2013-01-28 07:43:05,15:11:00
2013-01-28,2013-01-28 16:33:55,2013-01-29 07:41:35,15:08:00
2013-01-29,2013-01-29 16:35:46,2013-01-30 07:40:03,15:04:00
2013-01-30,2013-01-30 16:37:39,2013-01-31 07:38:29,15:01:00
2013-01-31,2013-01-31 16:39:32,2013-02-01 07:36:53,14:57:00
2013-02-01,2013-02-01 16:41:25,2013-02-02 07:35:15,14:54:00
2013-02-02,2013-02-02 16:43:18,2013-02-03 07:33:35,14:50:00
2013-02-03,2013-02-03 16:45:12,2013-02-04 07:31:53,14:47:00
2013-02-04,2013-02-04 16:47:06,2013-02-05 07:30:09,14:43:00
2013-02-05,2013-02-05 16:49:01,2013-02-06 07:28:23,14:39:00
2013-02-06,2013-02-06 16:50:55,2013-02-07 07:26:36,14:36:00
2013-02-07,2013-02-07 16:52:50,2013-02-08 07:24:47,14:32:00
2013-02-08,2013-02-08 16:54:44,2013-02-09 07:22:56,14:28:00
2013-02-09,2013-02-09 16:56:39,2013-02-10 07:21:04,14:24:00
2013-02-10,2013-02-10 16:58:34,2013-02-11 07:19:10,14:21:00
2013-02-11,2013-02-11 17:00:29,2013-02-12 07:17:15,14:17:00
2013-02-12,2013-02-12 17:02:23,2013-02-13 07:15:18,14:13:00
2013-02-13,2013-02-13 17:04:18,2013-02-14 07:13:20,14:09:00
2013-02-14,2013-02-14 17:06:12,2013-02-15 07:11:21,14:05:00
2013-02-15,2013-02-15 17:08:06,2013-02-16 07:09:20,14:01:00
2013-02-16,2013-02-16 17:10:00,2013-02-17 07:07:18,13:57:00
2013-02-17,2013-02-17 17:11:54,2013-02-18 07:05:15,13:53:00
2013-02-18,2013-02-18 17:13:48,2013-02-19 07:03:10,13:49:00
2013-02-19,2013-02-19 17:15:41,2013-02-20 07:01:05,13:45:00
2013-02-20,2013-02-20 17:17:35,2013-02-21 06:58:58,13:41:00
2013-02-21,2013-02-21 17:19:28,2013-02-22 06:56:51,13:37:00
2013-02-22,2013-02-22 17:21:20,2013-02-23 06:54:42,13:33:00
2013-02-23,2013-02-23 17:23:13,2013-02-24 06:52:33,13:29:00
2013-02-24,2013-02-24 17:25:05,2013-02-25 06:50:22,13:25:00
2013-02-25,2013-02-25 17:26:57,2013-02-26 06:48:11,13:21:00
2013-02-26,2013-02-26 17:28:48,2013-02-27 06:45:59,13:17:00
2013-02-27,2013-02-27 17:30:40,2013-02-28 06:43:46,13:13:00
2013-02-28,2013-02-28 17:32:31,2013-03-01 06:41:33,13:09:00
2013-03-01,2013-03-01 17:34:21,2013-03-02 06:39:18,13:05:00
2013-03-02,2013-03-02 17:36:12,2013-03-03 06:37:03,13:01:00
2013-03-03,2013-03-03 17:38:02,2013-03-04 06:34:47,12:57:00
2013-03-04,2013-03-04 17:39:52,2013-03-05 06:32:31,12:53:00
2013-03-05,2013-03-05 17:41:41,2013-03-06 06:30:14,12:49:00
2013-03-06,2013-03-06 17:43:31,2013-03-07 06:27:57,12:44:00
2013-03-07,2013-03-07 17:45:20,2013-03-08 06:25:39,12:40:00
2013-03-08,2013-03-08 17:47:09,2013-03-09 06:23:21,12:36:00
2013-03-09,2013-03-09 17:48:57,2013-03-10 06:21:02,12:32:00
2013-03-10,2013-03-10 17:50:45,2013-03-11 06:18:43,12:28:00
2013-03-11,2013-03-11 17:52:34,2013-03-12 06:16:23,12:24:00
2013-03-12,2013-03-12 17:54:21,2013-03-13 06:14:03,12:20:00
2013-03-13,2013-03-13 17:56:09,2013-03-14 06:11:43,12:16:00
2013-03-14,2013-03-14 17:57:56,2013-03-15 06:09:22,12:11:00
2013-03-15,2013-03-15 17:59:43,2013-03-16 06:07:02,12:07:00
2013-03-16,2013-03-16 18:01:30,2013-03-17 06:04:41,12:03:00
2013-03-17,2013-03-17 18:03:17,2013-03-18 06:02:19,11:59:00
2013-03-18,2013-03-18 18:05:04,2013-03-19 05:59:58,11:55:00
2013-03-19,2013-03-19 18:06:50,2013-03-20 05:57:37,11:51:00
2013-03-20,2013-03-20 18:08:37,2013-03-21 05:55:15,11:47:00
2013-03-21,2013-03-21 18:10:23,2013-03-22 05:52:53,11:43:00
2013-03-22,2013-03-22 18:12:09,2013-03-23 05:50:32,11:38:00
2013-03-23,2013-03-23 18:13:55,2013-03-24 05:48:10,11:34:00
2013-03-24,2013-03-24 18:15:41,2013-03-25 05:45:49,11:30:00
2013-03-25,2013-03-25 18:17:26,2013-03-26 05:43:27,11:26:00
2013-03-26,2013-03-26 18:19:12,2013-03-27 05:41:05,11:22:00
2013-03-27,2013-03-27 18:20:58,2013-03-28 05:38:44,11:18:00
2013-03-28,2013-03-28 18:22:43,2013-03-29 05:36:23,11:14:00
2013-03-29,2013-03-29 18:24:28,2013-03-30 05:34:02,11:10:00
2013-03-30,2013-03-30 18:26:14,2013-03-31 05:31:41,11:05:00
2013-03-31,2013-03-31 18:27:59,2013-04-01 05:29:20,11:01:00
2013-04-01,2013-04-01 18:29:44,2013-04-02 05:27:00,10:57:00
2013-04-02,2013-04-02 18:31:30,2013-04-03 05:24:40,10:53:00
2013-04-03,2013-04-03 18:33:15,2013-04-04 05:22:20,10:49:00
2013-04-04,2013-04-04 18:35:00,2013-04-05 05:20:01,10:45:00
2013-04-05,2013-04-05 18:36:45,2013-04-06 05:17:42,10:41:00
2013-04-06,2013-04-06 18:38:30,2013-04-07 05:15:23,10:37:00
2013-04-07,2013-04-07 18:40:16,2013-04-08 05:13:05,10:33:00
2013-04-08,2013-04-08 18:42:01,2013-04-09 05:10:47,10:29:00
2013-04-09,2013-04-09 18:43:46,2013-04-10 05:08:30,10:25:00
2013-04-10,2013-04-10 18:45:31,2013-04-11 05:06:14,10:21:00
2013-04-11,2013-04-11 18:47:16,2013-04-12 05:03:58,10:17:00
2013-04-12,2013-04-12 18:49:02,2013-04-13 05:01:42,10:13:00
2013-04-13,2013-04-13 18:50:47,2013-04-14 04:59:28,10:09:00
2013-04-14,2013-04-14 18:52:32,2013-04-15 04:57:13,10:05:00
2013-04-15,2013-04-15 18:54:17,2013-04-16 04:55:00,10:01:00
2013-04-16,2013-04-16 18:56:02,2013-04-17 04:52:48,09:57:00
2013-04-17,2013-04-17 18:57:47,2013-04-18 04:50:36,09:53:00
2013-04-18,2013-04-18 18:59:32,2013-04-19 04:48:25,09:49:00
2013-04-19,2013-04-19 19:01:17,2013-04-20 04:46:15,09:45:00
2013-04-20,2013-04-20 19:03:02,2013-04-21 04:44:05,09:41:00
2013-04-21,2013-04-21 19:04:47,2013-04-22 04:41:57,09:37:00
2013-04-22,2013-04-22 19:06:32,2013-04-23 04:39:50,09:33:00
2013-04-23,2013-04-23 19:08:17,2013-04-24 04:37:44,09:29:00
2013-04-24,2013-04-24 19:10:02,2013-04-25 04:35:38,09:26:00
2013-04-25,2013-04-25 19:11:46,2013-04-26 04:33:34,09:22:00
2013-04-26,2013-04-26 19:13:30,2013-04-27 04:31:31,09:18:00
2013-04-27,2013-04-27 19:15:14,2013-04-28 04:29:30,09:14:00
2013-04-28,2013-04-28 19:16:58,2013-04-29 04:27:29,09:11:00
2013-04-29,2013-04-29 19:18:42,2013-04-30 04:25:30,09:07:00
2013-04-30,2013-04-30 19:20:26,2013-05-01 04:23:32,09:03:00
2013-05-01,2013-05-01 19:22:09,2013-05-02 04:21:35,08:59:00
2013-05-02,2013-05-02 19:23:52,2013-05-03 04:19:40,08:56:00
2013-05-03,2013-05-03 19:25:34,2013-05-04 04:17:46,08:52:00
2013-05-04,2013-05-04 19:27:16,2013-05-05 04:15:54,08:49:00
2013-05-05,2013-05-05 19:28:58,2013-05-06 04:14:04,08:45:00
2013-05-06,2013-05-06 19:30:39,2013-05-07 04:12:15,08:42:00
2013-05-07,2013-05-07 19:32:20,2013-05-08 04:10:27,08:38:00
2013-05-08,2013-05-08 19:34:00,2013-05-09 04:08:42,08:35:00
2013-05-09,2013-05-09 19:35:39,2013-05-10 04:06:58,08:31:00
2013-05-10,2013-05-10 19:37:18,2013-05-11 04:05:16,08:28:00
2013-05-11,2013-05-11 19:38:56,2013-05-12 04:03:35,08:25:00
2013-05-12,2013-05-12 19:40:34,2013-05-13 04:01:57,08:21:00
2013-05-13,2013-05-13 19:42:10,2013-05-14 04:00:21,08:18:00
2013-05-14,2013-05-14 19:43:46,2013-05-15 03:58:46,08:15:00
2013-05-15,2013-05-15 19:45:21,2013-05-16 03:57:14,08:12:00
2013-05-16,2013-05-16 19:46:55,2013-05-17 03:55:44,08:09:00
2013-05-17,2013-05-17 19:48:27,2013-05-18 03:54:16,08:06:00
2013-05-18,2013-05-18 19:49:59,2013-05-19 03:52:50,08:03:00
2013-05-19,2013-05-19 19:51:29,2013-05-20 03:51:27,08:00:00
2013-05-20,2013-05-20 19:52:58,2013-05-21 03:50:05,07:57:00
2013-05-21,2013-05-21 19:54:26,2013-05-22 03:48:47,07:54:00
2013-05-22,2013-05-22 19:55:53,2013-05-23 03:47:30,07:52:00
2013-05-23,2013-05-23 19:57:18,2013-05-24 03:46:17,07:49:00
2013-05-24,2013-05-24 19:58:41,2013-05-25 03:45:05,07:46:00
2013-05-25,2013-05-25 20:00:03,2013-05-26 03:43:57,07:44:00
2013-05-26,2013-05-26 20:01:23,2013-05-27 03:42:51,07:41:00
2013-05-27,2013-05-27 20:02:42,2013-05-28 03:41:47,07:39:00
2013-05-28,2013-05-28 20:03:58,2013-05-29 03:40:47,07:37:00
2013-05-29,2013-05-29 20:05:13,2013-05-30 03:39:49,07:35:00
2013-05-30,2013-05-30 20:06:26,2013-05-31 03:38:54,07:32:00
2013-05-31,2013-05-31 20:07:36,2013-06-01 03:38:02,07:30:00
2013-06-01,2013-06-01 20:08:45,2013-06-02 03:37:13,07:28:00
2013-06-02,2013-06-02 20:09:51,2013-06-03 03:36:27,07:27:00
2013-06-03,2013-06-03 20:10:55,2013-06-04 03:35:44,07:25:00
2013-06-04,2013-06-04 20:11:57,2013-06-05 03:35:04,07:23:00
2013-06-05,2013-06-05 20:12:56,2013-06-06 03:34:27,07:22:00
2013-06-06,2013-06-06 20:13:53,2013-06-07 03:33:53,07:20:00
2013-06-07,2013-06-07 20:14:47,2013-06-08 03:33:23,07:19:00
2013-06-08,2013-06-08 20:15:39,2013-06-09 03:32:55,07:17:00
2013-06-09,2013-06-09 20:16:28,2013-06-10 03:32:31,07:16:00
2013-06-10,2013-06-10 20:17:14,2013-06-11 03:32:10,07:15:00
2013-06-11,2013-06-11 20:17:57,2013-06-12 03:31:52,07:14:00
2013-06-12,2013-06-12 20:18:38,2013-06-13 03:31:37,07:13:00
2013-06-13,2013-06-13 20:19:15,2013-06-14 03:31:26,07:12:00
2013-06-14,2013-06-14 20:19:50,2013-06-15 03:31:18,07:11:00
2013-06-15,2013-06-15 20:20:21,2013-06-16 03:31:13,07:11:00
2013-06-16,2013-06-16 20:20:50,2013-06-17 03:31:11,07:10:00
2013-06-17,2013-06-17 20:21:15,2013-06-18 03:31:13,07:10:00
2013-06-18,2013-06-18 20:21:37,2013-06-19 03:31:17,07:10:00
2013-06-19,2013-06-19 20:21:56,2013-06-20 03:31:26,07:09:00
2013-06-20,2013-06-20 20:22:12,2013-06-21 03:31:37,07:09:00
2013-06-21,2013-06-21 20:22:24,2013-06-22 03:31:51,07:09:00
2013-06-22,2013-06-22 20:22:34,2013-06-23 03:32:09,07:10:00
2013-06-23,2013-06-23 20:22:40,2013-06-24 03:32:30,07:10:00
2013-06-24,2013-06-24 20:22:43,2013-06-25 03:32:53,07:10:00
2013-06-25,2013-06-25 20:22:42,2013-06-26 03:33:20,07:11:00
2013-06-26,2013-06-26 20:22:38,2013-06-27 03:33:50,07:11:00
2013-06-27,2013-06-27 20:22:31,2013-06-28 03:34:23,07:12:00
2013-06-28,2013-06-28 20:22:21,2013-06-29 03:34:59,07:13:00
2013-06-29,2013-06-29 20:22:07,2013-06-30 03:35:37,07:14:00
2013-06-30,2013-06-30 20:21:50,2013-07-01 03:36:19,07:14:00
2013-07-01,2013-07-01 20:21:30,2013-07-02 03:37:03,07:16:00
2013-07-02,2013-07-02 20:21:06,2013-07-03 03:37:50,07:17:00
2013-07-03,2013-07-03 20:20:39,2013-07-04 03:38:39,07:18:00
2013-07-04,2013-07-04 20:20:09,2013-07-05 03:39:31,07:19:00
2013-07-05,2013-07-05 20:19:36,2013-07-06 03:40:26,07:21:00
2013-07-06,2013-07-06 20:19:00,2013-07-07 03:41:23,07:22:00
2013-07-07,2013-07-07 20:18:20,2013-07-08 03:42:22,07:24:00
2013-07-08,2013-07-08 20:17:38,2013-07-09 03:43:24,07:26:00
2013-07-09,2013-07-09 20:16:52,2013-07-10 03:44:28,07:28:00
2013-07-10,2013-07-10 20:16:04,2013-07-11 03:45:34,07:30:00
2013-07-11,2013-07-11 20:15:12,2013-07-12 03:46:42,07:31:00
2013-07-12,2013-07-12 20:14:18,2013-07-13 03:47:52,07:34:00
2013-07-13,2013-07-13 20:13:20,2013-07-14 03:49:04,07:36:00
2013-07-14,2013-07-14 20:12:20,2013-07-15 03:50:18,07:38:00
2013-07-15,2013-07-15 20:11:17,2013-07-16 03:51:34,07:40:00
2013-07-16,2013-07-16 20:10:11,2013-07-17 03:52:51,07:43:00
2013-07-17,2013-07-17 20:09:03,2013-07-18 03:54:10,07:45:00
2013-07-18,2013-07-18 20:07:52,2013-07-19 03:55:31,07:48:00
