filename,Barbar,Eptser,Myoalc,Myobec,Myobra,Myodau,Myomys,Myonat,Nyclei,Nycnoc,Pipnat,Pippip,Pippyg,Pleaur,Rhifer,Rhihip,FreqM,FreqP,FreqC,Tstart,Tend,NbCris,DurMed,Dur90,Ampm50,Ampm90,AmpSMd,DiffME,SR,Order,Ind,SpMaxF2,Version
SR2_20151009_200211_357.wav,0.124,0.254,0.042,0.03,0.056,0.158,0.066,0.104,0.116,0.086,0.132,0.146,0.11,0.76,0.074,0.052,44,36.8,35.2,0,2,32,6,28,145.9,292.8,48,113.8,192000,N1,0.76,Pleaur,5
SR2_20151009_204924_513.wav,0.16,0.15,0.03,0.026,0.028,0.12,0.062,0.138,0.098,0.074,0.16,0.208,0.106,0.712,0.044,0.056,43,36,37.5,0,1.5,16,3,16,77,140.5,28,65.1,192000,N1,0.712,Pleaur,5
SR2_20151009_222813_701.wav,0.114,0.142,0.036,0.05,0.058,0.168,0.088,0.116,0.088,0.062,0.122,0.132,0.158,0.694,0.026,0.03,42,35.2,34.5,0,1.8,28,6,24,150.1,228,52,116.5,192000,N1,0.694,Pleaur,5
SR2_20151009_233630_716.wav,0.204,0.12,0.084,0.102,0.132,0.336,0.136,0.35,0.108,0.05,0.084,0.116,0.128,0.1,0.022,0.028,49,47.2,46.5,0,1.7,40,4,22,140.5,211.5,57,120.4,192000,N1,0.35,Myonat,5
SR2_20151010_033314_376.wav,0.026,0.032,0.034,0.02,0.02,0.038,0.042,0.012,0.05,0.052,0.132,0.888,0.256,0.028,0.138,0.26,50,48.8,48.8,0,3.5,26,9,52,59.1,174.1,17,43.1,192000,N1,0.888,Pippip,5
SR2_20151010_061152_309.wav,0.142,0.224,0.046,0.044,0.078,0.25,0.124,0.194,0.176,0.118,0.19,0.242,0.264,0.622,0.034,0.072,41,36.4,36.8,0,1.1,26,4,16,96,175.3,32,77.6,192000,N1,0.622,Pleaur,5
SR2_20151010_193437_776.wav,0.034,0.028,0.004,0.006,0.034,0.056,0.028,0.026,0.03,0.024,0.17,0.872,0.074,0.02,0.016,0.056,47,45.8,45,0,0.9,7,3,3,41.2,88.1,13,24,192000,N1,0.872,Pippip,5
SR2_20151010_193813_844.wav,0.056,0.044,0.022,0.016,0.032,0.112,0.084,0.032,0.034,0.036,0.478,0.812,0.118,0.034,0.064,0.124,46,43.5,42.8,0,3.5,48,8,34,100.4,214.3,22,79.1,192000,N1,0.812,Pippip,5
SR2_20151010_193818_281.wav,0.054,0.022,0.01,0.006,0.024,0.048,0.03,0.022,0.034,0.048,0.394,0.65,0.088,0.01,0.07,0.062,44,43.5,42.8,0,1.7,30,9,25,57,114.6,13,41.5,192000,N1,0.65,Pippip,5
SR2_20151010_205458_705.wav,0.058,0.036,0.038,0.014,0.046,0.098,0.072,0.032,0.018,0.03,0.126,0.894,0.172,0.04,0.036,0.058,53,48.8,47.2,0,4,54,6,28,85.5,225.3,24,69,192000,N1,0.894,Pippip,5
