"ObsDate","ObsTime","IntTemperature","ExtTemperature"
"2018-Dec-02","15:28:02","   12.5","  -20.5"
"2018-Dec-02","15:33:58","   12.8","  -20.5"
"2018-Dec-02","15:35:31","   13.0","  -20.5"
"2018-Dec-02","15:40:31","   13.3","  -20.5"
"2018-Dec-02","15:42:56","   13.6","  -20.5"
"2018-Dec-02","15:43:02","   13.6","  -20.5"
"2018-Dec-02","15:43:24","   13.6","  -20.5"
"2018-Dec-02","15:44:00","   13.6","  -20.5"
"2018-Dec-02","15:45:59","   13.6","  -20.5"
"2018-Dec-02","15:47:36","   13.8","  -20.5"
"2018-Dec-02","15:52:23","   13.8","  -20.5"
"2018-Dec-02","15:54:28","   14.0","  -20.5"
"2018-Dec-02","15:56:32","   14.0","  -20.5"
"2018-Dec-02","15:57:36","   14.0","  -20.5"
"2018-Dec-02","16:01:38","   14.1","  -20.5"
"2018-Dec-02","16:03:44","   14.1","  -20.5"
"2018-Dec-02","16:04:36","   14.1","  -20.5"
"2018-Dec-02","16:09:36","   14.1","  -20.5"
"2018-Dec-02","16:10:54","   14.3","  -20.5"
"2018-Dec-02","16:12:27","   14.3","  -20.5"
"2018-Dec-02","16:12:50","   14.3","  -20.5"
"2018-Dec-02","16:13:01","   14.3","  -20.5"
"2018-Dec-02","16:13:35","   14.3","  -20.5"
"2018-Dec-02","16:14:00","   14.3","  -20.5"
"2018-Dec-02","16:19:01","   14.3","  -20.5"
"2018-Dec-02","16:21:26","   14.3","  -20.5"
"2018-Dec-02","16:22:20","   14.3","  -20.5"
"2018-Dec-02","16:22:57","   14.3","  -20.5"
"2018-Dec-02","16:23:27","   14.3","  -20.5"
"2018-Dec-02","16:24:07","   14.3","  -20.5"
"2018-Dec-02","16:24:20","   14.3","  -20.5"
"2018-Dec-02","16:25:22","   14.3","  -20.5"
"2018-Dec-02","16:28:56","   14.3","  -20.5"
"2018-Dec-02","16:32:54","   14.3","  -20.5"
"2018-Dec-02","16:36:43","   14.5","  -20.5"
"2018-Dec-02","16:38:39","   14.5","  -20.5"
"2018-Dec-02","16:42:08","   14.5","  -20.5"
"2018-Dec-02","16:44:00","   14.5","  -20.5"
"2018-Dec-02","16:44:15","   14.5","  -20.5"
"2018-Dec-02","16:44:45","   14.5","  -20.5"
"2018-Dec-02","16:45:04","   14.5","  -20.5"
"2018-Dec-02","16:47:54","   14.5","  -20.5"
"2018-Dec-02","16:49:33","   14.5","  -20.5"
"2018-Dec-02","16:54:33","   14.5","  -20.5"
"2018-Dec-02","16:57:21","   14.3","  -20.5"
"2018-Dec-02","16:59:34","   14.3","  -20.5"
"2018-Dec-02","17:03:58","   14.3","  -20.5"
"2018-Dec-02","17:04:21","   14.3","  -20.5"
"2018-Dec-02","17:06:23","   14.3","  -20.5"
"2018-Dec-02","17:07:04","   14.1","  -20.5"
"2018-Dec-02","17:07:14","   14.3","  -20.5"
"2018-Dec-02","17:09:21","   14.1","  -20.5"
"2018-Dec-02","17:10:52","   14.1","  -20.5"
"2018-Dec-02","17:11:23","   14.1","  -20.5"
"2018-Dec-02","17:14:00","   14.1","  -20.5"
"2018-Dec-02","17:15:46","   14.1","  -20.5"
"2018-Dec-02","17:19:25","   14.0","  -20.5"
"2018-Dec-02","17:21:29","   14.0","  -20.5"
"2018-Dec-02","17:23:36","   14.0","  -20.5"
"2018-Dec-02","17:25:28","   14.0","  -20.5"
"2018-Dec-02","17:26:49","   14.0","  -20.5"
"2018-Dec-02","17:27:58","   14.0","  -20.5"
"2018-Dec-02","17:29:27","   14.0","  -20.5"
"2018-Dec-02","17:34:16","   14.0","  -20.5"
"2018-Dec-02","17:36:12","   14.0","  -20.5"
"2018-Dec-02","17:39:17","   14.0","  -20.5"
"2018-Dec-02","17:42:11","   13.8","  -20.5"
"2018-Dec-02","17:44:00","   14.0","  -20.5"
"2018-Dec-02","17:44:35","   14.0","  -20.5"
"2018-Dec-02","17:47:30","   13.8","  -20.5"
"2018-Dec-02","17:52:30","   13.8","  -20.5"
"2018-Dec-02","17:56:52","   13.6","  -20.5"
"2018-Dec-02","17:58:40","   13.6","  -20.5"
"2018-Dec-02","17:59:19","   13.6","  -20.5"
"2018-Dec-02","18:03:14","   13.5","  -20.5"
"2018-Dec-02","18:03:20","   13.6","  -20.5"
"2018-Dec-02","18:04:03","   13.6","  -20.5"
"2018-Dec-02","18:04:42","   13.6","  -20.5"
"2018-Dec-02","18:05:56","   13.5","  -20.5"
"2018-Dec-02","18:06:03","   13.6","  -20.5"
"2018-Dec-02","18:07:10","   13.5","  -20.5"
