site_code, lat, long, timezone, gridref, active, longname, distforest, disturban, distwetland, x93, y93, hedgerowlength, edgetype
ECC, 52.799720, 1.585386, UTC, TG 41485 28630, yes, Eccles Dunes,,,,,,,
SR2, 52.867006, 1.358510, UTC, TG 25858 35277, yes, Southrepps Dowlands,,,,,,,
SR1-AM, 52.868819, 1.355526, UTC, TG 25816 35457, yes, Southrepps Foxbeck,,,,,,,
Lon1, 51.496121, -0.026945, UTC, TQ 37061 79310, yes, London NAW,,,,,,,
HR1, 52.104546, -2.6819542, UTC, SO 53388 45354, yes, Sutton St.Nicholas,,,,,,,
NOR1, 52.623553, 1.3609793, UTC, TG 27583 08169, yes, Norwich Bungalow Lane,,,,,,,
MRTH, 52.721248, 1.649006, UTC, TG 46521 19980, yes, Somerton Sandy Lane,,,,,,,
ORMS, 52.680630, 1.6497114, UTC, TG 46797 15466, yes, Ormsby Water Works,,,,,,,
METN, 52.888741, 1.269127, UTC, TG 20027 37370, yes, Metton North Norfolk,,,,,,,
PEM1, 51.675278, -4.909167, UTC, SM 98952 01419, yes, Pembroke Pembrokshire,,,,,,,
SPRN, 53.620978, 0.12917139, UTC, TA 40923 15933, yes, Spurn Bird Observatory,,,,,,,
DBO1, 50.916847, 0.96517069, UTC, TR 08520 17230, yes, Dungeness Bird Observatory,,,,,,,
SBBO, 51.267799, 1.3741327, UTC, TR 35470 57480, yes, Sandwich Bay Bird Observatory,,,,,,,
LGBO, 51.937717, 1.3209289, UTC, TM 28373 31789, yes, Landguard Bird Observatory,,,,,,,
SR4, 52.880927, 1.352587, UTC, TG 25673 36832, yes, Southrepps St. James,,,,,,,
REV, 58.761296, 5.50615, UTC, NA, no, Revtangen Bird Obs Norway,,,,,,,
ABZ1, 57.14004, 2.12723, UTC, NJ 92399 05467, yes, Aberdeen Des Morna,,,,,,,
HR2, 52.104546, -2.681954, UTC, SO 53388 45354, yes, Sutton St.Nicholas Environs,,,,,,,
HR3, 52.113860, -2.696524, UTC, SO 53388 45354, yes, Sutton Walls - Sutton St.Nicholas,,,,,,,
